Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,,689.99,748.5,784.09,,"“Formal Contact” with the police and/or criminal justice system may include persons suspected, or arrested or cautioned, for a criminal offence, at the national level.","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:0
Kenya,696.65,634.39,611.76,537.61,466.15,,,
Madagascar,627.36,530.4,512.84,403.6,224.3,,,
Mauritius,"3,828.10",,,,,,,
Mozambique,,,,,,,,
Uganda,572.27,579.88,628.35,602.14,,,,
United Republic of Tanzania,518.26,474.06,558.19,416.44,356.32,,,
Algeria,"1,213.14","1,249.91","1,285.23","1,801.68","2,114.90",,,
Egypt,192.62,,,,,,,
Morocco,,"2,928.33","5,962.37",,,,,
Botswana,,,,"21,839.06",,,,
Cabo Verde,,,"9,256.36","9,511.73","8,213.84",,,
Bahamas,,,,,,,,
Barbados,"2,627.19","2,518.56","2,431.55","2,009.26","2,119.32",,,
Dominican Republic,,,,897.59,,,,
Grenada,"15,465.11","14,081.17",,,"12,290.67",,,
Saint Kitts and Nevis,"6,212.94",,,,,,,
Trinidad and Tobago,770.09,757.35,622.11,643.96,580.5,,,
Belize,"3,845.69","3,845.71","3,943.55","5,513.74",,,,
El Salvador,"2,569.96","2,065.45","1,995.66","1,984.08","1,744.66",,,
Guatemala,990.05,"1,041.22","1,137.03","1,200.46",,,,
Honduras,297.19,494.6,522.54,,783.88,,,
Mexico*,,"1,465.44","1,687.21","2,341.35","2,452.17",,,
Nicaragua,,,,,,,,
Canada,"3,301.47","3,265.73","3,080.56","2,982.83","2,980.13",,,
United States of America,"7,003.16","6,854.20","6,327.81","6,225.33","5,963.12",,,
Chile,"6,231.02","5,878.80","5,279.88","4,994.21","4,928.51",,,
Colombia,"1,200.31","1,382.51","1,429.31","1,400.07","1,302.39",,,
Ecuador,,453.79,493.61,541.8,,,,
Guyana,"16,195.99","13,922.94","11,765.38",,"18,400.13",,,
Paraguay,852.79,965.55,943.38,942.56,525.24,,,
Peru,679.38,843.73,850.01,848.88,840.99,,,
Uruguay*,,"6,394.46",,,"5,463.64",,,
Kazakhstan,"1,280.13","1,506.70","1,543.79","1,597.12","1,659.22",,,
Kyrgyzstan,769.75,806.59,786.59,778.05,643.19,,,
Tajikistan,388.72,,,,,,,
"China, Hong Kong Special Administrative Region",780.01,815.94,774.24,,,,,
Japan,343.95,335.33,311.66,307.51,,,,
Mongolia,"1,591.94","1,777.10","1,912.52","1,983.22","2,037.30",,,
Republic of Korea,,,,,,,,
Myanmar,86.4,93.74,99.85,102.12,,,,
Singapore*,663.59,,,,,,,
Thailand,,,,,244.67,,,
India,724.82,736.1,781.96,,,,,
Maldives,"4,401.34","5,212.52","5,703.09",,,,,
Sri Lanka,528.02,523.22,519.98,,,,,
Armenia*,896.56,895.03,848.08,835.43,828.57,,,
Azerbaijan,,456.53,401.75,419.19,,,,
