Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,"5,066.60","5,210.08","5,623.04","5,488.15","5,553.72","“Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences. ","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:6
Cameroon,,,183.95,,,,,
Algeria,70.99,66.35,58.35,58.93,102.29,,,
South Africa,648.94,"1,032.32","1,098.31","1,091.95","1,155.12",,,
Burkina Faso,85.55,,,,,,,
Grenada,"3,191.03","3,314.22",,,,,,
Saint Kitts and Nevis*,"1,599.24",,,,,,,
Belize,,,,65.02,,,,
Costa Rica,381.64,427.96,458.79,452.53,,,,
Guatemala,163.05,,,403.35,,,,
Honduras,462.52,,,,180.31,,,
Mexico*,,140.51,171.82,86.52,90.57,,,
Nicaragua,,,,,,,,
Bermuda,,,"27,237.79",,,,,
Canada,"1,444.62","1,403.40","1,348.68","1,122.94",,,,
United States of America,62.65,59.74,53.98,,,,,
Colombia,339.91,225.15,243.07,236.96,265.33,,,
Guyana,670.38,630.5,591.4,577.35,531.38,,,
Paraguay,,73.86,87.75,91.66,141.77,,,
Kazakhstan,413.81,353.06,386.98,370.06,464.82,,,
Kyrgyzstan,476.97,415.53,379.12,357.45,371.26,,,
Tajikistan,,,,,346.16,,,
China,169.83,189.8,185.92,188.5,,,,
"China, Hong Kong Special Administrative Region",481.66,452.34,427.45,,,,,
"China, Macao Special Administrative Region*","1,415.53","1,215.23","1,025.77","1,147.56","1,056.85",,,
Mongolia,764.39,757.44,721.43,729.93,681.06,,,
Republic of Korea,880.01,859.56,858.69,940.41,,,,
Thailand,"2,063.48","2,223.10","2,366.59","2,292.54","2,267.74",,,
Armenia,326.91,308.04,,239.96,226.38,,,
Azerbaijan,387.38,367.78,365.66,369.57,,,,
Cyprus,"15,691.21","12,789.18","10,578.73","11,735.16","9,091.93",,,
Georgia,"1,017.87",,,"1,011.70",,,,
Iraq (Central Iraq),38.43,31.47,35.78,,,,,
Saudi Arabia,,,,,741.71,,,
Syrian Arab Republic,,,,,,,,
Turkey,"4,598.31","5,309.47","5,752.34","5,031.38",,,,
Belarus,,,,"1,000.20",,,,
Bulgaria,"1,199.37","1,125.28","1,019.94",964.14,852.98,,,
Czechia,"1,382.62","1,400.22","1,514.74","1,445.48","1,260.28",,,
Hungary,"1,791.83","1,592.04","1,481.28","1,663.59",,,,
Poland,"2,621.70","2,519.74","2,157.71","1,787.31","1,566.12",,,
Republic of Moldova,573.44,,,698,,,,
Romania,487.96,507.59,489.43,411.78,439.3,,,
Russian Federation,"1,192.64","1,139.75","1,145.10","1,143.75","1,184.25",,,
Slovakia,"1,123.58","1,321.24","1,361.88","1,261.75","1,110.20",,,
Ukraine,,,,,,,,
Denmark,"3,240.42","3,595.86","3,416.38","3,480.00","3,343.69",,,
Estonia,,,,,,,,
Finland,"7,355.81","6,893.17","6,550.59","6,112.90",,,,
Iceland,,,"2,430.68",,,,,
Latvia,992.07,970.17,946.07,"1,021.09","1,080.52",,,
Lithuania,"1,017.25","1,285.00","1,492.74","1,563.43","1,343.86",,,
Norway,577.58,519.96,583.07,,521.65,,,
Sweden,"2,798.39","2,677.72","2,400.14","2,231.89","2,136.51",,,
United Kingdom (England and Wales),"4,227.23","3,874.11","3,679.21","3,726.85",,,,
United Kingdom (Northern Ireland)*,"4,597.97","4,279.68","3,829.33","3,556.77",,,,
United Kingdom (Scotland),"2,072.53","1,876.73","1,809.49",,,,,
Albania,759.87,728.2,653.47,"1,062.01","1,235.70",,,
Andorra,294.19,260.95,410,240,,,,
Bosnia and Herzegovina,973.94,"1,113.48","1,130.41","1,091.90","1,051.39",,,
Croatia,"1,254.37","1,112.62",894.42,785.48,668.21,,,
Italy,915.92,889.87,835.97,762.7,743.71,,,
Kosovo under UNSCR 1244,"2,117.01","2,383.25","1,760.71","2,037.35",,,,
Malta,,,,,,,,
Montenegro,443.13,560.63,,,,,,
Portugal*,"1,507.34","1,530.25","1,321.93",,"1,105.46",,,
Serbia,755.69,766.45,789.4,871.68,821,,,
Slovenia,791.91,868.49,"1,173.02",947.71,628.31,,,
The former Yugoslav Republic of Macedonia,"1,111.95","1,016.83","1,062.16","1,263.46",,,,
Austria,860.86,838.5,808.48,771.83,,,,
Belgium,"2,814.18","3,097.81","2,710.91","2,221.31","2,381.21",,,
France,"2,327.68","2,362.18","2,307.08","2,204.99","2,162.37",,,
Germany,"1,813.76","1,745.40","1,708.67","1,695.72",,,,
Monaco,"4,535.80","4,438.27","4,054.79",,,,,
Netherlands,"1,145.69","1,084.64","1,099.81","1,059.45","1,099.75",,,
Switzerland*,"2,387.21","2,563.23","2,596.15","2,585.45","2,482.60",,,
Australia,"2,442.36","2,350.13","2,384.53","2,479.66","2,538.30",,,
New Zealand,"4,168.44","3,795.57","3,476.43","3,124.17",,,,
