Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,416.81,250.22,294.16,277.49,,"“Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay. ","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:5
Kenya*,278.71,218.53,262.79,252.33,253.97,,,
Madagascar,321.98,320.18,321.84,318.86,309.04,,,
Mauritius,549.59,554.27,,,,,,
Mozambique,,,,,,,,
Uganda,395.1,419.17,452.3,464.83,,,,
Cameroon,407.99,443.29,437.26,428.28,,,,
Algeria,381.2,373.51,442.3,440.63,442.39,,,
Morocco,,,,,,,,
Botswana,737.29,,573.3,587.48,,,,
Lesotho,,,,,,,,
Burkina Faso,133.06,,,,,,,
Nigeria,114.24,,122.94,,,,,
Senegal*,,,,,,,,
Togo,,243.92,,,,,,
Bahamas,,"1,032.58",,,,,,
Barbados,958.24,942.02,809.29,756.78,802.44,,,
Dominican Republic,670.9,,,,,,,
Grenada,"1,242.40","1,360.49","1,326.56","1,431.53","1,372.41",,,
Jamaica,440.05,433.46,409.15,401.92,375.52,,,
Puerto Rico,850.82,902.56,901.42,897.81,829.98,,,
Saint Kitts and Nevis,"1,948.29",,,,,,,
Saint Vincent and the Grenadines,"3,310.11",,,,,,,
Trinidad and Tobago,803.44,690.76,673.14,631.88,"1,387.81",,,
Belize,"2,186.98","2,344.43","2,303.46","2,249.04",,,,
Costa Rica,677.13,801.63,724.15,717.23,688.72,,,
El Salvador,"1,317.53","1,374.38","1,345.76","1,389.50","1,570.45",,,
Guatemala,,370.17,,,,,,
Honduras,532.44,517.88,544.98,594.3,624.86,,,
Mexico*,608.71,579.7,618.79,547.96,522.41,,,
Nicaragua,,,,,,,,
Panama*,997.21,"1,069.18","1,045.28","1,051.51","1,246.56",,,
United States of America,"1,759.14","1,727.18","1,696.31","1,675.85","1,623.32",,,
Argentina,415.22,418.01,433.32,456.81,472.31,,,
Brazil*,719.92,759.82,797,778.46,817.83,,,
Chile,871.72,815.99,736.58,677.91,648.9,,,
Colombia,620.19,689.22,712.32,665.29,,,,
Ecuador,319.63,388.69,453.84,427.79,,,,
Guyana,873.94,840.08,849.64,,823.52,,,
Paraguay,336.07,360.45,409.88,470.16,551.09,,,
Peru,,593.6,640.94,670.2,706.88,,,
Uruguay,722.47,747.34,741.47,751.32,,,,
Kazakhstan,870.37,791.55,724.66,739.92,717.02,,,
Kyrgyzstan,,,,,436.43,,,
China,,280.74,,273.36,,,,
