Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,94.33,89.01,103.16,202.05,130.45,"“Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences. ","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:3
Cameroon,,,15.29,,,,,
Algeria*,6.08,6.58,5.74,6.37,11.97,,,
South Africa,17.08,22.43,19.74,18.74,,,,
Grenada,89.67,203.23,,,,,,
Saint Kitts and Nevis,160.18,,,,,,,
Belize,,,,8.53,,,,
Costa Rica,44.87,42.32,52.72,60.19,,,,
El Salvador,64.87,81.44,81.01,81.99,94.82,,,
Guatemala,14.79,,,29.13,,,,
Honduras,,,,,32.68,,,
Mexico*,,21.48,19.98,10.59,11.19,,,
Nicaragua,,,,,,,,
Canada,557.04,524.4,454.2,370.56,,,,
Colombia,156.54,132.68,142.61,135.62,142.42,,,
Guyana,9.3,17.5,10.23,15.95,21.26,,,
Paraguay,,,12.46,10.47,22.13,,,
Kazakhstan,50.23,42.04,35.86,22.27,15.63,,,
Kyrgyzstan,38.8,32.23,21.71,17.2,15.78,,,
Tajikistan,,,,,21.4,,,
China,42.25,40.47,35.51,32.11,,,,
"China, Hong Kong Special Administrative Region",78.96,78.52,56.35,,,,,
"China, Macao Special Administrative Region*",121.28,92.75,98.44,67.71,33.42,,,
Mongolia,113.39,120.13,116.34,94.68,81.92,,,
Republic of Korea,14.63,22.89,20.63,25.23,,,,
Thailand*,305.91,274.31,312.24,281.68,241.21,,,
Armenia,26.37,21.85,,23.62,22.17,,,
Azerbaijan,17.12,17.16,19.47,19.96,,,,
Cyprus,501.95,443.9,349.28,213.47,237.35,,,
Georgia,136.66,,,82.57,,,,
Iraq (Central Iraq),7.47,6.09,6.54,,,,,
Saudi Arabia,,,,,19.83,,,
Syrian Arab Republic,,,,,,,,
Turkey,407.66,503.08,673.77,814.67,,,,
Belarus,,,,96.01,,,,
Bulgaria,419.7,354.84,289.35,252.78,194.42,,,
Czechia,211.05,212.29,192.66,152.71,129.96,,,
Hungary,558.08,493.78,504.41,543.23,,,,
Poland,497.58,466.06,426.86,363.23,271.17,,,
Republic of Moldova,73.43,,,62.76,,,,
Romania,156.8,147.96,142.14,152.24,111.32,,,
Russian Federation,264.7,223.65,198.4,158.28,149.42,,,
Slovakia,310.45,333.16,329.81,285.79,243.34,,,
Ukraine,,,,,,,,
Denmark,742.44,726.78,709.13,691.22,565.63,,,
Finland,"1,714.97","1,465.21","1,312.32","1,269.97",,,,
Iceland,,,78.16,,,,,
Latvia,325.32,314.15,301.67,282.18,215.01,,,
Lithuania,325.69,294.89,356.21,388.68,340.82,,,
Norway,86.79,74.79,68.51,,54.46,,,
Sweden,933.18,803.84,711.77,648.34,654.9,,,
United Kingdom (England and Wales),876.34,654.26,493.08,430.73,,,,
United Kingdom (Northern Ireland)*,656.74,535.2,528.94,499.33,,,,
United Kingdom (Scotland)*,405.92,300.88,225.38,,,,,
Albania,169.73,227.81,181.62,210.25,165.89,,,
Andorra,535.98,190.66,124.28,470.26,,,,
Bosnia and Herzegovina,73.14,90.84,184.22,146.12,81.15,,,
Croatia,185.98,141.86,123.95,129.76,97.93,,,
Italy,61.63,50.07,50.26,49.88,50.38,,,
Kosovo under UNSCR 1244,175.16,182.52,249.68,269.93,,,,
Malta,139.26,191.72,146.33,172.47,143.38,,,
Montenegro,46.87,81.51,,,,,,
Portugal,693.87,660.38,535.02,,456.38,,,
Serbia,222.39,229.23,268.88,204.71,196.18,,,
Slovenia,178.71,199.18,222.82,153.12,108.16,,,
The former Yugoslav Republic of Macedonia,299.98,238.13,197.96,198.5,,,,
Austria,305.37,289.75,259,240.04,,,,
Belgium,22.94,27.91,15.81,11.75,12.52,,,
France,662.36,663.51,628.93,593.8,576.28,,,
Germany,618.98,544.9,483.66,426.65,,,,
Monaco,845.49,"1,079.21",967.74,,,,,
Netherlands,393.16,368.17,293.41,261.29,235.02,,,
Switzerland*,794.07,739.9,751.23,707.78,702.39,,,
Australia,641.74,595.71,548.31,526.24,493.99,,,
New Zealand,26.04,20.83,23.15,16.38,,,,
