Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,,7.83,7.6,5.58,,"“Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay.	","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:2
Kenya,6.51,5.6,5.61,5.44,5.27,,,
Madagascar,8.46,9.34,8.73,9.48,11.05,,,
Mauritius,23.88,32.92,,,,,,
Mozambique,,,,,,,,
Cameroon,,16.35,15.32,13.8,,,,
Algeria,6.73,8.47,7.4,6.22,7.9,,,
Morocco,,,,,,,,
Botswana*,59.19,,58.75,99.97,,,,
Lesotho,,,,,,,,
Burkina Faso,2.43,,,,,,,
Nigeria,1.88,,2.06,,,,,
Senegal,,,,,,,,
Togo,,1.57,,,,,,
Bahamas,,66.56,,,,,,
Barbados,,,,103.63,,,,
Grenada,89.67,67.74,56.85,22.86,63.08,,,
Jamaica,73.28,55.37,53.2,47.39,50.77,,,
Saint Kitts and Nevis,373.75,,,,,,,
Trinidad and Tobago,126.62,106.43,99.74,89.42,76.77,,,
Belize,233.15,260.23,254.3,227.41,,,,
Costa Rica,9.81,12.22,12.78,32.61,32.75,,,
El Salvador,132.25,113.19,111.17,115.46,51.6,,,
Honduras,15.22,,,,,,,
Mexico*,50.05,45.64,46.98,18.99,16.74,,,
Nicaragua,,,,,,,,
Panama*,155.14,139.72,195.25,,,,,
United States of America,18.72,16.43,14.11,13.1,13.1,,,
Argentina,,13.05,13.7,16.95,,,,
Bolivia (Plurinational State of),,83.12,,,,,,
Brazil,62.34,64.11,74.93,,,,,
Chile*,70.33,78.64,72.02,66.3,65.05,,,
Colombia,,,,,,,,
Ecuador,,15.29,20.98,16.96,,,,
Guyana,10.63,51.15,,,8.51,,,
Paraguay,17.33,21.63,22.74,25.07,,,,
Kazakhstan,9.62,6.1,4.38,4.6,3.31,,,
Kyrgyzstan,,,,,0.9,,,
China,,9.93,,7.01,,,,
"China, Hong Kong Special Administrative Region",167.28,164.09,164.73,,,,,
"China, Macao Special Administrative Region*",8.66,19.41,8.56,2.12,2.09,,,
Japan,0.2,0.15,0.21,0.24,,,,
Mongolia,17.14,13.85,6.38,14.81,3.27,,,
Republic of Korea,8.18,11.26,10.22,6.25,,,,
Indonesia,,9.82,11.45,8.39,6.24,,,
Philippines,2.4,2.11,2.11,1.77,1.73,,,
Thailand,,,,75.48,78.05,,,
Bhutan,,31.16,28.39,,,,,
Armenia,8.06,5.91,5.15,4.27,2.96,,,
Azerbaijan,2.13,1.99,5.14,6.46,,,,
Cyprus,11.08,19.16,25.81,18.74,18.89,,,
Georgia,37.49,26.65,16.7,18.78,,,,
Iraq (Central Iraq),0.73,1.29,0.8,,,,,
Israel,30.5,34.84,31.56,28.91,,,,
Lebanon,12.32,13.56,10.27,,16.86,,,
State of Palestine,45.03,57.45,,,,,,
Turkey,18.96,16.13,15.77,15.45,18.74,,,
United Arab Emirates,,36.64,21.27,23.65,,,,
Belarus,13.09,8.29,8.48,9.3,,,,
Bulgaria,14.24,11.75,12.47,10.07,7.3,,,
Czechia*,20.43,17.33,11.51,10.75,10.02,,,
Hungary,54.48,54.88,51.04,45.75,,,,
Poland,112.66,108.84,94.61,80.14,65.11,,,
Republic of Moldova,21.45,19.32,17.76,14.33,,,,
Romania,21.85,21.98,25.62,15.57,15.93,,,
Russian Federation,31.68,28.05,23.73,22.46,20.91,,,
Slovakia,24.56,25.67,18.29,17.82,17.07,,,
Ukraine,20.37,,,,,,,
Denmark,1.45,0.98,1.97,1.49,1,,,
Estonia,19.95,27.33,25.06,25.06,17.64,,,
Finland,12.29,15.42,14.36,17.83,14.53,,,
Iceland,4.84,2.43,-,,,,,
Ireland,5.81,3.88,1.34,1.98,9.64,,,
Latvia,35.48,29.12,26.28,20.77,22.42,,,
Lithuania,42.72,37.26,31.92,30.54,32.28,,,
Norway*,1.74,2.6,1.39,,,,,
Sweden,0.71,1.22,1.01,0.9,1.57,,,
United Kingdom (England and Wales),25.44,20.34,13.78,11.82,,,,
United Kingdom (Northern Ireland),1.81,-,-,-,,,,
United Kingdom (Scotland),138.12,123.36,101.5,95.11,,,,
Albania,30.52,25.31,28.71,23.91,25.02,,,
Andorra*,26.8,-,-,-,,,,
Croatia,12.03,15.25,18.86,15.38,11.8,,,
Greece,56.79,58.81,44.46,35.38,24.44,,,
Italy,25.65,25.49,23.84,20.64,22.58,,,
Kosovo under UNSCR 1244,13.87,17.48,12.66,13.4,,,,
Malta,69.63,80.72,33.37,36.58,39.83,,,
Montenegro,10.42,10.52,2.66,6.72,6.8,,,
Serbia,26.65,23.45,24.33,25.99,24.08,,,
Slovenia,5.01,0.55,6.02,2.71,1.61,,,
Spain,29.91,25.75,21.27,16.73,15.17,,,
The former Yugoslav Republic of Macedonia,27,,,,,,,
Austria,19.01,14.65,12.67,9.73,,,,
Belgium,,,,,0.86,,,
France,9.53,9.62,9.74,9.25,9.36,,,
Liechtenstein,-,-,-,-,,,,
Luxembourg,10.68,1.76,3.48,5.18,3.44,,,
Monaco,-,269.8,53.76,,,,,
Netherlands,29.53,29.87,25.96,25.86,23.06,,,
Switzerland,3.47,6.66,3.59,3.05,2.37,,,
Australia,,,,,,,,
New Zealand,10.34,9.79,8.19,11.93,7.46,,,
