Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,"2,306.87","2,026.41","2,197.08",,,"“Persons Prosecuted” means alleged offenders against whom prosecution commenced in the reporting year. Persons may be prosecuted by the public prosecutor or the law enforcement agency responsible for prosecution, at the national level, irrespective of the case-ending decision.","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems. ",https://data.unodc.org/#state:1
Uganda,,,,289.96,,,,
Cameroon,,,381.44,,,,,
Algeria,"5,739.90","5,955.83","5,909.04","7,299.91","7,124.28",,,
Bahamas,,,,,,,,
Grenada,,,,,,,,
Saint Kitts and Nevis,"1,496.70",,,,,,,
Trinidad and Tobago,612.31,596.12,504.98,518.84,465.07,,,
Belize,,,,64.98,,,,
Costa Rica,,,,,,,,
El Salvador,"1,298.74","1,181.07","1,592.88","1,699.99","1,657.57",,,
Guatemala,"3,063.09","3,499.59","3,892.40","4,772.02","3,740.36",,,
Mexico*,245.56,396.51,390.92,"1,509.94","1,591.49",,,
Panama*,98.01,109.21,57.98,54.96,28.48,,,
Bermuda,,,"24,934.72",,,,,
Canada,"1,943.83","1,870.48","1,781.26","1,503.47",,,,
Chile*,"3,247.46","3,247.30","3,082.21","3,077.25","3,002.74",,,
Colombia*,315.03,325.51,354.84,402.46,487.88,,,
Guyana,"7,532.51","7,550.92","6,069.43",,"9,811.18",,,
Paraguay,498.96,,566.38,551.43,537.85,,,
Kazakhstan,918.76,"1,055.75","1,063.99","1,076.46","1,097.03",,,
China,164.46,183.44,172.9,186.36,,,,
"China, Hong Kong Special Administrative Region",841.49,825.41,823.29,,,,,
Japan,198.3,191.92,180.06,177.13,,,,
Mongolia,,,,"1,323.97","1,289.77",,,
Republic of Korea,"3,249.43","3,186.08","3,189.52","3,017.22",,,,
Maldives,"1,377.15","1,336.75","1,949.41",,,,,
Armenia*,686.21,695.9,679.03,684.67,688.45,,,
Azerbaijan,,330.19,292.88,304.5,,,,
Cyprus,"19,644.14","18,230.96","14,485.79","17,124.94","13,072.17",,,
Jordan,35.78,60.95,,,,,,
Kuwait,,,,,,,,
Turkey,"6,407.59","6,370.67","6,268.92","6,308.89",,,,
Belarus,"1,277.56","1,022.44",951.25,961.46,,,,
Bulgaria,"1,482.54","1,279.24","1,232.12",,,,,
Czechia,"1,724.25","1,723.13","1,753.46","1,704.30","1,493.09",,,
Hungary,"1,570.70","1,376.09","1,438.20","1,456.53",,,,
Poland,,,"1,952.84",,,,,
Republic of Moldova,876.95,967.4,,"1,128.32",,,,
Romania,585.73,575.59,635.43,486.73,569.18,,,
Slovakia,"1,685.72","1,759.27","1,750.04","1,606.66","1,407.80",,,
Ukraine,,,,,,,,
Denmark,"11,005.78","10,661.74","11,547.32","10,236.14","11,704.81",,,
Finland,"6,292.38","5,872.18","5,555.85","5,184.48",,,,
Iceland,"1,044.15","1,355.19","1,445.75","1,262.98","1,208.94",,,
Latvia*,"1,184.99","1,252.53","1,152.12",864.22,952.22,,,
Lithuania,"1,164.81","1,317.26","1,350.88","1,342.01","1,233.44",,,
Norway,979.67,927.47,944.89,905.69,,,,
United Kingdom (England and Wales),"4,195.38","3,811.26","3,637.78","3,612.33",,,,
United Kingdom (Northern Ireland)*,"3,620.85","3,562.80","3,254.55","2,905.69",,,,
United Kingdom (Scotland),"2,009.26","1,836.96","1,790.23","1,801.97",,,,
Albania,718.97,766.6,798.39,"1,287.39","1,296.27",,,
Andorra,"1,374.04","1,298.81","1,316.67","1,331.25",,,,
Bosnia and Herzegovina,"1,025.40","1,051.25",960.22,992.7,963.17,,,
Croatia,"1,881.87","1,552.89","1,231.47","1,197.35","1,229.14",,,
Italy*,"4,334.76","4,376.99","4,382.71","4,559.55",,,,
Malta*,663.16,649.72,"1,205.09","1,171.97","1,075.80",,,
Montenegro,,,"2,236.10","1,504.98","1,375.11",,,
Portugal,"2,031.58","2,039.26","1,807.84",,"1,491.73",,,
Slovenia,,,,"1,026.28","1,005.63",,,
The former Yugoslav Republic of Macedonia,"2,911.16","2,946.09","3,190.94","3,422.81",,,,
Austria,"5,270.39","5,304.75","5,271.80","5,147.85",,,,
Belgium,"9,116.59","8,391.31","8,223.67","8,126.17","7,583.24",,,
France,"2,015.41","1,954.69","1,929.66","1,893.45","1,852.80",,,
Germany,"2,052.60","1,960.97","1,903.55","1,869.71",,,,
Liechtenstein,"4,797.77","4,681.16",,"4,647.18",,,,
Monaco,"3,974.26",,"3,504.88",,,,,
Netherlands,"2,322.56","2,254.41","2,059.16","2,076.83","1,858.14",,,
New Zealand,"3,854.42","3,543.31","3,226.46","2,892.55",,,,
