Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Ethiopia,2013,"6,307",Gram,n/a,n/a,https://data.unodc.org/#state:23
Ethiopia,2012,"233,593.20",Gram,,,
Ethiopia,2011,"87,264.07",Gram,,,
Mauritius,2015,"42,795.50",Gram,,,
Mauritius,2014,"15,518.14",Gram,,,
Mauritius,2013,"16,240.30",Gram,,,
Mauritius,2012,"21,374.98",Gram,,,
Zambia,2014,"11,400,490",Gram,,,
Zambia,2012,"10,035,833.26",Gram,,,
Zambia,2011,"12,538,583.95",Gram,,,
El Salvador,2015,"1,071,411.01",Gram,,,
El Salvador,2015,6,Gram,,,
Argentina,2014,150,Gram,,,
Uruguay,2014,"1,457,435.40",Gram,,,
Uruguay,2013,"2,188,707",Gram,,,
Uruguay,2012,"1,979,600",Gram,,,
Armenia,2015,"7,795",Gram,,,
Armenia,2014,"13,511",Gram,,,
Armenia,2011,"20,028",Gram,,,
Georgia,2015,"107,127.48",Gram,,,
Georgia,2012,"1,270",Gram,,,
Kazakhstan,2015,"34,316,727",Gram,,,
Kazakhstan,2014,"25,796,386",Gram,,,
Kazakhstan,2013,"26,991,650",Gram,,,
Kazakhstan,2012,"27,956,941.10",Gram,,,
Brunei Darussalam,2013,752.27,Gram,,,
Brunei Darussalam,2012,638.99,Gram,,,
Brunei Darussalam,2011,446.11,Gram,,,
Cambodia,2014,"19,901",Gram,,,
"China, Macao SAR",2015,84.85,Gram,,,
"China, Macao SAR",2014,685.01,Gram,,,
"China, Macao SAR",2013,80,Gram,,,
"China, Macao SAR",2012,60.36,Gram,,,
"China, Macao SAR",2011,183.69,Gram,,,
"China, Taiwan Province of China",2015,"39,933.60",Gram,,,
"China, Taiwan Province of China",2014,"10,726.10",Gram,,,
"China, Taiwan Province of China",2013,"35,745.30",Gram,,,
"China, Taiwan Province of China",2012,"14,351.60",Gram,,,
"China, Taiwan Province of China",2011,"1,589",Gram,,,
Philippines,2015,"604,924.50",Gram,,,
Philippines,2015,"427,428.85",Gram,,,
Philippines,2015,"370,421.24",Gram,,,
Lebanon,2011,767,Gram,,,
State of Palestine,2013,"19,746.90",Gram,,,
State of Palestine,2011,0.3,Gram,,,
Syrian Arab Republic,2015,"1,132",Gram,,,
Albania,2014,"101,726,102",Gram,,,
Bosnia and Herzegovina,2015,"93,868",Gram,,,
Bosnia and Herzegovina,2014,"327,078.50",Gram,,,
Bosnia and Herzegovina,2012,"243,892.08",Gram,,,
Bosnia and Herzegovina,2012,"18,660",Gram,,,
Montenegro,2013,"1,338,380.84",Gram,,,
Montenegro,2012,"1,022,347.60",Gram,,,
Montenegro,2011,"804,260.26",Gram,,,
Serbia,2012,"2,220,892",Gram,,,
Andorra,2015,"3,103.30",Gram,,,
Andorra,2014,"4,602.18",Gram,,,
Andorra,2013,"3,422.63",Gram,,,
Andorra,2012,"4,600.48",Gram,,,
Andorra,2011,"5,015.20",Gram,,,
Iceland,2015,"52,049.16",Gram,,,
Iceland,2013,"32,871",Gram,,,
Iceland,2012,"20,728",Gram,,,
Iceland,2011,29.45,Gram,,,
Ireland,2012,"1,090,022",Gram,,,
Ireland,2011,"1,825,699",Gram,,,
Latvia,2012,"73,852.65",Gram,,,
Liechtenstein,2013,67.26,Gram,,,
Monaco,2013,130.92,Gram,,,
Kenya,2015,"4,402",Kilogram,,,
Kenya,2014,"9,299.40",Kilogram,,,
Kenya,2011,"27,672",Kilogram,,,
Madagascar,2015,"7,742.48",Kilogram,,,
Madagascar,2013,"10,881.40",Kilogram,,,
Uganda,2012,"8,293",Kilogram,,,
United Republic of Tanzania,2014,"81,318",Kilogram,,,
United Republic of Tanzania,2013,"85,840",Kilogram,,,
United Republic of Tanzania,2012,"48,658",Kilogram,,,
United Republic of Tanzania,2011,"18,040",Kilogram,,,
Egypt,2015,"360,040",Kilogram,,,
Egypt,2014,"395,919.60",Kilogram,,,
Egypt,2013,"212,063",Kilogram,,,
Egypt,2012,"77,120.51",Kilogram,,,
Egypt,2011,"73,132.74",Kilogram,,,
Angola,2014,87,Kilogram,,,
Botswana,2014,359.2,Kilogram,,,
Botswana,2012,440,Kilogram,,,
Botswana,2011,196,Kilogram,,,
Mozambique,2015,"5,371.28",Kilogram,,,
Mozambique,2014,"11,355.97",Kilogram,,,
Mozambique,2013,"3,670.78",Kilogram,,,
Mozambique,2012,"5,193.14",Kilogram,,,
Mozambique,2011,"31,641.98",Kilogram,,,
Namibia,2015,798.79,Kilogram,,,
Namibia,2014,671.95,Kilogram,,,
South Africa,2015,"2,179.80",Kilogram,,,
South Africa,2012,196,Kilogram,,,
Swaziland,2014,"13,974.60",Kilogram,,,
