Country,Cannabis-type,Retail Level Price Typical,Year 
Burundi,Marijuana (herb),0.1,2008
Eritrea,Marijuana (herb),3.3,2008
Kenya,Marijuana (herb),0.3,2015
Madagascar,Marijuana (herb),0,2005
Mauritius,Marijuana (herb),10,2013
Rwanda,Marijuana (herb),0.1,2004
Uganda,Marijuana (herb),0.1,2005
United Republic of Tanzania,Marijuana (herb),0.1,2015
Egypt,Marijuana (herb),,2015
Morocco,Marijuana (herb),,
Botswana,Marijuana (herb),0.2,2014
Burkina Faso,Marijuana (herb),0.6,2008
Cameroon,Marijuana (herb),0,2006
Central African Republic,Marijuana (herb),0.1,2006
Congo,Marijuana (herb),0.2,2006
Côte d'Ivoire,Marijuana (herb),0.3,2009
Gabon,Marijuana (herb),1.8,2006
Gambia,Marijuana (herb),1,2007
ghana,Marijuana (herb),0.8,2007
guinea,Marijuana (herb),0,2006
Liberia,Marijuana (herb),,2006
Malawi,Marijuana (herb),0.2,2006
Mali,Marijuana (herb),0.2,2007
Namibia,Marijuana (herb),0.4,2007
Niger,Marijuana (herb),0,2006
Nigeria,Marijuana (herb),0.4,2013
Senegal,Marijuana (herb),,
South Africa,Marijuana (herb),0.1,2015
Swaziland,Marijuana (herb),0.4,2008
Togo,Marijuana (herb),0.1,2009
zambia,Marijuana (herb),0.2,2009
Zimbabwe,Marijuana (herb),1,2008
Anguilla,Marijuana (herb),12.5,2005
Bahamas,Marijuana (herb),5,2009
Barbados,Marijuana (herb),3.5,2007
bermuda,Marijuana (herb),124.1,2006
cuba,Marijuana (herb),,2009
dominica,Marijuana (herb),32.5,2005
Dominican Republic,Marijuana (herb),0.3,2014
Grenada,Marijuana (herb),1.8,2005
Haiti,Marijuana (herb),0.6,2004
jamaica,Marijuana (herb),1.4,2008
Montserrat,Marijuana (herb),25.1,2006
saint kitts and Nevis,Marijuana (herb),7.4,2009
Saint Lucia,Marijuana (herb),3.7,2004
saint vincent and the Grenadines,Marijuana (herb),,
Trinidad and Tobago,Marijuana (herb),2.4,2015
Turks and Caicos Islands,Marijuana (herb),10,2006
Belize,Marijuana (herb),2.5,2007
Canada,Marijuana (herb),12.9,2014
costa Rica,Marijuana (herb),2.8,2015
El Salvador,Marijuana (herb),0.5,2013
Guatemala,Marijuana (herb),0.2,2015
honduras,Marijuana (herb),2.5,2015
Mexico,Marijuana (herb),,
Nicaragua,Marijuana (herb),1,2014
Panama,Marijuana (herb),300,2015
United States of America,Marijuana (herb),,2015
United States of America,Marijuana (herb),,2015
Argentina,Marijuana (herb),1.3,2004
Bolivia (Plurinational State of),Marijuana (herb),2.2,2015
Brazil,Marijuana (herb),0.2,2005
Chile,Marijuana (herb),7.1,2015
Colombia,Marijuana (herb),1.6,2015
Ecuador,Marijuana (herb),1.5,2011
Guyana,Marijuana (herb),3.4,2015
Paraguay,Marijuana (herb),0.6,2014
Peru,Marijuana (herb),1.8,2012
Uruguay,Marijuana (herb),1.7,2015
Venezuela (Bolivarian Republic of),Marijuana (herb),1.9,2006
Brunei Darussalam,Marijuana (herb),20.9,2015
Cambodia,Marijuana (herb),8,2014
China,Marijuana (herb),26.8,2015
Indonesia,Marijuana (herb),0.4,2015
Japan,Marijuana (herb),41.5,2015
Lao People's Democratic Republic,Marijuana (herb),100,2015
"Hong Kong SAR, China",Marijuana (herb),15.1,2015
"Hong Kong SAR, China",Marijuana (herb),21.4,2015
"Macao SAR, China",Marijuana (herb),12,2015
Malaysia,Marijuana (herb),605.4,2015
Mongolia,Marijuana (herb),4,2012
Myanmar,Marijuana (herb),0.8,2010
Philippines,Marijuana (herb),1.4,2014
Republic of Korea,Marijuana (herb),46.2,2015
Singapore,Marijuana (herb),,2015
Thailand,Marijuana (herb),,2010
Afghanistan,Marijuana (herb),1,2015
Armenia,Marijuana (herb),,2015
Azerbaijan,Marijuana (herb),,2015
Bangladesh,Marijuana (herb),1.3,2008
Georgia,Marijuana (herb),,2014
India,Marijuana (herb),0.1,2015
Israel,Marijuana (herb),,
Jordan,Marijuana (herb),7,2007
Kazakhstan,Marijuana (herb),11.8,2015
Kyrgyzstan,Marijuana (herb),2,2014
Lebanon,Marijuana (herb),350,2015
Nepal,Marijuana (herb),,
Pakistan,Marijuana (herb),0.8,2014
Sri Lanka,Marijuana (herb),0.2,2013
Sri Lanka,Marijuana (herb),,
Tajikistan,Marijuana (herb),,
Turkmenistan,Marijuana (herb),22.8,2014
United Arab Emirates,Marijuana (herb),,2008
Uzbekistan,Marijuana (herb),,2013
Belarus,Marijuana (herb),13,2013
Republic of Moldova,Marijuana (herb),1.8,2014
Russian Federation,Marijuana (herb),6.9,2015
Ukraine,Marijuana (herb),9,2015
Albania,Marijuana (herb),,2015
Andorra,Marijuana (herb),,
Austria,Marijuana (herb),8.8,2015
Belgium,Marijuana (herb),9.6,2015
Bosnia and Herzegovina,Marijuana (herb),,2014
Bulgaria,Marijuana (herb),,2015
Bulgaria,Marijuana (herb),,2015
Croatia,Marijuana (herb),8,2010
Cyprus,Marijuana (herb),21.9,2015
Cyprus,Marijuana (herb),,
Czechia,Marijuana (herb),8,2015
Denmark,Marijuana (herb),,2013
Estonia,Marijuana (herb),26.3,2014
Finland,Marijuana (herb),,2015
France,Marijuana (herb),9.3,2015
Germany,Marijuana (herb),11.1,2015
Gibraltar,Marijuana (herb),9.2,2008
Greece,Marijuana (herb),20.8,2015
Hungary,Marijuana (herb),8.9,2015
Iceland,Marijuana (herb),23.3,2015
Ireland,Marijuana (herb),21.9,2015
Italy,Marijuana (herb),8.9,2015
Kosovo/Serbia,Marijuana (herb),,2015
Latvia,Marijuana (herb),13.7,2015
Liechtenstein,Marijuana (herb),9.1,2015
Lithuania,Marijuana (herb),12.3,2015
Luxembourg,Marijuana (herb),14.9,2015
Malta,Marijuana (herb),25,2014
Monaco,Marijuana (herb),,2008
Montenegro,Marijuana (herb),5.5,2015
Netherlands,Marijuana (herb),12.9,2014
Netherlands,Marijuana (herb),,
Norway,Marijuana (herb),17.3,2015
Poland,Marijuana (herb),7.8,2015
Portugal,Marijuana (herb),7.3,2013
Romania,Marijuana (herb),,2015
Serbia,Marijuana (herb),14,2014
Slovakia,Marijuana (herb),,2015
Slovenia,Marijuana (herb),4.4,2015
Spain,Marijuana (herb),5,2015
Sweden,Marijuana (herb),11.9,2015
Switzerland,Marijuana (herb),13.1,2015
The former Yugoslav Republic of Macedonia,Marijuana (herb),,2015
Turkey,Marijuana (herb),,2015
United Kingdom,Marijuana (herb),14.8,2015
United Kingdom,Marijuana (herb),14.8,2015
United Kingdom,Marijuana (herb),,
Australia,Marijuana (herb),24.2,2014
Marshall Islands,Marijuana (herb),,
New Zealand,Marijuana (herb),13.8,2015
