Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Ethiopia,2013,"6,300",Gram,n/a,n/a,https://data.unodc.org/#state:23
Ethiopia,2011,"2,863.65",Gram,,,
Algeria,2012,"8,035",Gram,,,
Egypt,2015,3,Gram,,,
El Salvador,2015,"2,428.73",Gram,,,
El Salvador,2013,99.8,Gram,,,
Panama,2013,20.05,Gram,,,
Argentina,2014,530,Gram,,,
Chile,2013,5,Gram,,,
Venezuela (Bolivarian Republic of),2012,27,Gram,,,
Armenia,2015,"7,969",Gram,,,
Armenia,2014,"4,533.70",Gram,,,
Armenia,2013,65.2,Gram,,,
Armenia,2012,1.3,Gram,,,
Armenia,2011,"1,241.90",Gram,,,
Georgia,2013,3.46,Gram,,,
Kazakhstan,2012,2.32,Gram,,,
Tajikistan,2012,"62,987",Gram,,,
Brunei Darussalam,2015,"3,000.78",Gram,,,
Cambodia,2014,"29,010",Gram,,,
"China, Taiwan Province of China",2015,"506,463.30",Gram,,,
"China, Taiwan Province of China",2014,"462,924.70",Gram,,,
"China, Taiwan Province of China",2013,"775,904.50",Gram,,,
"China, Taiwan Province of China",2012,"119,301.40",Gram,,,
"China, Taiwan Province of China",2011,"140,603.70",Gram,,,
Indonesia,2015,"4,420,166.85",Gram,,,
Indonesia,2014,"1,125,068.42",Gram,,,
Mongolia,2012,124,Gram,,,
Jordan,2014,80,Gram,,,
Qatar,2015,102.3,Gram,,,
Qatar,2013,1,Gram,,,
Qatar,2012,1,Gram,,,
Republic of Moldova,2013,101,Gram,,,
Republic of Moldova,2012,77.4,Gram,,,
The former Yugoslav Republic of Macedonia,2014,3.5,Gram,,,
Andorra,2015,2.6,Gram,,,
Andorra,2012,17.11,Gram,,,
Andorra,2011,13.8,Gram,,,
Cyprus,2014,630,Gram,,,
Iceland,2015,342.76,Gram,,,
Iceland,2013,81,Gram,,,
Iceland,2012,4,Gram,,,
Iceland,2011,17,Gram,,,
Ireland,2012,"1,411",Gram,,,
Latvia,2012,"20,467.46",Gram,,,
Malta,2015,2.5,Gram,,,
Netherlands,2011,"2,714.59",Gram,,,
Portugal,2015,0.8,Gram,,,
Portugal,2015,0.8,Gram,,,
Uganda,2012,18,Kilogram,,,
Botswana,2013,0.03,Kilogram,,,
South Africa,2015,462.05,Kilogram,,,
South Africa,2012,347,Kilogram,,,
