Country,ATS-type,No unit,Retail level typical price,Year
Botswana,Methamphetamine,,10,2014
South Africa,Methamphetamine,,27,2008
Canada,Methamphetamine,,86,2014
El Salvador,Methamphetamine,,25,2015
Guatemala,Methamphetamine,,2,2015
Honduras,Methamphetamine,,13,2008
Mexico,Methamphetamine,,,
Brunei Darussalam,Methamphetamine,,26.4,2015
China,Methamphetamine,,58.6,2015
Indonesia,Methamphetamine,,153,2015
Japan,Methamphetamine,,581.1,2015
Lao People's Democratic Republic,Methamphetamine,,,
"Hong Kong SAR, China",Methamphetamine,,46.5,2015
"Macao SAR, China",Methamphetamine,,300,2015
Malaysia,Methamphetamine,,27244.2,2015
Mongolia,Methamphetamine,,200,2012
Myanmar,Methamphetamine,,15.4,2015
Myanmar,Methamphetamine,,,
Republic of Korea,Methamphetamine,,285.3,2015
Republic of Korea,Methamphetamine,,63.4,2015
Viet Nam,Methamphetamine,,45,2015
Afghanistan,Methamphetamine,,,2009
Bahrain,Methamphetamine,,424.3,2005
Bangladesh,Methamphetamine,,4.5,2008
Iran (Islamic Republic of),Methamphetamine,,,
Kazakhstan,Methamphetamine,,62.5,2007
Nepal,Methamphetamine,,28.1,2006
Oman,Methamphetamine,,17.9,2007
Pakistan,Methamphetamine,,13.3,2015
Saudi Arabia,Methamphetamine,,199.7,2008
Belarus,Methamphetamine,,23,2008
Republic of Moldova,Methamphetamine,,45385,2014
Russian Federation,Methamphetamine,,75,2012
Ukraine,Methamphetamine,,9,2015
Austria,Methamphetamine,,98.5,2015
Belgium,Methamphetamine,,188.2,2015
Bosnia and Herzegovina,Methamphetamine,,,
Bulgaria,Methamphetamine,,32.8,2015
Croatia,Methamphetamine,,,
Cyprus,Methamphetamine,,87.5,2015
Cyprus,Methamphetamine,,,
Czechia,Methamphetamine,,29.2,2015
Estonia,Methamphetamine,,19.7,2014
Finland,Methamphetamine,,32.8,2015
France,Methamphetamine,,39.5,2014
Germany,Methamphetamine,,103.9,2015
Hungary,Methamphetamine,,7.1,2015
Ireland,Methamphetamine,,7.9,2014
Latvia,Methamphetamine,,16.4,2015
Liechtenstein,Methamphetamine,,11,2009
Lithuania,Methamphetamine,,12.8,2015
Montenegro,Methamphetamine,,21.9,2015
Poland,Methamphetamine,,70.8,2014
Portugal,Methamphetamine,,,
Romania,Methamphetamine,,,
Slovenia,Methamphetamine,,139.6,2011
Spain,Methamphetamine,,,
Sweden,Methamphetamine,,25.3,2008
Switzerland,Methamphetamine,,302.7,2015
United Kingdom,Methamphetamine,,118.5,2015
United Kingdom (England and Wales),Methamphetamine,,,
Australia,Methamphetamine,,,
New Zealand,Methamphetamine,,515.8,2015
