Country,ATS-type,Unit,Retail level typical price,Year
Canada,Methamphetamine,Tablets,,
Japan,Methamphetamine,Tablets,,
Lao People's Democratic Republic,Methamphetamine,Tablets,2,2015
"Macao SAR, China",Methamphetamine,Tablets,31,2015
Malaysia,Methamphetamine,Tablets,5.1,2015
Singapore,Methamphetamine,Tablets,14,2015
Viet Nam,Methamphetamine,Tablets,3.5,2015
France,Methamphetamine,Tablets,,
Montenegro,Methamphetamine,Tablets,10.9,2015
Spain,Methamphetamine,Tablets,7.1,2012
Switzerland,Methamphetamine,Tablets,,
Turkey,Methamphetamine,Tablets,,
