Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Armenia,2014,0.02,Gram,n/a,n/a,https://data.unodc.org/#state:23
Armenia,2012,0.02,Gram,,,
Armenia,2011,0.008,Gram,,,
Kazakhstan,2015,0.73,Gram,,,
Kazakhstan,2015,0.77,Gram,,,
Kazakhstan,2012,0.17,Gram,,,
"China, Taiwan Province of China",2015,2.7,Gram,,,
"China, Taiwan Province of China",2014,3.6,Gram,,,
"China, Taiwan Province of China",2013,292.6,Gram,,,
"China, Taiwan Province of China",2012,0.9,Gram,,,
"China, Taiwan Province of China",2011,13.7,Gram,,,
Singapore,2015,37.07,Gram,,,
Singapore,2014,181.6,Gram,,,
Singapore,2013,93.73,Gram,,,
Singapore,2012,92.65,Gram,,,
Singapore,2011,62.92,Gram,,,
Romania,2013,0.08,Gram,,,
Estonia,2012,71,Gram,,,
France,2015,756,Gram,,,
France,2014,60,Gram,,,
Iceland,2015,4.75,Gram,,,
Latvia,2014,0.28,Gram,,,
Latvia,2013,0.74,Gram,,,
Latvia,2012,5.11,Gram,,,
Latvia,2011,43.54,Gram,,,
Portugal,2015,5.2,Gram,,,
Spain,2015,5,Gram,,,
Sweden,2015,2,Gram,,,
Panama,2012,21.4,Kilogram,,,
Canada,2015,0.32,Kilogram,,,
Canada,2014,6.51,Kilogram,,,
Canada,2013,0.62,Kilogram,,,
Canada,2012,2.8,Kilogram,,,
Canada,2011,0.8,Kilogram,,,
Mexico,2014,21.68,Kilogram,,,
Mexico,2011,7.91,Kilogram,,,
United States of America,2015,182.96,Kilogram,,,
United States of America,2014,63,Kilogram,,,
United States of America,2013,49.46,Kilogram,,,
United States of America,2012,24,Kilogram,,,
United States of America,2011,2.6,Kilogram,,,
Bolivia (Plurinational State of),2011,23.09,Kilogram,,,
Colombia,2015,25.99,Kilogram,,,
Colombia,2014,226.3,Kilogram,,,
Colombia,2011,13.32,Kilogram,,,
Georgia,2014,11.8,Kilogram,,,
Kazakhstan,2014,0.00001,Kilogram,,,
Kazakhstan,2014,0.009,Kilogram,,,
Tajikistan,2012,3.95,Kilogram,,,
Tajikistan,2011,7.61,Kilogram,,,
China,2015,190.98,Kilogram,,,
China,2014,248,Kilogram,,,
China,2011,199.1,Kilogram,,,
China,2014,1.14,Kilogram,,,
Japan,2012,0.0089,Kilogram,,,
Mongolia,2013,10,Kilogram,,,
Myanmar,2011,36.88,Kilogram,,,
Afghanistan,2015,18.31,Kilogram,,,
Afghanistan,2014,"6,368.70",Kilogram,,,
Afghanistan,2013,"23,979.96",Kilogram,,,
Afghanistan,2012,"43,518.91",Kilogram,,,
Afghanistan,2011,"64,028.08",Kilogram,,,
Iran (Islamic Republic of),2015,"8,258",Kilogram,,,
Iran (Islamic Republic of),2014,"12,717",Kilogram,,,
Iran (Islamic Republic of),2013,"10,429",Kilogram,,,
Iran (Islamic Republic of),2012,"6,997",Kilogram,,,
Iran (Islamic Republic of),2011,"6,811",Kilogram,,,
Pakistan,2015,762,Kilogram,,,
Pakistan,2014,"1,077",Kilogram,,,
Pakistan,2013,"3,754.25",Kilogram,,,
Pakistan,2012,"1,368.75",Kilogram,,,
Pakistan,2011,"4,296.32",Kilogram,,,
India,2015,61,Kilogram,,,
India,2014,25.53,Kilogram,,,
India,2013,7,Kilogram,,,
India,2012,262.79,Kilogram,,,
India,2011,52.51,Kilogram,,,
Belarus,2012,0.4,Kilogram,,,
Belarus,2011,0.02,Kilogram,,,
Republic of Moldova,2014,0.03,Kilogram,,,
Russian Federation,2015,1.44,Kilogram,,,
Russian Federation,2014,1.5,Kilogram,,,
Russian Federation,2013,5.4,Kilogram,,,
Russian Federation,2012,4.9,Kilogram,,,
Russian Federation,2011,1.02,Kilogram,,,
Bulgaria,2014,3,Kilogram,,,
Romania,2012,0.02,Kilogram,,,
Turkey,2015,18.48,Kilogram,,,
Turkey,2014,48.37,Kilogram,,,
Turkey,2013,3,Kilogram,,,
Turkey,2012,0.002,Kilogram,,,
Turkey,2011,32.83,Kilogram,,,
Austria,2015,0.06,Kilogram,,,
Austria,2014,0.18,Kilogram,,,
Austria,2013,0.09,Kilogram,,,
Austria,2012,0.28,Kilogram,,,
Austria,2011,0.08,Kilogram,,,
Belgium,2015,0.5,Kilogram,,,
Belgium,2013,10.1,Kilogram,,,
France,2013,0.1,Kilogram,,,
France,2012,0.09,Kilogram,,,
France,2011,0.36,Kilogram,,,
Hungary,2015,2.5,Kilogram,,,
Hungary,2014,5.91,Kilogram,,,
Hungary,2013,2.34,Kilogram,,,
Italy,2015,0.77,Kilogram,,,
Italy,2014,0.11,Kilogram,,,
Italy,2013,0.002,Kilogram,,,
Italy,2012,2.05,Kilogram,,,
Italy,2011,0.32,Kilogram,,,
Poland,2013,0.05,Kilogram,,,
Portugal,2013,18.85,Kilogram,,,
Slovakia,2012,0.04,Kilogram,,,
Slovenia,2014,2,Kilogram,,,
Slovenia,2011,0.43,Kilogram,,,
Spain,2014,27,Kilogram,,,
Spain,2013,20,Kilogram,,,
Spain,2012,0.11,Kilogram,,,
Spain,2011,0.06,Kilogram,,,
Switzerland,2015,0.01,Kilogram,,,
Switzerland,2012,0.13,Kilogram,,,
United Kingdom,2013,7,Kilogram,,,
United Kingdom,2012,6,Kilogram,,,
United Kingdom,2011,40,Kilogram,,,
Australia,2015,0.95,Kilogram,,,
Australia,2014,10.04,Kilogram,,,
Australia,2013,0.66,Kilogram,,,
Australia,2012,0.15,Kilogram,,,
Australia,2011,0.33,Kilogram,,,
