Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Singapore,2015,Other NPS,"2,906.19",Gram,,,
Singapore,2014,Other NPS,0.17,Gram,,,
Romania,2015,Other NPS,74.5,Gram,,,
Cyprus,2013,Other NPS,117,Gram,,,
Latvia,2015,Other NPS,"8,424.24",Gram,,,
,,,,,,,
Chad,2014,Other NPS,"1,000",Kilogram,,,
Chad,2013,Other NPS,150,Kilogram,,,
Azerbaijan,2012,Other NPS,7.52,Kilogram,,,
Republic of Moldova,2015,Other NPS,0.005392,Kilogram,,,
Russian Federation,2014,Other NPS,163.6,Kilogram,,,
Bulgaria,2012,Other NPS,12,Kilogram,,,
Bulgaria,2011,Other NPS,0.04,Kilogram,,,
Bulgaria,2011,Other NPS,2,Kilogram,,,
Romania,2013,Other NPS,1.42,Kilogram,,,
Norway,2015,Other NPS,1.11,Kilogram,,,
Slovakia,2013,Other NPS,1.84,Kilogram,,,
Sweden,2015,Other NPS,27,Kilogram,,,
Sweden,2014,Other NPS,29.9,Kilogram,,,
Sweden,2013,Other NPS,71.51,Kilogram,,,
Switzerland,2015,Other NPS,12.2,Kilogram,,,
Switzerland,2014,Other NPS,24.31,Kilogram,,,
Switzerland,2014,Other NPS,0.06,Kilogram,,,
