Country,Year,Number,Definition,Interpretation,Link
United States of America,2015,,n/a,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence. Opioids include prescription opioids, opiates (opiates include opium and heroin). Includes estimates for the countries for which a total Opioid prevalence was reported or available.",https://data.unodc.org/#state:9
Russian Federation,2015,,,,
Hungary,2015,0,,,
Latvia,2015,0.2,,,
Slovakia,2015,0,,,
United States of America,2014,,,,
Chile,2014,0.62,,,
Serbia,2014,6.1,,,
Czechia,2014,,,,
Austria,2013,,,,
Belgium,2013,0.1,,,
Czechia,2013,,,,
Slovenia,2013,,,,
Sweden,2013,0.46,,,
Australia,2013,3.2,,,
Pakistan,2012,1.4,,,
Maldives,2012,,,,
Finland,2012,,,,
Germany,2012,0.3,,,
Mexico,2011,,,,
Uruguay,2011,,,,
Bulgaria,2011,,,,
Austria,2011,,,,
France,2013/14,,,,
Italy,2013/14,0.6,,,
