Country,Year,Number,Definition,Interpretation,Link
United States of America,2015,,n/a,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence. Opioids include prescription opioids, opiates (opiates include opium and heroin). Includes estimates for the countries for which a total Opioid prevalence was reported or available.",https://data.unodc.org/#state:9
Russian Federation,2015,,,,
Hungary,2015,0.17,,,
Latvia,2015,0.9,,,
Slovakia,2015,0.5,,,
United States of America,2014,,,,
Chile,2014,0.54,,,
Serbia,2014,4.15,,,
Czechia,2014,,,,
Austria,2013,,,,
Belgium,2013,0.3,,,
Czechia,2013,,,,
Slovenia,2013,,,,
Sweden,2013,0.59,,,
Australia,2013,3.3,,,
Pakistan,2012,3.4,,,
Maldives,2012,,,,
Finland,2012,,,,
Germany,2012,0.4,,,
Mexico,2011,,,,
Uruguay,2011,,,,
Bulgaria,2011,,,,
Austria,2011,,,,
France,2013/14,,,,
Italy,2013/14,1.1,,,
