Country,Year,Number,Definition,Interpretation,Link
Algeria,2015,-,,"* Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs.",https://data.unodc.org/#state:44
Botswana,2010,-,,,
Kenya,2014,,,,
Madagascar,2015,,,,
Morocco,2015,100.00%,,,
Mozambique,2015,70.60%,,,
Nigeria,2015,0.90%,,,
Sudan,2014,-,,,
South Africa,2015,36.40%,,,
United Republic of Tanzania,2014,100.00%,,,
Togo,2010,-,,,
Tunisia,2013,,,,
