Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Algeria,2015,Opium,14,Gram,,,
Algeria,2014,Opium,"41,325",Gram,,,
Algeria,2013,Opium,500,Gram,,,
Algeria,2012,Opium,13,Gram,,,
Algeria,2011,Opium,850.1,Gram,,,
Armenia,2015,Opium,"4,338",Gram,,,
Armenia,2014,Opium,"2,505",Gram,,,
Armenia,2011,Opium,"1,163.20",Gram,,,
Georgia,2013,Opium,53.15,Gram,,,
Georgia,2012,Opium,6.1,Gram,,,
Georgia,2011,Opium,87.6,Gram,,,
Kazakhstan,2014,Opium,"49,028",Gram,,,
Kazakhstan,2013,Opium,163.05,Gram,,,
Kazakhstan,2012,Opium,"183,011.91",Gram,,,
"China, Taiwan Province of China",2012,Opium,31,Gram,,,
Singapore,2015,Opium,1,Gram,,,
Singapore,2014,Opium,4.08,Gram,,,
Singapore,2012,Opium,666.81,Gram,,,
Jordan,2014,Opium,34,Gram,,,
Jordan,2011,Opium,937,Gram,,,
Lebanon,2015,Opium,0.2,Gram,,,
Lebanon,2011,Opium,198,Gram,,,
Qatar,2013,Opium,3,Gram,,,
Qatar,2012,Opium,3,Gram,,,
Saudi Arabia,2015,Opium,110,Gram,,,
Saudi Arabia,2014,Opium,37.4,Gram,,,
Saudi Arabia,2011,Opium,44.4,Gram,,,
Syrian Arab Republic,2014,Opium,150,Gram,,,
Romania,2014,Opium,685.19,Gram,,,
Andorra,2012,Opium,37,Gram,,,
Cyprus,2015,Opium,1,Gram,,,
Cyprus,2014,Opium,494,Gram,,,
Czechia,2015,Opium,792,Gram,,,
Czechia,2014,Opium,5,Gram,,,
Estonia,2014,Opium,1.18,Gram,,,
Finland,2011,Opium,27,Gram,,,
Hungary,2014,Opium,2.2,Gram,,,
Latvia,2015,Opium,0.99,Gram,,,
Latvia,2013,Opium,0.7,Gram,,,
Latvia,2012,Opium,2.51,Gram,,,
Latvia,2011,Opium,15.23,Gram,,,
Portugal,2015,Opium,7.9,Gram,,,
Portugal,2014,Opium,8,Gram,,,
New Zealand,2015,Opium,280.35,Gram,,,
,,,,,,,
Egypt,2015,Opium,159,Kilogram,,,
Egypt,2014,Opium,99.36,Kilogram,,,
Egypt,2013,Opium,83,Kilogram,,,
Egypt,2012,Opium,49.26,Kilogram,,,
Egypt,2011,Opium,10.77,Kilogram,,,
Ghana,2013,Opium,6.04,Kilogram,,,
Canada,2015,Opium,174.87,Kilogram,,,
Canada,2014,Opium,107.23,Kilogram,,,
Canada,2013,Opium,135,Kilogram,,,
Canada,2012,Opium,195.26,Kilogram,,,
Canada,2011,Opium,426,Kilogram,,,
Mexico,2015,Opium,"1,306.11",Kilogram,,,
Mexico,2014,Opium,"1,607.89",Kilogram,,,
Mexico,2013,Opium,227.07,Kilogram,,,
Mexico,2011,Opium,"1,451.92",Kilogram,,,
United States of America,2015,Opium,"2,155.48",Kilogram,,,
United States of America,2014,Opium,"6,429",Kilogram,,,
United States of America,2013,Opium,"38,351.65",Kilogram,,,
United States of America,2012,Opium,"3,394.35",Kilogram,,,
United States of America,2011,Opium,234.64,Kilogram,,,
United States of America,2011,Opium,"2,106.71",Kilogram,,,
Argentina,2011,Opium,0.08,Kilogram,,,
Colombia,2015,Opium,"1,723.90",Kilogram,,,
Colombia,2014,Opium,1.03,Kilogram,,,
Colombia,2013,Opium,1,Kilogram,,,
Colombia,2011,Opium,205.01,Kilogram,,,
Peru,2014,Opium,8.68,Kilogram,,,
Peru,2013,Opium,68.5,Kilogram,,,
Peru,2012,Opium,71.41,Kilogram,,,
Peru,2011,Opium,4.35,Kilogram,,,
Armenia,2013,Opium,14.71,Kilogram,,,
Armenia,2012,Opium,6.64,Kilogram,,,
Azerbaijan,2015,Opium,240.1,Kilogram,,,
Azerbaijan,2014,Opium,327.14,Kilogram,,,
Azerbaijan,2013,Opium,170.28,Kilogram,,,
Azerbaijan,2012,Opium,240.42,Kilogram,,,
Azerbaijan,2011,Opium,52.22,Kilogram,,,
Georgia,2014,Opium,0.22,Kilogram,,,
Kazakhstan,2011,Opium,11.36,Kilogram,,,
Kyrgyzstan,2015,Opium,46.34,Kilogram,,,
Kyrgyzstan,2014,Opium,158.11,Kilogram,,,
Kyrgyzstan,2013,Opium,132.38,Kilogram,,,
Kyrgyzstan,2012,Opium,16.46,Kilogram,,,
Kyrgyzstan,2011,Opium,70.28,Kilogram,,,
Tajikistan,2015,Opium,"1,079.29",Kilogram,,,
Tajikistan,2014,Opium,990.44,Kilogram,,,
Tajikistan,2013,Opium,774.05,Kilogram,,,
Tajikistan,2012,Opium,626.9,Kilogram,,,
Tajikistan,2011,Opium,490.31,Kilogram,,,
Turkmenistan,2015,Opium,243.28,Kilogram,,,
Turkmenistan,2014,Opium,180.57,Kilogram,,,
Turkmenistan,2013,Opium,396.34,Kilogram,,,
Turkmenistan,2012,Opium,662.65,Kilogram,,,
Turkmenistan,2011,Opium,753.56,Kilogram,,,
Uzbekistan,2015,Opium,882.2,Kilogram,,,
Uzbekistan,2014,Opium,881.9,Kilogram,,,
Uzbekistan,2013,Opium,851.3,Kilogram,,,
Uzbekistan,2012,Opium,770.01,Kilogram,,,
Uzbekistan,2011,Opium,983.83,Kilogram,,,
China,2015,Opium,"2,451.90",Kilogram,,,
China,2014,Opium,"1,741",Kilogram,,,
China,2013,Opium,"1,463.53",Kilogram,,,
China,2012,Opium,844.7,Kilogram,,,
China,2011,Opium,823.02,Kilogram,,,
China,2013,Opium,8.34,Kilogram,,,
China,2012,Opium,2.25,Kilogram,,,
China,2011,Opium,21.43,Kilogram,,,
Japan,2014,Opium,0.2,Kilogram,,,
Japan,2013,Opium,0.18,Kilogram,,,
Japan,2012,Opium,0.15,Kilogram,,,
Japan,2011,Opium,7.57,Kilogram,,,
Lao People's Democratic Republic,2015,Opium,51.59,Kilogram,,,
Lao People's Democratic Republic,2014,Opium,12.75,Kilogram,,,
Lao People's Democratic Republic,2013,Opium,89.73,Kilogram,,,
Lao People's Democratic Republic,2012,Opium,87.6,Kilogram,,,
Lao People's Democratic Republic,2011,Opium,63.4,Kilogram,,,
Malaysia,2015,Opium,0.1,Kilogram,,,
Malaysia,2014,Opium,0.13,Kilogram,,,
Malaysia,2013,Opium,0.31,Kilogram,,,
Malaysia,2012,Opium,10.9,Kilogram,,,
Malaysia,2011,Opium,0.85,Kilogram,,,
Myanmar,2015,Opium,961.85,Kilogram,,,
Myanmar,2014,Opium,"1,828.40",Kilogram,,,
Myanmar,2013,Opium,"2,357",Kilogram,,,
Myanmar,2012,Opium,"1,470.40",Kilogram,,,
Myanmar,2011,Opium,828.27,Kilogram,,,
Republic of Korea,2015,Opium,0.23,Kilogram,,,
Republic of Korea,2014,Opium,0.11,Kilogram,,,
Singapore,2011,Opium,0.18,Kilogram,,,
Thailand,2015,Opium,250.97,Kilogram,,,
Thailand,2013,Opium,176,Kilogram,,,
Thailand,2012,Opium,30.1,Kilogram,,,
Thailand,2011,Opium,31,Kilogram,,,
Viet Nam,2015,Opium,133.8,Kilogram,,,
Viet Nam,2014,Opium,32,Kilogram,,,
Viet Nam,2013,Opium,117,Kilogram,,,
Viet Nam,2012,Opium,225,Kilogram,,,
Viet Nam,2011,Opium,76.2,Kilogram,,,
Afghanistan,2015,Opium,"30,307.10",Kilogram,,,
Afghanistan,2014,Opium,"66,196.74",Kilogram,,,
Afghanistan,2013,Opium,"115,690.40",Kilogram,,,
Afghanistan,2012,Opium,"123,939.70",Kilogram,,,
Afghanistan,2011,Opium,"49,343.84",Kilogram,,,
Iran (Islamic Republic of),2015,Opium,"478,814",Kilogram,,,
Iran (Islamic Republic of),2014,Opium,"393,013",Kilogram,,,
Iran (Islamic Republic of),2013,Opium,"436,159",Kilogram,,,
Iran (Islamic Republic of),2012,Opium,"385,085",Kilogram,,,
Iran (Islamic Republic of),2012,Opium,"1,978",Kilogram,,,
Iran (Islamic Republic of),2012,Opium,543,Kilogram,,,
Iran (Islamic Republic of),2011,Opium,"373,818",Kilogram,,,
Jordan,2013,Opium,0.02,Kilogram,,,
Jordan,2012,Opium,10.48,Kilogram,,,
Kuwait,2011,Opium,9.6,Kilogram,,,
Pakistan,2015,Opium,"58,928.99",Kilogram,,,
Pakistan,2014,Opium,"46,894.96",Kilogram,,,
Pakistan,2013,Opium,"33,870.40",Kilogram,,,
Pakistan,2012,Opium,"29,480.66",Kilogram,,,
Pakistan,2011,Opium,"23,419.22",Kilogram,,,
Qatar,2011,Opium,535.3,Kilogram,,,
Saudi Arabia,2013,Opium,0.07,Kilogram,,,
Saudi Arabia,2012,Opium,7.31,Kilogram,,,
United Arab Emirates,2015,Opium,74,Kilogram,,,
United Arab Emirates,2012,Opium,69,Kilogram,,,
Bangladesh,2014,Opium,20.2,Kilogram,,,
Bangladesh,2013,Opium,13,Kilogram,,,
Bangladesh,2012,Opium,4.8,Kilogram,,,
Bangladesh,2011,Opium,8.07,Kilogram,,,
India,2015,Opium,"1,687",Kilogram,,,
India,2014,Opium,"2,062.75",Kilogram,,,
India,2013,Opium,"2,333",Kilogram,,,
India,2012,Opium,"3,623.43",Kilogram,,,
India,2011,Opium,"2,347.58",Kilogram,,,
Sri Lanka,2015,Opium,2.21,Kilogram,,,
Sri Lanka,2013,Opium,0.5,Kilogram,,,
Belarus,2014,Opium,0.08,Kilogram,,,
Belarus,2013,Opium,1.37,Kilogram,,,
Belarus,2012,Opium,0.004,Kilogram,,,
Russian Federation,2015,Opium,6.29,Kilogram,,,
Russian Federation,2014,Opium,46.6,Kilogram,,,
Russian Federation,2013,Opium,80.6,Kilogram,,,
Russian Federation,2012,Opium,182.9,Kilogram,,,
Russian Federation,2011,Opium,47.89,Kilogram,,,
Ukraine,2015,Opium,56.67,Kilogram,,,
Ukraine,2014,Opium,33.34,Kilogram,,,
Ukraine,2013,Opium,119.6,Kilogram,,,
Ukraine,2012,Opium,5.5,Kilogram,,,
Ukraine,2011,Opium,0.73,Kilogram,,,
Bulgaria,2015,Opium,4.8,Kilogram,,,
Bulgaria,2014,Opium,18.73,Kilogram,,,
Bulgaria,2013,Opium,1.04,Kilogram,,,
Bulgaria,2012,Opium,0.81,Kilogram,,,
Bulgaria,2011,Opium,12.08,Kilogram,,,
Romania,2012,Opium,9.79,Kilogram,,,
The former Yugoslav Republic of Macedonia,2012,Opium,0.08,Kilogram,,,
Turkey,2015,Opium,585.81,Kilogram,,,
Turkey,2014,Opium,159.52,Kilogram,,,
Turkey,2013,Opium,210.65,Kilogram,,,
Turkey,2012,Opium,875.75,Kilogram,,,
Turkey,2011,Opium,182.23,Kilogram,,,
Austria,2015,Opium,25.39,Kilogram,,,
Austria,2014,Opium,16.5,Kilogram,,,
Austria,2013,Opium,2.03,Kilogram,,,
Austria,2012,Opium,5.92,Kilogram,,,
Austria,2011,Opium,2.5,Kilogram,,,
Belgium,2015,Opium,0.99,Kilogram,,,
Belgium,2013,Opium,11.19,Kilogram,,,
Belgium,2012,Opium,2.28,Kilogram,,,
Belgium,2011,Opium,11.46,Kilogram,,,
Cyprus,2013,Opium,0.6,Kilogram,,,
Cyprus,2012,Opium,0.13,Kilogram,,,
Cyprus,2011,Opium,0.11,Kilogram,,,
Czechia,2013,Opium,0.84,Kilogram,,,
Denmark,2015,Opium,0.05,Kilogram,,,
France,2015,Opium,"4,040",Kilogram,,,
France,2014,Opium,2.1,Kilogram,,,
France,2013,Opium,0.9,Kilogram,,,
France,2012,Opium,6.01,Kilogram,,,
France,2011,Opium,0.07,Kilogram,,,
Germany,2015,Opium,95.8,Kilogram,,,
Germany,2014,Opium,15.36,Kilogram,,,
Germany,2013,Opium,293.61,Kilogram,,,
Germany,2012,Opium,81.17,Kilogram,,,
Germany,2011,Opium,112.24,Kilogram,,,
Greece,2015,Opium,0.03,Kilogram,,,
Greece,2014,Opium,0.48,Kilogram,,,
Greece,2013,Opium,3.14,Kilogram,,,
Greece,2012,Opium,1.14,Kilogram,,,
Greece,2011,Opium,4.68,Kilogram,,,
Hungary,2015,Opium,0.04,Kilogram,,,
Hungary,2012,Opium,48,Kilogram,,,
Italy,2015,Opium,4.32,Kilogram,,,
Italy,2014,Opium,106.51,Kilogram,,,
Italy,2013,Opium,91.2,Kilogram,,,
Italy,2012,Opium,7.03,Kilogram,,,
Italy,2011,Opium,8.26,Kilogram,,,
Netherlands,2015,Opium,3,Kilogram,,,
Netherlands,2012,Opium,1,Kilogram,,,
Netherlands,2011,Opium,"1,140",Kilogram,,,
Norway,2015,Opium,8.55,Kilogram,,,
Norway,2014,Opium,0.63,Kilogram,,,
Norway,2013,Opium,4.44,Kilogram,,,
Norway,2012,Opium,1.3,Kilogram,,,
Norway,2011,Opium,0.02,Kilogram,,,
Portugal,2013,Opium,6.55,Kilogram,,,
Portugal,2011,Opium,0.02,Kilogram,,,
Slovenia,2011,Opium,0.39,Kilogram,,,
Spain,2015,Opium,1.09,Kilogram,,,
Spain,2014,Opium,2,Kilogram,,,
Spain,2013,Opium,7,Kilogram,,,
Spain,2012,Opium,2.82,Kilogram,,,
Spain,2011,Opium,0.44,Kilogram,,,
Sweden,2015,Opium,7.24,Kilogram,,,
Sweden,2014,Opium,18.4,Kilogram,,,
Sweden,2013,Opium,14.38,Kilogram,,,
Sweden,2012,Opium,4.6,Kilogram,,,
Sweden,2011,Opium,54.2,Kilogram,,,
Switzerland,2015,Opium,0.08,Kilogram,,,
Switzerland,2014,Opium,0.13,Kilogram,,,
Switzerland,2013,Opium,0.42,Kilogram,,,
Switzerland,2012,Opium,1.75,Kilogram,,,
Switzerland,2011,Opium,0.2,Kilogram,,,
Australia,2015,Opium,194.78,Kilogram,,,
Australia,2014,Opium,"1,558.35",Kilogram,,,
Australia,2013,Opium,5.52,Kilogram,,,
Australia,2012,Opium,103.64,Kilogram,,,
Australia,2011,Opium,418.48,Kilogram,,,
New Zealand,2014,Opium,0.04,Kilogram,,,
New Zealand,2013,Opium,2.11,Kilogram,,,
New Zealand,2012,Opium,0.00048,Kilogram,,,
New Zealand,2011,Opium,0.03,Kilogram,,,
