Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Mauritius,2014,Other types of cannabis,253.9,Gram,,,
Canada,2014,Other types of cannabis,75,Gram,,,
Armenia,2015,Other types of cannabis,0.69,Gram,,,
Armenia,2014,Other types of cannabis,0.54,Gram,,,
Kazakhstan,2012,Other types of cannabis,"1,847.64",Gram,,,
"China, Taiwan Province of China",2015,Other types of cannabis,5.1,Gram,,,
Indonesia,2015,Other types of cannabis,95.86,Gram,,,
Indonesia,2015,Other types of cannabis,303.2,Gram,,,
Syrian Arab Republic,2015,Other types of cannabis,374,Gram,,,
Andorra,2015,Other types of cannabis,3.1,Gram,,,
Cyprus,2015,Other types of cannabis,217,Gram,,,
Latvia,2015,Other types of cannabis,0.47,Gram,,,
Luxembourg,2015,Other types of cannabis,83.4,Gram,,,
,,,,,,,
Morocco,2014,Other types of cannabis,145.04,Kilogram,,,
Morocco,2013,Other types of cannabis,287.24,Kilogram,,,
Morocco,2012,Other types of cannabis,414.43,Kilogram,,,
Canada,2015,Other types of cannabis,0.75,Kilogram,,,
Canada,2015,Other types of cannabis,3.43,Kilogram,,,
Canada,2015,Other types of cannabis,0.3,Kilogram,,,
United States of America,2013,Other types of cannabis,"1,132.77",Kilogram,,,
Ecuador,2015,Other types of cannabis,0.01,Kilogram,,,
Philippines,2012,Other types of cannabis,425.65,Kilogram,,,
Lebanon,2015,Other types of cannabis,"2,725",Kilogram,,,
India,2014,Other types of cannabis,115.8,Kilogram,,,
Romania,2015,Other types of cannabis,55.43,Kilogram,,,
Romania,2011,Other types of cannabis,17.46,Kilogram,,,
Belgium,2014,Other types of cannabis,19,Kilogram,,,
Spain,2015,Other types of cannabis,5.2,Kilogram,,,
Australia,2014,Other types of cannabis,12.18,Kilogram,,,
Australia,2013,Other types of cannabis,1.33,Kilogram,,,
Australia,2011,Other types of cannabis,0.08,Kilogram,,,
