Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Egypt,2011,Other stimulants,200,Gram,,,
Namibia,2015,Other stimulants,455,Gram,,,
Namibia,2014,Other stimulants,7,Gram,,,
Namibia,2012,Other stimulants,20,Gram,,,
Canada,2015,Other stimulants,13.29,Gram,,,
Canada,2015,Other stimulants,10,Gram,,,
Canada,2015,Other stimulants,194.8,Gram,,,
"China, Taiwan Province of China",2015,Other stimulants,388.4,Gram,,,
"China, Taiwan Province of China",2015,Other stimulants,143.9,Gram,,,
"China, Taiwan Province of China",2015,Other stimulants,"1,995.40",Gram,,,
"China, Taiwan Province of China",2014,Other stimulants,"4,008.50",Gram,,,
"China, Taiwan Province of China",2014,Other stimulants,13.7,Gram,,,
"China, Taiwan Province of China",2014,Other stimulants,"2,108.70",Gram,,,
"China, Taiwan Province of China",2014,Other stimulants,"1,353",Gram,,,
"China, Taiwan Province of China",2013,Other stimulants,"2,951.60",Gram,,,
"China, Taiwan Province of China",2013,Other stimulants,"2,807.80",Gram,,,
"China, Taiwan Province of China",2013,Other stimulants,"16,391.10",Gram,,,
Indonesia,2015,Other stimulants,3.1,Gram,,,
Philippines,2015,Other stimulants,2.47,Gram,,,
Singapore,2013,Other stimulants,102,Gram,,,
Romania,2014,Other stimulants,578.95,Gram,,,
The former Yugoslav Republic of Macedonia,2014,Other stimulants,20.71,Gram,,,
Estonia,2014,Other stimulants,381.4,Gram,,,
Estonia,2013,Other stimulants,1.68,Gram,,,
Estonia,2013,Other stimulants,10.26,Gram,,,
Estonia,2013,Other stimulants,199.2,Gram,,,
Ireland,2012,Other stimulants,"31,628",Gram,,,
Latvia,2013,Other stimulants,30.5,Gram,,,
Latvia,2012,Other stimulants,"5,928.67",Gram,,,
Latvia,2012,Other stimulants,1.96,Gram,,,
Latvia,2011,Other stimulants,765.16,Gram,,,
Latvia,2011,Other stimulants,226.5,Gram,,,
Latvia,2011,Other stimulants,"1,990.30",Gram,,,
Lithuania,2013,Other stimulants,498,Gram,,,
Malta,2015,Other stimulants,109.72,Gram,,,
Malta,2014,Other stimulants,9.05,Gram,,,
Malta,2013,Other stimulants,38.6,Gram,,,
Poland,2012,Other stimulants,10,Gram,,,
,,,,,,,
Namibia,2013,Other stimulants,0.02,Kilogram,,,
South Africa,2015,Other stimulants,0.5,Kilogram,,,
Canada,2014,Other stimulants,2.31,Kilogram,,,
Canada,2013,Other stimulants,3.07,Kilogram,,,
Canada,2012,Other stimulants,2.29,Kilogram,,,
Canada,2012,Other stimulants,24.79,Kilogram,,,
Armenia,2015,Other stimulants,0.009018,Kilogram,,,
China,2015,Other stimulants,"1,786.14",Kilogram,,,
Japan,2012,Other stimulants,1.61,Kilogram,,,
Myanmar,2015,Other stimulants,197.88,Kilogram,,,
Philippines,2014,Other stimulants,0.94,Kilogram,,,
Pakistan,2014,Other stimulants,0.12,Kilogram,,,
Belarus,2013,Other stimulants,7.3,Kilogram,,,
Belarus,2013,Other stimulants,186.65,Kilogram,,,
Belarus,2012,Other stimulants,0.08,Kilogram,,,
Russian Federation,2015,Other stimulants,10.29,Kilogram,,,
Russian Federation,2015,Other stimulants,58.94,Kilogram,,,
Russian Federation,2014,Other stimulants,23.6,Kilogram,,,
Russian Federation,2014,Other stimulants,24.4,Kilogram,,,
Russian Federation,2013,Other stimulants,7.1,Kilogram,,,
