Country,Year,Number,Definition,Interpretation,Link
Albania,,,," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,,,,
Austria,2014,2.3,,,
Belarus,2011/2014***,,,,
Belgium,2015,,,,
Bosnia and Herzegovina,2010-2015,,,,
Bulgaria,2015,,,,
Croatia,2015,,,,
Cyprus,2013,4.4,,,
Czechia,2015,,,,
Denmark,2013,,,,
Estonia,2015,2.1,,,
Finland,2014,,,,
France,2014,3.8,,,
Germany,2014,,,,
Gibraltar,,,,,
Greece,2014,,,,
Macedonia (TFYR),,,,,
Hungary,2015,,,,
Iceland,,,,,
Ireland,2014,,,,
Italy,2015,0.8,,,
Latvia,2015,5.2,,,
Liechtenstein,2015,,,,
Lithuania,2015,,,,
Luxembourg,2015,,,,
Malta,2014,,,,
Moldova (Republic of),2011/ 2013***,,,,
Monaco,2013,,,,
Montenegro,2015,,,,
Netherlands,2014,,,,
Norway,2014,,,,
Poland,2014,,,,
Portugal,2015,0.9,,,
Romania,2015,0.6,,,
Russian Federation,2014,,,,
Serbia,2015,,,,
Slovakia,2015,,,,
Slovenia,2014,,,,
Spain,2014,1.3,,,
Sweden,2014,,,,
Switzerland,,,,,
Turkey,2015,,,,
Ukraine,2015,,,,
United Kingdom,2014,,,,
