Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Kenya,2014,Other sedatives and tranquillizers,69,Tablet,,,
Canada,2015,Other sedatives and tranquillizers,50,Tablet,,,
Canada,2014,Other sedatives and tranquillizers,"1,018",Tablet,,,
Canada,2013,Other sedatives and tranquillizers,"3,939",Tablet,,,
Canada,2012,Other sedatives and tranquillizers,"5,556",Tablet,,,
Canada,2011,Other sedatives and tranquillizers,"3,942",Tablet,,,
"China, Macao SAR",2013,Other sedatives and tranquillizers,4,Tablet,,,
Japan,2013,Other sedatives and tranquillizers,"12,588",Tablet,,,
Singapore,2013,Other sedatives and tranquillizers,"21,922",Tablet,,,
Thailand,2014,Other sedatives and tranquillizers,"104,805,489",Tablet,,,
Thailand,2013,Other sedatives and tranquillizers,"126,090,345",Tablet,,,
Romania,2015,Other sedatives and tranquillizers,17,Tablet,,,
Ireland,2015,Other sedatives and tranquillizers,28,Tablet,,,
Ireland,2014,Other sedatives and tranquillizers,"3,514",Tablet,,,
Latvia,2015,Other sedatives and tranquillizers,187,Tablet,,,
Latvia,2015,Other sedatives and tranquillizers,10,Tablet,,,
Luxembourg,2011,Other sedatives and tranquillizers,923,Tablet,,,
Norway,2015,Other sedatives and tranquillizers,"3,562",Tablet,,,
Norway,2014,Other sedatives and tranquillizers,"3,378",Tablet,,,
Norway,2013,Other sedatives and tranquillizers,"2,818",Tablet,,,
Norway,2012,Other sedatives and tranquillizers,"2,744",Tablet,,,
Australia,2014,Other sedatives and tranquillizers,6,Tablet,,,
