Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Swaziland,2012,Pharmaceutical opioids,6.8,Gram,,,
Zambia,2012,Pharmaceutical opioids,100,Gram,,,
Côte d'Ivoire,2013,Pharmaceutical opioids,673.04,Gram,,,
Canada,2015,Pharmaceutical opioids,6.93,Gram,,,
Canada,2015,Pharmaceutical opioids,0.05,Gram,,,
Canada,2015,Pharmaceutical opioids,72.65,Gram,,,
Canada,2014,Pharmaceutical opioids,12.2,Gram,,,
Canada,2012,Pharmaceutical opioids,63,Gram,,,
Canada,2012,Pharmaceutical opioids,9,Gram,,,
Canada,2012,Pharmaceutical opioids,455,Gram,,,
Canada,2011,Pharmaceutical opioids,2.32,Gram,,,
Canada,2011,Pharmaceutical opioids,0.18,Gram,,,
Canada,2011,Pharmaceutical opioids,295,Gram,,,
Canada,2011,Pharmaceutical opioids,105,Gram,,,
Armenia,2015,Pharmaceutical opioids,7.77,Gram,,,
Armenia,2015,Pharmaceutical opioids,29.8,Gram,,,
Armenia,2013,Pharmaceutical opioids,10.16,Gram,,,
Armenia,2013,Pharmaceutical opioids,9.4,Gram,,,
Armenia,2013,Pharmaceutical opioids,58.03,Gram,,,
Armenia,2012,Pharmaceutical opioids,13.6,Gram,,,
Armenia,2012,Pharmaceutical opioids,12.2,Gram,,,
Armenia,2012,Pharmaceutical opioids,49.9,Gram,,,
Armenia,2011,Pharmaceutical opioids,32.2,Gram,,,
Armenia,2011,Pharmaceutical opioids,19.65,Gram,,,
Armenia,2011,Pharmaceutical opioids,1.43,Gram,,,
Armenia,2011,Pharmaceutical opioids,0.26,Gram,,,
Armenia,2011,Pharmaceutical opioids,49.8,Gram,,,
Azerbaijan,2013,Pharmaceutical opioids,0.01,Gram,,,
Georgia,2015,Pharmaceutical opioids,27.23,Gram,,,
Georgia,2015,Pharmaceutical opioids,"1,411.02",Gram,,,
Georgia,2012,Pharmaceutical opioids,5.4,Gram,,,
Georgia,2011,Pharmaceutical opioids,14.21,Gram,,,
Kazakhstan,2015,Pharmaceutical opioids,0.02,Gram,,,
Kazakhstan,2015,Pharmaceutical opioids,3.76,Gram,,,
Tajikistan,2014,Pharmaceutical opioids,14,Gram,,,
Tajikistan,2013,Pharmaceutical opioids,105,Gram,,,
"China, Taiwan Province of China",2015,Pharmaceutical opioids,0.3,Gram,,,
"China, Taiwan Province of China",2014,Pharmaceutical opioids,72.2,Gram,,,
"China, Taiwan Province of China",2014,Pharmaceutical opioids,70.5,Gram,,,
"China, Taiwan Province of China",2014,Pharmaceutical opioids,47.5,Gram,,,
"China, Taiwan Province of China",2013,Pharmaceutical opioids,177.6,Gram,,,
"China, Taiwan Province of China",2012,Pharmaceutical opioids,16.9,Gram,,,
"China, Taiwan Province of China",2012,Pharmaceutical opioids,46.6,Gram,,,
"China, Taiwan Province of China",2011,Pharmaceutical opioids,"2,307.70",Gram,,,
State of Palestine,2013,Pharmaceutical opioids,22.6,Gram,,,
Russian Federation,2014,Pharmaceutical opioids,9.68,Gram,,,
Russian Federation,2014,Pharmaceutical opioids,541.6,Gram,,,
Russian Federation,2013,Pharmaceutical opioids,"5,411",Gram,,,
Russian Federation,2012,Pharmaceutical opioids,0.3,Gram,,,
Russian Federation,2012,Pharmaceutical opioids,0.002,Gram,,,
Russian Federation,2011,Pharmaceutical opioids,18.04,Gram,,,
Russian Federation,2011,Pharmaceutical opioids,10.35,Gram,,,
Ukraine,2015,Pharmaceutical opioids,0.06,Gram,,,
Albania,2015,Pharmaceutical opioids,513.8,Gram,,,
Albania,2014,Pharmaceutical opioids,17,Gram,,,
Romania,2015,Pharmaceutical opioids,0.84,Gram,,,
Romania,2014,Pharmaceutical opioids,0.02,Gram,,,
Romania,2013,Pharmaceutical opioids,2.47,Gram,,,
Czechia,2015,Pharmaceutical opioids,17,Gram,,,
Estonia,2014,Pharmaceutical opioids,156.2,Gram,,,
Estonia,2014,Pharmaceutical opioids,"7,366.50",Gram,,,
Estonia,2014,Pharmaceutical opioids,2.75,Gram,,,
Estonia,2013,Pharmaceutical opioids,"2,034",Gram,,,
Estonia,2013,Pharmaceutical opioids,"1,067.85",Gram,,,
Estonia,2013,Pharmaceutical opioids,42.91,Gram,,,
Estonia,2013,Pharmaceutical opioids,116.8,Gram,,,
Estonia,2012,Pharmaceutical opioids,3.5,Gram,,,
Estonia,2012,Pharmaceutical opioids,4.6,Gram,,,
France,2015,Pharmaceutical opioids,"1,695",Gram,,,
Hungary,2014,Pharmaceutical opioids,2.5,Gram,,,
Ireland,2012,Pharmaceutical opioids,0.11,Gram,,,
Latvia,2015,Pharmaceutical opioids,0.39,Gram,,,
Latvia,2015,Pharmaceutical opioids,37,Gram,,,
Latvia,2015,Pharmaceutical opioids,19.59,Gram,,,
Latvia,2015,Pharmaceutical opioids,0.53,Gram,,,
Latvia,2015,Pharmaceutical opioids,17.43,Gram,,,
Latvia,2015,Pharmaceutical opioids,0.22,Gram,,,
Latvia,2015,Pharmaceutical opioids,0.26,Gram,,,
Latvia,2015,Pharmaceutical opioids,331.23,Gram,,,
Latvia,2014,Pharmaceutical opioids,13.61,Gram,,,
Latvia,2014,Pharmaceutical opioids,5.89,Gram,,,
Latvia,2014,Pharmaceutical opioids,220.41,Gram,,,
Latvia,2014,Pharmaceutical opioids,0.69,Gram,,,
Latvia,2013,Pharmaceutical opioids,8.74,Gram,,,
Latvia,2013,Pharmaceutical opioids,0.1,Gram,,,
Latvia,2013,Pharmaceutical opioids,9.73,Gram,,,
Latvia,2012,Pharmaceutical opioids,6,Gram,,,
Latvia,2012,Pharmaceutical opioids,0.09,Gram,,,
Latvia,2012,Pharmaceutical opioids,"4,274.96",Gram,,,
Latvia,2012,Pharmaceutical opioids,361.56,Gram,,,
Netherlands,2012,Pharmaceutical opioids,20,Gram,,,
Portugal,2015,Pharmaceutical opioids,1.4,Gram,,,
Portugal,2015,Pharmaceutical opioids,4.01,Gram,,,
Portugal,2015,Pharmaceutical opioids,0.6,Gram,,,
Portugal,2014,Pharmaceutical opioids,54,Gram,,,
Portugal,2013,Pharmaceutical opioids,0.4,Gram,,,
Spain,2015,Pharmaceutical opioids,16,Gram,,,
Sweden,2015,Pharmaceutical opioids,2,Gram,,,
Sweden,2015,Pharmaceutical opioids,0.007,Gram,,,
,,,,,,,
Benin,2015,Pharmaceutical opioids,"111,800",Kilogram,,,
Central African Republic,2014,Pharmaceutical opioids,51.2,Kilogram,,,
Côte d'Ivoire,2015,Pharmaceutical opioids,7.09,Kilogram,,,
Niger,2014,Pharmaceutical opioids,"2,593.33",Kilogram,,,
Niger,2013,Pharmaceutical opioids,295.8,Kilogram,,,
Canada,2015,Pharmaceutical opioids,0.47,Kilogram,,,
Canada,2015,Pharmaceutical opioids,0.27,Kilogram,,,
Canada,2015,Pharmaceutical opioids,1.33,Kilogram,,,
Canada,2015,Pharmaceutical opioids,0.65,Kilogram,,,
Canada,2015,Pharmaceutical opioids,0.78,Kilogram,,,
Canada,2014,Pharmaceutical opioids,8.25,Kilogram,,,
Canada,2014,Pharmaceutical opioids,8.7,Kilogram,,,
Canada,2014,Pharmaceutical opioids,2.2,Kilogram,,,
Canada,2014,Pharmaceutical opioids,0.29,Kilogram,,,
Canada,2014,Pharmaceutical opioids,1.1,Kilogram,,,
Canada,2014,Pharmaceutical opioids,3.51,Kilogram,,,
Canada,2013,Pharmaceutical opioids,2.5,Kilogram,,,
Canada,2013,Pharmaceutical opioids,33.61,Kilogram,,,
Canada,2013,Pharmaceutical opioids,0.67,Kilogram,,,
Canada,2013,Pharmaceutical opioids,0.17,Kilogram,,,
Canada,2013,Pharmaceutical opioids,0.36,Kilogram,,,
Canada,2013,Pharmaceutical opioids,1.88,Kilogram,,,
Canada,2013,Pharmaceutical opioids,1.67,Kilogram,,,
Canada,2013,Pharmaceutical opioids,0.01,Kilogram,,,
Canada,2012,Pharmaceutical opioids,137.83,Kilogram,,,
Canada,2012,Pharmaceutical opioids,8.55,Kilogram,,,
Canada,2012,Pharmaceutical opioids,1.99,Kilogram,,,
Canada,2012,Pharmaceutical opioids,115,Kilogram,,,
Canada,2012,Pharmaceutical opioids,8.08,Kilogram,,,
Canada,2012,Pharmaceutical opioids,3.17,Kilogram,,,
Canada,2011,Pharmaceutical opioids,10,Kilogram,,,
Canada,2011,Pharmaceutical opioids,2.46,Kilogram,,,
Canada,2011,Pharmaceutical opioids,380.68,Kilogram,,,
Canada,2011,Pharmaceutical opioids,2.6,Kilogram,,,
Canada,2011,Pharmaceutical opioids,4.3,Kilogram,,,
United States of America,2015,Pharmaceutical opioids,76.17,Kilogram,,,
United States of America,2015,Pharmaceutical opioids,95.31,Kilogram,,,
United States of America,2015,Pharmaceutical opioids,211.81,Kilogram,,,
United States of America,2015,Pharmaceutical opioids,1.16,Kilogram,,,
United States of America,2015,Pharmaceutical opioids,15.67,Kilogram,,,
United States of America,2014,Pharmaceutical opioids,2,Kilogram,,,
United States of America,2014,Pharmaceutical opioids,13,Kilogram,,,
United States of America,2014,Pharmaceutical opioids,9,Kilogram,,,
United States of America,2014,Pharmaceutical opioids,1,Kilogram,,,
United States of America,2014,Pharmaceutical opioids,14,Kilogram,,,
United States of America,2013,Pharmaceutical opioids,5.63,Kilogram,,,
United States of America,2013,Pharmaceutical opioids,37.46,Kilogram,,,
United States of America,2012,Pharmaceutical opioids,4.44,Kilogram,,,
United States of America,2012,Pharmaceutical opioids,16.2,Kilogram,,,
United States of America,2011,Pharmaceutical opioids,8.6,Kilogram,,,
United States of America,2011,Pharmaceutical opioids,15.66,Kilogram,,,
Colombia,2014,Pharmaceutical opioids,"2,610",Kilogram,,,
Armenia,2014,Pharmaceutical opioids,0.03,Kilogram,,,
Armenia,2014,Pharmaceutical opioids,0.01,Kilogram,,,
Armenia,2014,Pharmaceutical opioids,0.02,Kilogram,,,
Azerbaijan,2013,Pharmaceutical opioids,0.1,Kilogram,,,
Azerbaijan,2012,Pharmaceutical opioids,0.09,Kilogram,,,
Azerbaijan,2011,Pharmaceutical opioids,0.41,Kilogram,,,
Georgia,2014,Pharmaceutical opioids,2.3,Kilogram,,,
Georgia,2014,Pharmaceutical opioids,0.08,Kilogram,,,
Kazakhstan,2014,Pharmaceutical opioids,0.02,Kilogram,,,
Kazakhstan,2014,Pharmaceutical opioids,0.02,Kilogram,,,
China,2014,Pharmaceutical opioids,1.06,Kilogram,,,
"China, Macao SAR",2015,Pharmaceutical opioids,3.06,Kilogram,,,
Iran (Islamic Republic of),2014,Pharmaceutical opioids,"7,700",Kilogram,,,
Jordan,2014,Pharmaceutical opioids,"14,416.16",Kilogram,,,
Kuwait,2014,Pharmaceutical opioids,89.74,Kilogram,,,
Kuwait,2013,Pharmaceutical opioids,32.31,Kilogram,,,
Qatar,2014,Pharmaceutical opioids,4.85,Kilogram,,,
Qatar,2013,Pharmaceutical opioids,15.63,Kilogram,,,
Saudi Arabia,2014,Pharmaceutical opioids,176.38,Kilogram,,,
Saudi Arabia,2013,Pharmaceutical opioids,722.25,Kilogram,,,
United Arab Emirates,2014,Pharmaceutical opioids,4.61,Kilogram,,,
United Arab Emirates,2013,Pharmaceutical opioids,170.18,Kilogram,,,
Bangladesh,2014,Pharmaceutical opioids,"161,699.05",Kilogram,,,
India,2014,Pharmaceutical opioids,"3,632",Kilogram,,,
Belarus,2014,Pharmaceutical opioids,0.65,Kilogram,,,
Belarus,2013,Pharmaceutical opioids,2.5,Kilogram,,,
Belarus,2013,Pharmaceutical opioids,0.7,Kilogram,,,
Russian Federation,2015,Pharmaceutical opioids,39.15,Kilogram,,,
Russian Federation,2014,Pharmaceutical opioids,60.7,Kilogram,,,
Russian Federation,2014,Pharmaceutical opioids,25.5,Kilogram,,,
Russian Federation,2013,Pharmaceutical opioids,5.1,Kilogram,,,
Russian Federation,2013,Pharmaceutical opioids,21.5,Kilogram,,,
Russian Federation,2013,Pharmaceutical opioids,11.2,Kilogram,,,
Russian Federation,2012,Pharmaceutical opioids,7.6,Kilogram,,,
Russian Federation,2012,Pharmaceutical opioids,9.7,Kilogram,,,
Ukraine,2015,Pharmaceutical opioids,0.5,Kilogram,,,
Ukraine,2015,Pharmaceutical opioids,3.63,Kilogram,,,
Ukraine,2015,Pharmaceutical opioids,1.52,Kilogram,,,
Ukraine,2014,Pharmaceutical opioids,3.04,Kilogram,,,
Ukraine,2014,Pharmaceutical opioids,0.67,Kilogram,,,
Ukraine,2011,Pharmaceutical opioids,0.85,Kilogram,,,
Albania,2012,Pharmaceutical opioids,0.54,Kilogram,,,
Albania,2011,Pharmaceutical opioids,0.001,Kilogram,,,
Bulgaria,2015,Pharmaceutical opioids,0.3,Kilogram,,,
Bulgaria,2014,Pharmaceutical opioids,0.07,Kilogram,,,
Bulgaria,2012,Pharmaceutical opioids,0.22,Kilogram,,,
Montenegro,2015,Pharmaceutical opioids,0.009,Kilogram,,,
Montenegro,2015,Pharmaceutical opioids,0.03,Kilogram,,,
Montenegro,2014,Pharmaceutical opioids,4.31,Kilogram,,,
Romania,2012,Pharmaceutical opioids,0.00236,Kilogram,,,
Estonia,2014,Pharmaceutical opioids,1.53,Kilogram,,,
Estonia,2013,Pharmaceutical opioids,3.47,Kilogram,,,
Estonia,2012,Pharmaceutical opioids,1.7,Kilogram,,,
Estonia,2012,Pharmaceutical opioids,1.07,Kilogram,,,
Estonia,2012,Pharmaceutical opioids,49,Kilogram,,,
Estonia,2011,Pharmaceutical opioids,1.01,Kilogram,,,
Estonia,2011,Pharmaceutical opioids,2,Kilogram,,,
Greece,2015,Pharmaceutical opioids,11.55,Kilogram,,,
Greece,2014,Pharmaceutical opioids,11.7,Kilogram,,,
Greece,2013,Pharmaceutical opioids,5.09,Kilogram,,,
Greece,2012,Pharmaceutical opioids,13.58,Kilogram,,,
Greece,2011,Pharmaceutical opioids,20.29,Kilogram,,,
Hungary,2015,Pharmaceutical opioids,0.01,Kilogram,,,
Hungary,2013,Pharmaceutical opioids,0.006,Kilogram,,,
Italy,2015,Pharmaceutical opioids,4.19,Kilogram,,,
Italy,2014,Pharmaceutical opioids,0.62,Kilogram,,,
Italy,2013,Pharmaceutical opioids,0.05,Kilogram,,,
Italy,2013,Pharmaceutical opioids,3.26,Kilogram,,,
Latvia,2013,Pharmaceutical opioids,0.08,Kilogram,,,
Latvia,2011,Pharmaceutical opioids,77.42,Kilogram,,,
Norway,2011,Pharmaceutical opioids,0.26,Kilogram,,,
Portugal,2013,Pharmaceutical opioids,73.2,Kilogram,,,
Portugal,2013,Pharmaceutical opioids,21.25,Kilogram,,,
Slovakia,2011,Pharmaceutical opioids,4.44,Kilogram,,,
Spain,2015,Pharmaceutical opioids,3.26,Kilogram,,,
Spain,2015,Pharmaceutical opioids,2.16,Kilogram,,,
Spain,2014,Pharmaceutical opioids,0.12,Kilogram,,,
Spain,2014,Pharmaceutical opioids,3.95,Kilogram,,,
Spain,2013,Pharmaceutical opioids,13,Kilogram,,,
Spain,2013,Pharmaceutical opioids,4,Kilogram,,,
Spain,2012,Pharmaceutical opioids,4.64,Kilogram,,,
Spain,2011,Pharmaceutical opioids,5.56,Kilogram,,,
Sweden,2015,Pharmaceutical opioids,0.3,Kilogram,,,
Sweden,2013,Pharmaceutical opioids,0.3,Kilogram,,,
Switzerland,2015,Pharmaceutical opioids,8.64,Kilogram,,,
Switzerland,2015,Pharmaceutical opioids,0.38,Kilogram,,,
Switzerland,2014,Pharmaceutical opioids,1.26,Kilogram,,,
Switzerland,2014,Pharmaceutical opioids,0.49,Kilogram,,,
Switzerland,2012,Pharmaceutical opioids,0.17,Kilogram,,,
Switzerland,2012,Pharmaceutical opioids,1.37,Kilogram,,,
Australia,2015,Pharmaceutical opioids,2.52,Kilogram,,,
Australia,2015,Pharmaceutical opioids,2.63,Kilogram,,,
Australia,2014,Pharmaceutical opioids,0.15,Kilogram,,,
Australia,2014,Pharmaceutical opioids,0.01,Kilogram,,,
Australia,2014,Pharmaceutical opioids,1.04,Kilogram,,,
Australia,2014,Pharmaceutical opioids,0.4,Kilogram,,,
Australia,2013,Pharmaceutical opioids,0.01,Kilogram,,,
Australia,2012,Pharmaceutical opioids,17.98,Kilogram,,,
Australia,2012,Pharmaceutical opioids,0.09,Kilogram,,,
Australia,2011,Pharmaceutical opioids,4.11,Kilogram,,,
Australia,2011,Pharmaceutical opioids,1.32,Kilogram,,,
