Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2015,Pharmaceutical opioids,3,Litre,,,
Canada,2015,Pharmaceutical opioids,0.05,Litre,,,
Canada,2015,Pharmaceutical opioids,0.7,Litre,,,
Canada,2015,Pharmaceutical opioids,1.6,Litre,,,
Canada,2015,Pharmaceutical opioids,8.8,Litre,,,
Canada,2015,Pharmaceutical opioids,0.08,Litre,,,
Canada,2014,Pharmaceutical opioids,1.97,Litre,,,
Canada,2014,Pharmaceutical opioids,0.56,Litre,,,
Canada,2014,Pharmaceutical opioids,0.77,Litre,,,
Canada,2014,Pharmaceutical opioids,0.73,Litre,,,
Canada,2014,Pharmaceutical opioids,5.18,Litre,,,
Canada,2014,Pharmaceutical opioids,0.17,Litre,,,
Canada,2013,Pharmaceutical opioids,1.07,Litre,,,
Canada,2013,Pharmaceutical opioids,0.46,Litre,,,
Canada,2013,Pharmaceutical opioids,1.72,Litre,,,
Canada,2013,Pharmaceutical opioids,12.12,Litre,,,
Canada,2013,Pharmaceutical opioids,0.11,Litre,,,
Canada,2013,Pharmaceutical opioids,0.9,Litre,,,
Canada,2012,Pharmaceutical opioids,29.67,Litre,,,
Canada,2012,Pharmaceutical opioids,24.53,Litre,,,
Canada,2011,Pharmaceutical opioids,12.51,Litre,,,
Canada,2011,Pharmaceutical opioids,11.4,Litre,,,
China,2015,Pharmaceutical opioids,36,Litre,,,
"China, Macao SAR",2014,Pharmaceutical opioids,2.32,Litre,,,
"China, Macao SAR",2013,Pharmaceutical opioids,4.93,Litre,,,
"China, Macao SAR",2011,Pharmaceutical opioids,4.2,Litre,,,
Malaysia,2014,Pharmaceutical opioids,"1,584.48",Litre,,,
Lebanon,2012,Pharmaceutical opioids,"6,100",Litre,,,
Bangladesh,2013,Pharmaceutical opioids,857.55,Litre,,,
Bangladesh,2012,Pharmaceutical opioids,"2,613",Litre,,,
Bangladesh,2011,Pharmaceutical opioids,"3,228",Litre,,,
Bulgaria,2012,Pharmaceutical opioids,0.04,Litre,,,
Romania,2013,Pharmaceutical opioids,0.06,Litre,,,
The former Yugoslav Republic of Macedonia,2015,Pharmaceutical opioids,0.26,Litre,,,
Ireland,2013,Pharmaceutical opioids,6.2,Litre,,,
Netherlands,2012,Pharmaceutical opioids,0.5,Litre,,,
Sweden,2013,Pharmaceutical opioids,8.02,Litre,,,
,,,,,,,
Mauritius,2015,Pharmaceutical opioids,695.2,Millilitre,,,
Mauritius,2014,Pharmaceutical opioids,"21,363.10",Millilitre,,,
Canada,2015,Pharmaceutical opioids,92,Millilitre,,,
Canada,2013,Pharmaceutical opioids,0.4,Millilitre,,,
Canada,2013,Pharmaceutical opioids,0.03,Millilitre,,,
Canada,2012,Pharmaceutical opioids,"3,446",Millilitre,,,
Canada,2012,Pharmaceutical opioids,2,Millilitre,,,
Canada,2012,Pharmaceutical opioids,375,Millilitre,,,
Canada,2012,Pharmaceutical opioids,248,Millilitre,,,
Canada,2011,Pharmaceutical opioids,50,Millilitre,,,
Canada,2011,Pharmaceutical opioids,52,Millilitre,,,
Canada,2011,Pharmaceutical opioids,782.9,Millilitre,,,
Canada,2011,Pharmaceutical opioids,183,Millilitre,,,
Canada,2011,Pharmaceutical opioids,48,Millilitre,,,
United States of America,2015,Pharmaceutical opioids,"269,369",Millilitre,,,
China,2013,Pharmaceutical opioids,"2,030",Millilitre,,,
China,2013,Pharmaceutical opioids,238,Millilitre,,,
China,2011,Pharmaceutical opioids,23,Millilitre,,,
Indonesia,2015,Pharmaceutical opioids,"2,000",Millilitre,,,
State of Palestine,2013,Pharmaceutical opioids,"4,830",Millilitre,,,
Bosnia and Herzegovina,2011,Pharmaceutical opioids,270,Millilitre,,,
Romania,2015,Pharmaceutical opioids,2,Millilitre,,,
Romania,2014,Pharmaceutical opioids,28,Millilitre,,,
The former Yugoslav Republic of Macedonia,2014,Pharmaceutical opioids,135,Millilitre,,,
The former Yugoslav Republic of Macedonia,2013,Pharmaceutical opioids,51,Millilitre,,,
Ireland,2015,Pharmaceutical opioids,"12,447.50",Millilitre,,,
Ireland,2014,Pharmaceutical opioids,"2,820",Millilitre,,,
Ireland,2012,Pharmaceutical opioids,"9,123",Millilitre,,,
Italy,2015,Pharmaceutical opioids,"18,246",Millilitre,,,
Italy,2013,Pharmaceutical opioids,"19,061",Millilitre,,,
Latvia,2015,Pharmaceutical opioids,240,Millilitre,,,
Latvia,2012,Pharmaceutical opioids,560.64,Millilitre,,,
Malta,2011,Pharmaceutical opioids,330,Millilitre,,,
Sweden,2015,Pharmaceutical opioids,782,Millilitre,,,
Switzerland,2015,Pharmaceutical opioids,"4,548",Millilitre,,,
Switzerland,2013,Pharmaceutical opioids,"2,871",Millilitre,,,
Switzerland,2011,Pharmaceutical opioids,"3,811",Millilitre,,,
Australia,2012,Pharmaceutical opioids,"4,083",Millilitre,,,
New Zealand,2015,Pharmaceutical opioids,3,Millilitre,,,
New Zealand,2014,Pharmaceutical opioids,200,Millilitre,,,
