Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Mauritius,2015,Pharmaceutical opioids,391,Tablet,,,
Mauritius,2014,Pharmaceutical opioids,"1,168",Tablet,,,
Mauritius,2013,Pharmaceutical opioids,"5,831",Tablet,,,
Mauritius,2012,Pharmaceutical opioids,"9,564",Tablet,,,
Sudan,2014,Pharmaceutical opioids,"31,751",Tablet,,,
Sudan,2013,Pharmaceutical opioids,"211,880",Tablet,,,
Sudan,2012,Pharmaceutical opioids,160,Tablet,,,
Canada,2015,Pharmaceutical opioids,61,Tablet,,,
Canada,2015,Pharmaceutical opioids,"41,724",Tablet,,,
Canada,2015,Pharmaceutical opioids,"2,377",Tablet,,,
Canada,2015,Pharmaceutical opioids,17,Tablet,,,
Canada,2015,Pharmaceutical opioids,103,Tablet,,,
Canada,2015,Pharmaceutical opioids,"7,430",Tablet,,,
Canada,2015,Pharmaceutical opioids,654,Tablet,,,
Canada,2015,Pharmaceutical opioids,"36,337",Tablet,,,
Canada,2015,Pharmaceutical opioids,33,Tablet,,,
Canada,2014,Pharmaceutical opioids,937,Tablet,,,
Canada,2014,Pharmaceutical opioids,"19,204",Tablet,,,
Canada,2014,Pharmaceutical opioids,355,Tablet,,,
Canada,2014,Pharmaceutical opioids,36,Tablet,,,
Canada,2014,Pharmaceutical opioids,491,Tablet,,,
Canada,2014,Pharmaceutical opioids,"10,890",Tablet,,,
Canada,2014,Pharmaceutical opioids,251,Tablet,,,
Canada,2014,Pharmaceutical opioids,"96,987",Tablet,,,
Canada,2014,Pharmaceutical opioids,9,Tablet,,,
Canada,2013,Pharmaceutical opioids,"1,311",Tablet,,,
Canada,2013,Pharmaceutical opioids,"30,568",Tablet,,,
Canada,2013,Pharmaceutical opioids,1,Tablet,,,
Canada,2013,Pharmaceutical opioids,"1,173",Tablet,,,
Canada,2013,Pharmaceutical opioids,68,Tablet,,,
Canada,2013,Pharmaceutical opioids,"1,104",Tablet,,,
Canada,2013,Pharmaceutical opioids,"14,248",Tablet,,,
Canada,2013,Pharmaceutical opioids,611,Tablet,,,
Canada,2013,Pharmaceutical opioids,"20,442",Tablet,,,
Canada,2013,Pharmaceutical opioids,76,Tablet,,,
Canada,2012,Pharmaceutical opioids,"94,589",Tablet,,,
Canada,2012,Pharmaceutical opioids,740,Tablet,,,
Canada,2012,Pharmaceutical opioids,"35,680",Tablet,,,
Canada,2012,Pharmaceutical opioids,"1,247",Tablet,,,
Canada,2012,Pharmaceutical opioids,456,Tablet,,,
