Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Egypt,2011,Pharmaceutical opioids,8,Unit,,,
Lebanon,2015,Pharmaceutical opioids,"22,525",Unit,,,
Lebanon,2015,Pharmaceutical opioids,"9,065",Unit,,,
State of Palestine,2013,Pharmaceutical opioids,1,Unit,,,
Bangladesh,2013,Pharmaceutical opioids,"99,509",Unit,,,
Bangladesh,2012,Pharmaceutical opioids,"157,995",Unit,,,
Bangladesh,2011,Pharmaceutical opioids,"118,890",Unit,,,
Ukraine,2015,Pharmaceutical opioids,"8,028",Unit,,,
Andorra,2014,Pharmaceutical opioids,3,Unit,,,
Greece,2013,Pharmaceutical opioids,694,Unit,,,
Greece,2012,Pharmaceutical opioids,"1,137",Unit,,,
Greece,2011,Pharmaceutical opioids,"2,075",Unit,,,
Sweden,2013,Pharmaceutical opioids,"74,239",Unit,,,
Switzerland,2014,Pharmaceutical opioids,569,Unit,,,
Australia,2014,Pharmaceutical opioids,121,Unit,,,
