Country,Year,Number,Definition,Interpretation,Link
Albania,,,," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,1.1,,,
Austria,2014,10.8,,,
Belarus,2011/2014***,,,,
Belgium,2015,,,,
Bosnia and Herzegovina,2010-2015,0.3,,,
Bulgaria,2015,9.7,,,
Croatia,2015,3.7,,,
Cyprus,2013,-,,,
Czechia,2015,6.3,,,
Denmark,2013,6.7,,,
Estonia,2015,85.8,,,
Finland,2014,,,,
France,2014,6.8,,,
Germany,2014,,,,
Gibraltar,,,,,
Greece,2014,,,,
Macedonia (TFYR),,,,,
Hungary,2015,0.8,,,
Iceland,,,,,
Ireland,2014,5.9,,,
Italy,2015,0.8,,,
Latvia,2015,1.7,,,
Liechtenstein,2015,100,,,
Lithuania,2015,,,,
Luxembourg,2015,,,,
Malta,2014,,,,
Moldova (Republic of),2011/ 2013***,,,,
Monaco,2013,5.4,,,
Montenegro,2015,,,,
Netherlands,2014,,,,
Norway,2014,,,,
Poland,2014,,,,
Portugal,2015,0.4,,,
Romania,2015,2.3,,,
Russian Federation,2014,,,,
Serbia,2015,,,,
Slovakia,2015,5.4,,,
Slovenia,2014,4.4,,,
Spain,2014,1,,,
Sweden,2014,,,,
Switzerland,,,,,
Turkey,2015,0.7,,,
Ukraine,2015,,,,
United Kingdom,2014,4.1,,,
