Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Panama,2013,Phenethylamines,2.52,Gram,,,
"China, Taiwan Province of China",2015,Phenethylamines,11.2,Gram,,,
"China, Taiwan Province of China",2015,Phenethylamines,17.9,Gram,,,
"China, Taiwan Province of China",2015,Phenethylamines,960.1,Gram,,,
"China, Taiwan Province of China",2011,Phenethylamines,"504,967",Gram,,,
Romania,2015,Phenethylamines,0.01,Gram,,,
Estonia,2013,Phenethylamines,86.51,Gram,,,
Ireland,2012,Phenethylamines,315,Gram,,,
Latvia,2015,Phenethylamines,117.05,Gram,,,
Latvia,2013,Phenethylamines,0.66,Gram,,,
Australia,2011,Phenethylamines,0.5,Gram,,,
,,,,,,,
United States of America,2014,Phenethylamines,0.31,Kilogram,,,
Romania,2011,Phenethylamines,0.62,Kilogram,,,
Czechia,2013,Phenethylamines,55,Kilogram,,,
Hungary,2015,Phenethylamines,0.63,Kilogram,,,
Hungary,2014,Phenethylamines,0.32,Kilogram,,,
Hungary,2013,Phenethylamines,0.56,Kilogram,,,
Hungary,2012,Phenethylamines,15.5,Kilogram,,,
Ireland,2013,Phenethylamines,0.31,Kilogram,,,
Norway,2012,Phenethylamines,1.21,Kilogram,,,
Portugal,2012,Phenethylamines,14.35,Kilogram,,,
Australia,2012,Phenethylamines,31.76,Kilogram,,,
