Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Cameroon,36.8,,,,,"""Annual Prevalence Rate of Physical Assault” means the percentage of individuals who were subject to the application of physical force against their body with the intention to cause injury or harm in the last calendar year or the last 12 months. ""Physical Assault"" includes ""Serious Assault"" involving the application of serious physical force resulting in serious bodily injury (gunshot or bullet wounds, knife or stab wounds, severed limbs, broken bones etc) as well as the application of minor physical force resulting in no injury or minor bodily injury (such as bruises, cuts, scratches, swelling etc.).","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:19
Egypt,,,,,,,,
South Africa,1.3,,0.9,0.9,,,,
Dominican Republic,,,,,,,,
Trinidad and Tobago,,,,,0.5,"Note: this is a ""count"" not a rate",,
Mexico,,17.7,16.3,17.9,16.3,,,
Canada,,,,4.8,,,,
United States of America,1,1.2,1,0.9,0.8,,,
Chile,2.5,1.6,,1.2,1.7,,,
Colombia,,2.5,2.2,2.2,1.9,,,
Peru,2.1,2.3,1.9,1.5,1.5,,,
Kyrgyzstan,,,,,1,,,
Philippines,,0.4,,,,,,
Israel,,,,,0.3,,,
Czechia,,,3.7,,,,,
Hungary,0.1,0.1,0.1,0.1,,,,
Poland,3,4,0.9,3,4,,,
Finland,,7,7,5.9,7.3,,,
Sweden,2.4,2.5,1.9,2.3,2.1,,,
United Kingdom (England and Wales),2.5,2.2,1.9,1.8,1.8,,,
United Kingdom (Northern Ireland),1.8,1.8,1.3,1.1,,,,
France,2.1,2.2,2.4,2,2.4,,,
Germany,,2.8,,,,,,
Switzerland,2.2,,2.6,4.7,3,,,
Australia,2.7,3,2.7,2.3,2.1,,,
New Zealand,,,,5.5,,,,
