Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2015,Piperazines,35.39,Gram,,,
Canada,2014,Piperazines,1.2,Gram,,,
Canada,2013,Piperazines,0.35,Gram,,,
Canada,2013,Piperazines,0.3,Gram,,,
Romania,2015,Piperazines,0.2,Gram,,,
Romania,2013,Piperazines,0.1,Gram,,,
Estonia,2013,Piperazines,0.21,Gram,,,
Ireland,2015,Piperazines,171.67,Gram,,,
Ireland,2014,Piperazines,"1,271.10",Gram,,,
Latvia,2013,Piperazines,143.74,Gram,,,
Latvia,2012,Piperazines,0.35,Gram,,,
Netherlands,2011,Piperazines,326.59,Gram,,,
,,,,,,,
Canada,2012,Piperazines,2.01,Kilogram,,,
Russian Federation,2012,Piperazines,0.01,Kilogram,,,
Bulgaria,2011,Piperazines,1,Kilogram,,,
Romania,2011,Piperazines,0.02,Kilogram,,,
Belgium,2013,Piperazines,"4,000",Kilogram,,,
Estonia,2011,Piperazines,0.008,Kilogram,,,
Finland,2012,Piperazines,0.04,Kilogram,,,
Ireland,2013,Piperazines,0.41,Kilogram,,,
Norway,2011,Piperazines,0.1,Kilogram,,,
Australia,2015,Piperazines,0.1,Kilogram,,,
Australia,2013,Piperazines,5.01,Kilogram,,,
