Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2015,Piperazines,9,Tablet,,,
Canada,2014,Piperazines,114,Tablet,,,
Canada,2013,Piperazines,24,Tablet,,,
Canada,2013,Piperazines,19,Tablet,,,
Canada,2012,Piperazines,6,Tablet,,,
Tajikistan,2013,Piperazines,"2,031",Tablet,,,
Bulgaria,2011,Piperazines,"4,400",Tablet,,,
Romania,2015,Piperazines,28,Tablet,,,
Romania,2014,Piperazines,"14,460",Tablet,,,
Romania,2013,Piperazines,39,Tablet,,,
Romania,2012,Piperazines,89,Tablet,,,
Romania,2011,Piperazines,"1,050",Tablet,,,
Cyprus,2012,Piperazines,138,Tablet,,,
Cyprus,2011,Piperazines,557,Tablet,,,
Finland,2011,Piperazines,60,Tablet,,,
Hungary,2012,Piperazines,"1,548",Tablet,,,
Hungary,2011,Piperazines,"1,316",Tablet,,,
Ireland,2015,Piperazines,"2,304",Tablet,,,
Ireland,2014,Piperazines,"8,583",Tablet,,,
Ireland,2013,Piperazines,"7,999",Tablet,,,
Latvia,2013,Piperazines,5,Tablet,,,
Latvia,2012,Piperazines,310,Tablet,,,
Netherlands,2012,Piperazines,"6,400",Tablet,,,
Netherlands,2011,Piperazines,"15,734",Tablet,,,
Norway,2013,Piperazines,586,Tablet,,,
Norway,2012,Piperazines,"8,383",Tablet,,,
Norway,2011,Piperazines,"2,102",Tablet,,,
