Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Belarus,2013,Other Plant-based substances,2.27,Gram,,,
Romania,2015,Other Plant-based substances,180.08,Gram,,,
Romania,2014,Other Plant-based substances,73.18,Gram,,,
Czechia,2015,Other Plant-based substances,272,Gram,,,
Czechia,2014,Other Plant-based substances,246.1,Gram,,,
Czechia,2013,Other Plant-based substances,213.8,Gram,,,
Czechia,2012,Other Plant-based substances,125.4,Gram,,,
Czechia,2011,Other Plant-based substances,61,Gram,,,
France,2015,Other Plant-based substances,"12,910",Gram,,,
Latvia,2014,Other Plant-based substances,411.01,Gram,,,
Latvia,2013,Other Plant-based substances,3.34,Gram,,,
Latvia,2012,Other Plant-based substances,59.89,Gram,,,
Netherlands,2011,Other Plant-based substances,853.56,Gram,,,
Poland,2011,Other Plant-based substances,71.3,Gram,,,
Portugal,2015,Other Plant-based substances,105.17,Gram,,,
Portugal,2014,Other Plant-based substances,101,Gram,,,
,,,,,,,
United States of America,2014,Other Plant-based substances,40,Kilogram,,,
Bulgaria,2012,Other Plant-based substances,0.07,Kilogram,,,
Bulgaria,2011,Other Plant-based substances,0.02,Kilogram,,,
Romania,2013,Other Plant-based substances,0.24,Kilogram,,,
Romania,2012,Other Plant-based substances,0.17,Kilogram,,,
Romania,2011,Other Plant-based substances,0.44,Kilogram,,,
Serbia,2015,Other Plant-based substances,0.09,Kilogram,,,
The former Yugoslav Republic of Macedonia,2014,Other Plant-based substances,0.002,Kilogram,,,
Austria,2015,Other Plant-based substances,0.81,Kilogram,,,
Austria,2014,Other Plant-based substances,1.08,Kilogram,,,
Belgium,2015,Other Plant-based substances,5.88,Kilogram,,,
France,2013,Other Plant-based substances,101,Kilogram,,,
France,2012,Other Plant-based substances,187.84,Kilogram,,,
Germany,2015,Other Plant-based substances,15.59,Kilogram,,,
Germany,2014,Other Plant-based substances,13.58,Kilogram,,,
Germany,2013,Other Plant-based substances,20.11,Kilogram,,,
Germany,2012,Other Plant-based substances,17.27,Kilogram,,,
Germany,2011,Other Plant-based substances,13.25,Kilogram,,,
Lithuania,2014,Other Plant-based substances,0.19,Kilogram,,,
Lithuania,2013,Other Plant-based substances,1.31,Kilogram,,,
Netherlands,2012,Other Plant-based substances,0.3,Kilogram,,,
Norway,2015,Other Plant-based substances,2.3,Kilogram,,,
Norway,2013,Other Plant-based substances,4.83,Kilogram,,,
Norway,2012,Other Plant-based substances,2.67,Kilogram,,,
Norway,2011,Other Plant-based substances,3.24,Kilogram,,,
Poland,2012,Other Plant-based substances,1.78,Kilogram,,,
Portugal,2013,Other Plant-based substances,0.26,Kilogram,,,
Portugal,2012,Other Plant-based substances,0.25,Kilogram,,,
Spain,2014,Other Plant-based substances,6.44,Kilogram,,,
Spain,2013,Other Plant-based substances,0.3,Kilogram,,,
Spain,2012,Other Plant-based substances,0.02,Kilogram,,,
Sweden,2015,Other Plant-based substances,3.3,Kilogram,,,
Sweden,2014,Other Plant-based substances,2.1,Kilogram,,,
Switzerland,2013,Other Plant-based substances,51.17,Kilogram,,,
Switzerland,2012,Other Plant-based substances,30.6,Kilogram,,,
Switzerland,2011,Other Plant-based substances,41,Kilogram,,,
