Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Sudan,2013,Plant-based NPS,"3,129,000",Gram,,,
Sudan,2012,Plant-based NPS,"1,305,000",Gram,,,
Sudan,2011,Plant-based NPS,"923,642",Gram,,,
Zambia,2014,Plant-based NPS,"1,449,670.20",Gram,,,
Zambia,2012,Plant-based NPS,"1,810,804.80",Gram,,,
Zambia,2011,Plant-based NPS,"674,881.20",Gram,,,
Canada,2015,Plant-based NPS,0.25,Gram,,,
State of Palestine,2014,Plant-based NPS,711.2,Gram,,,
State of Palestine,2013,Plant-based NPS,"1,576.50",Gram,,,
Russian Federation,2015,Plant-based NPS,4,Gram,,,
Russian Federation,2012,Plant-based NPS,96.1,Gram,,,
Russian Federation,2011,Plant-based NPS,1,Gram,,,
Russian Federation,2011,Plant-based NPS,44.98,Gram,,,
Estonia,2014,Plant-based NPS,1.62,Gram,,,
Ireland,2012,Plant-based NPS,"51,420",Gram,,,
Poland,2012,Plant-based NPS,133,Gram,,,
,,,,,,,
United Republic of Tanzania,2014,Plant-based NPS,"15,740",Kilogram,,,
United Republic of Tanzania,2013,Plant-based NPS,"12,820",Kilogram,,,
United Republic of Tanzania,2012,Plant-based NPS,"5,250",Kilogram,,,
United Republic of Tanzania,2011,Plant-based NPS,126,Kilogram,,,
Egypt,2014,Plant-based NPS,3.42,Kilogram,,,
Egypt,2013,Plant-based NPS,15,Kilogram,,,
Egypt,2012,Plant-based NPS,24.5,Kilogram,,,
Egypt,2011,Plant-based NPS,88,Kilogram,,,
Sudan,2014,Plant-based NPS,"2,124",Kilogram,,,
Mozambique,2015,Plant-based NPS,482.4,Kilogram,,,
South Africa,2015,Plant-based NPS,"3,252",Kilogram,,,
Zambia,2015,Plant-based NPS,462.23,Kilogram,,,
Chad,2015,Plant-based NPS,282,Kilogram,,,
Canada,2015,Plant-based NPS,"3,579",Kilogram,,,
Canada,2014,Plant-based NPS,"5,339.25",Kilogram,,,
Canada,2013,Plant-based NPS,"10,111.20",Kilogram,,,
Canada,2012,Plant-based NPS,"12,449",Kilogram,,,
Canada,2011,Plant-based NPS,"10,420.76",Kilogram,,,
United States of America,2015,Plant-based NPS,"54,094.09",Kilogram,,,
United States of America,2014,Plant-based NPS,"45,201",Kilogram,,,
United States of America,2013,Plant-based NPS,"107,043.67",Kilogram,,,
United States of America,2012,Plant-based NPS,"62,735.66",Kilogram,,,
United States of America,2011,Plant-based NPS,"48,370.02",Kilogram,,,
China,2014,Plant-based NPS,"6,440.97",Kilogram,,,
China,2013,Plant-based NPS,313.67,Kilogram,,,
China,2012,Plant-based NPS,"1,096.75",Kilogram,,,
Malaysia,2015,Plant-based NPS,"28,961.44",Kilogram,,,
Malaysia,2014,Plant-based NPS,"15,541.40",Kilogram,,,
Myanmar,2015,Plant-based NPS,687.4,Kilogram,,,
