Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Kenya,4.52,4.29,3.61,3.1,3.06,"“Burglary” means gaining unauthorized access to a part of a building/dwelling or other premises with or without the use of force against the building/dwelling, with intent to commit theft or when actually committing theft. “Burglary” should include, breaking and entering business premises (office buildings, shops, clubs, banks factories, hotels etc); residential premises (house, appartment or other dwelling place that is the habitual place of residence of the victim); or public premises owned, rented or leased by public bodies. ""Burglary"" should exclude theft from a car, container, vending machine, parking meter and from a fenced meadow/compound.","When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure).",https://data.unodc.org/#state:1
Madagascar,2.77,1.95,2.79,0.88,4.41,,,
Mauritius,103.34,,,,,,,
Mozambique,,,,,,,,
Rwanda,21.15,21.86,,,,,,
Uganda,22.63,20.73,19.4,17.6,,,,
United Republic of Tanzania,33.78,33.65,30.56,27.63,25.36,,,
Zimbabwe,,,,,,,,
Cameroon*,2.86,3.25,4.36,5.93,13.3,,,
Algeria,24.71,23.48,35.89,46.59,43.66,,,
Egypt,3.19,,,,,,,
Morocco,,,26.49,,,,,
Botswana,203.9,,,135.41,,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Cote d'Ivoire,,,,,,,,
Guinea,,,,,,,,
Nigeria,,1.17,1.46,,,,,
Senegal,,,,,0.33,,,
Sierra Leone,,,,,,,,
Bahamas,92.72,83.25,,,,,,
Barbados,627.94,693.94,673.62,552.26,527.07,,,
Dominican Republic,,98.94,,36.61,,,,
Grenada,"1,432.38","1,641.13","1,358.80","1,396.35",667.45,,,
Jamaica,127.31,117.16,91.45,90.5,64.33,,,
Puerto Rico,448.16,413.65,378.29,326.46,248.42,,,
Saint Kitts and Nevis,847.2,,,,,,,
Saint Vincent and the Grenadines,"1,617.87","1,385.66","1,270.50",,,,,
Trinidad and Tobago,316.15,322.08,220.06,191.36,155.21,,,
