Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,,,,,,"""Police Reporting Rate"" means the percentage of offences that were reported to the police by the victim of the offence or someone else, calculated on the basis of the last incident experienced by the victim. ""Victims of robbery"" means households who experienced that someone actually got into their home/residence/house/flat without permission and stole or tried to steal something, not including thefts from garages, sheds or lock-ups, in the last calendar year or the last 12 months.","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:16
South Africa,33.1,,31,38.3,,,,
Barbados,,,,,,,,
Jamaica,,,,,,,"Note: this is a ""count"" not a rate",
Trinidad and Tobago,,,,,83,,,
Costa Rica,,,,,,,,
Mexico,12.6,14.5,14,11.7,12.3,,,
Canada,,,,45,,,,
United States of America,66,56,68,60.9,61.9,,,
Bolivia (Plurinational State of),8.8,,11.6,,,,,
Chile,46.5,48.9,45.1,38,,,,
Colombia,,24,22.6,26,23.3,,,
Ecuador,15.7,,,,,,,
Paraguay,,,,,,,,
Peru,11.1,11.2,11.5,11.6,14.4,,,
Kyrgyzstan,,,,,36.1,,,
"China, Hong Kong Special Administrative Region",,,,,,,,
Indonesia,19,,,,,,,
Sri Lanka,11,11,9,,,,,
Georgia,,,,,,,,
Israel,,,63.2,,,,,
Czechia,,,41,,,,,
Poland,,,53.9,,,,,
Denmark,84,71,78,77,,,,
Estonia,,,,,,,,
Sweden,57,54,48,60,53,,,
United Kingdom (England and Wales),56,51,42,51,60.1,,,
United Kingdom (Scotland),,,,,,,,
Croatia,,,,,,,,
Italy,,,,,,,,
Belgium,,,,,,,,
France,40.4,38,35.6,45,45.3,,,
Germany,,30,,,,,,
Luxembourg,,,68.5,,,,,
Netherlands,,,40.2,,,,,
Switzerland,44.6,,,,51,,,
Australia,60,51.5,49.7,56.4,54,,,
