Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
South Africa,0.1,,0.2,0.1,,"""Annual Prevalence Rate of Sexual Assault” means the percentage of individuals who were grabed, touched or assaulted for sexual reasons in a really offensive way in the last calendar year or the last 12 months.","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:1
Barbados,,,,,,,,
Jamaica,,0.2,,,,,,
Trinidad and Tobago,,,,,0.6,,,
Mexico,,,0.5,0.5,0.6,,,
Canada,,,,2.2,,,,
United States of America,0.1,0.1,0.1,0.1,0.1,,,
Paraguay,,,,,,,,
"China, Hong Kong Special Administrative Region",,,,,,,,
Republic of Korea,1,1,1.2,1.3,,,,
Philippines,,0.1,,,,,,
Georgia,,,,,,,,
Israel,,,0.2,,,,,
Estonia,,,,,,,,
Finland,,1.3,1.3,1,1.1,,,
Iceland,,,1.2,,,,,
Sweden,0.7,0.7,0.8,1.3,1,,,
United Kingdom (England and Wales),2.4,1.9,1.5,1.7,2,,,
Belgium,,,,,,,,
France,0.4,0.5,0.4,0.5,0.5,,,
Luxembourg,,,1,,,,,
Netherlands,1.4,0.1,0.1,0.1,0.1,,,
Switzerland,0.8,,1.1,1.5,1,,,
Australia,0.3,0.3,0.2,0.3,0.3,,,
New Zealand,,,,2.1,,,,
