Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Kazakhstan,2015,Poppy plants,"18,702.86",Gram,,,
Kazakhstan,2014,Poppy plants,"7,981.98",Gram,,,
Kazakhstan,2013,Poppy plants,"2,472.15",Gram,,,
Kazakhstan,2012,Poppy plants,"30,345.35",Gram,,,
Kazakhstan,2011,Poppy plants,"90,265.42",Gram,,,
Latvia,2012,Poppy plants,"12,350.97",Gram,,,
Latvia,2011,Poppy plants,722.2,Gram,,,
Latvia,2011,Poppy plants,31.1,Gram,,,
,,,,,,,
Ecuador,2013,Poppy plants,"75,764.60",Kilogram,,,
Ecuador,2012,Poppy plants,"185,490",Kilogram,,,
Ecuador,2011,Poppy plants,"2,210",Kilogram,,,
Armenia,2015,Poppy plants,0.13,Kilogram,,,
Armenia,2014,Poppy plants,0.18,Kilogram,,,
Azerbaijan,2014,Poppy plants,15.9,Kilogram,,,
Azerbaijan,2013,Poppy plants,54.2,Kilogram,,,
Azerbaijan,2012,Poppy plants,10.1,Kilogram,,,
Georgia,2014,Poppy plants,8.2,Kilogram,,,
Georgia,2014,Poppy plants,0.13,Kilogram,,,
Kyrgyzstan,2015,Poppy plants,14.57,Kilogram,,,
Kyrgyzstan,2015,Poppy plants,40.06,Kilogram,,,
Kyrgyzstan,2014,Poppy plants,61.1,Kilogram,,,
Kyrgyzstan,2014,Poppy plants,1.9,Kilogram,,,
Kyrgyzstan,2013,Poppy plants,145.8,Kilogram,,,
Kyrgyzstan,2013,Poppy plants,1.6,Kilogram,,,
Kyrgyzstan,2012,Poppy plants,398.53,Kilogram,,,
Kyrgyzstan,2012,Poppy plants,0.93,Kilogram,,,
Kyrgyzstan,2011,Poppy plants,140.54,Kilogram,,,
Kyrgyzstan,2011,Poppy plants,59.13,Kilogram,,,
Uzbekistan,2015,Poppy plants,204.7,Kilogram,,,
Uzbekistan,2014,Poppy plants,406.3,Kilogram,,,
Uzbekistan,2013,Poppy plants,336.3,Kilogram,,,
Uzbekistan,2012,Poppy plants,330.02,Kilogram,,,
Uzbekistan,2011,Poppy plants,413.06,Kilogram,,,
Pakistan,2015,Poppy plants,"4,575.65",Kilogram,,,
Pakistan,2014,Poppy plants,"5,976",Kilogram,,,
Pakistan,2013,Poppy plants,"4,650",Kilogram,,,
India,2014,Poppy plants,"3,770.17",Kilogram,,,
Belarus,2014,Poppy plants,50.7,Kilogram,,,
Belarus,2013,Poppy plants,81.05,Kilogram,,,
Belarus,2011,Poppy plants,58.6,Kilogram,,,
Russian Federation,2015,Poppy plants,"1,043.26",Kilogram,,,
Russian Federation,2014,Poppy plants,"1,438.40",Kilogram,,,
Russian Federation,2013,Poppy plants,"2,216.20",Kilogram,,,
Russian Federation,2012,Poppy plants,"3,195.80",Kilogram,,,
Russian Federation,2011,Poppy plants,"4,272.86",Kilogram,,,
Ukraine,2015,Poppy plants,930.36,Kilogram,,,
Ukraine,2014,Poppy plants,384.2,Kilogram,,,
Ukraine,2012,Poppy plants,7.4,Kilogram,,,
Austria,2014,Poppy plants,1.41,Kilogram,,,
Austria,2013,Poppy plants,2.07,Kilogram,,,
Austria,2012,Poppy plants,1.91,Kilogram,,,
Austria,2011,Poppy plants,4.6,Kilogram,,,
Cyprus,2015,Poppy plants,6,Kilogram,,,
Czechia,2015,Poppy plants,39.5,Kilogram,,,
Hungary,2013,Poppy plants,"2,151.86",Kilogram,,,
Hungary,2012,Poppy plants,"1,502",Kilogram,,,
Italy,2015,Poppy plants,10.95,Kilogram,,,
Italy,2014,Poppy plants,18.21,Kilogram,,,
Italy,2013,Poppy plants,58.2,Kilogram,,,
Italy,2013,Poppy plants,50,Kilogram,,,
Italy,2012,Poppy plants,44.27,Kilogram,,,
Latvia,2015,Poppy plants,30.58,Kilogram,,,
Latvia,2015,Poppy plants,12.92,Kilogram,,,
Latvia,2014,Poppy plants,7.64,Kilogram,,,
Latvia,2014,Poppy plants,1.59,Kilogram,,,
Latvia,2013,Poppy plants,5.52,Kilogram,,,
Latvia,2013,Poppy plants,1.39,Kilogram,,,
Portugal,2011,Poppy plants,164,Kilogram,,,
Spain,2014,Poppy plants,219,Kilogram,,,
Spain,2013,Poppy plants,30,Kilogram,,,
Spain,2012,Poppy plants,9.86,Kilogram,,,
