Country,Year,Number,Definition,Interpretation,Link
Kenya,2011,0.21,n/a,"The numbers of PWID reported are taken directly from the source document. The prevalence of injecting drug use is also taken directly from the source document where this is stated, otherwise it has been calculated by UNODC using the population aged 15-64 for the year of the survey (using population data from the UN World Population Prospects). For some countries no information on the number of PWID was reported, only an estimate of the prevalence of injecting drug use.",https://data.unodc.org/#state:37
Madagascar,2012,0.12,,,
Mauritius,2014,1.3,,,
Rwanda,2011,,,,
Seychelles,2011,2.3,,,
Tanzania (United Republic of),2014,0.12,,,
Egypt,2014,0.37,,,
Morocco,2015,0.01,,,
Tunisia,2014,0.13,,,
Lesotho,2014,0.21,,,
Mozambique,2014,0.01,,,
South Africa,2015,0.21,,,
Zambia,2015,0.03,,,
Congo (Dem. Rep. of the),2013,0.12,,,
Liberia,2011,0.02,,,
Nigeria,2013,0.02,,,
Senegal,2011,0.02,,,
Sierra Leone,2013,0.04,,,
Togo,2015,0.06,,,
Costa Rica,2012,0.12,,,
El Salvador,2014,0.17,,,
Mexico,2011,0.21,,,
Brazil,2013,0.21,,,
Colombia,2014,0.1,,,
Paraguay,2013,0.14,,,
Uruguay,2014,0.03,,,
Armenia,2016,0.45,,,
Georgia,2014,2.02,,,
Kazakhstan,2015,1.09,,,
Tajikistan,2014,0.45,,,
Azerbaijan,2011,1.08,,,
Cambodia,2012,0.01,,,
China,2012,0.19,,,
"China, Hong Kong SAR",2015,0.04,,,
"China, Macao SAR",2015,0.05,,,
Indonesia,2012,0.045,,,
Lao People's Democratic Republic,2015,0.03,,,
Myanmar,2014,0.23,,,
Philippines,2015,,,,
Thailand,2014,0.15,,,
Timor-Leste,2014,0.01,,,
Viet Nam,2013,0.43,,,
Afghanistan,2012,0.27,,,
Pakistan,2012,0.4,,,
Israel,2011,0.11,,,
Lebanon,2015,0.08,,,
Bangladesh,2015,0.028,,,
Nepal,2012,0.32,,,
Sri Lanka,2014,0.01,,,
Iran (Islamic Republic of),2013,0.38,,,
Belarus,2015,,,,
Moldova (Republic of),2011,1.23,,,
Russian Federation,2011,2.29,,,
Ukraine,2015,1.09,,,
Albania,2011,,,,
Bosnia and Herzegovina,2012,0.47,,,
Bulgaria,2014,0.5,,,
Croatia,2012,0.04,,,
Montenegro,2011,0.3,,,
Romania,2013,0.53,,,
Serbia,2013,0.4,,,
Turkey,2011,0.03,,,
Austria,2013,,,,
Belgium,2014,0.35,,,
Cyprus,2013,0.06,,,
Czechia,2014,0.64,,,
Finland,2012,0.46,,,
Greece,2014,0.07,,,
Ireland,2014,0.04,,,
Italy,2011,0.38,,,
Latvia,2012-2013,0.92,,,
Lithuania,2015,0.27,,,
Malta,2013,0.27,,,
Norway,2014,0.25,,,
Poland,2012,0.03,,,
Portugal,2012,0.22,,,
Spain,2013,0.03,,,
Australia,2013,0.6,,,
