Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2015,Prescription stimulants,0.93,Gram,,,
Canada,2015,Prescription stimulants,71.90,Gram,,,
Canada,2014,Prescription stimulants,103.61,Gram,,,
Canada,2013,Prescription stimulants,215,Gram,,,
Canada,2012,Prescription stimulants,69.56,Gram,,,
Russian Federation,2015,Prescription stimulants,4,Gram,,,
Bosnia and Herzegovina,2012,Prescription stimulants,"2,000",Gram,,,
The former Yugoslav Republic of Macedonia,2013,Prescription stimulants,0.3,Gram,,,
Latvia,2015,Prescription stimulants,1.98,Gram,,,
Latvia,2015,Prescription stimulants,0.47,Gram,,,
Latvia,2014,Prescription stimulants,1.94,Gram,,,
Portugal,2015,Prescription stimulants,0.8,Gram,,,
Portugal,2013,Prescription stimulants,8,Gram,,,
,,,,,,,
United States of America,2015,Prescription stimulants,0.45,Kilogram,,,
United States of America,2013,Prescription stimulants,46.49,Kilogram,,,
United States of America,2012,Prescription stimulants,30.7,Kilogram,,,
Malaysia,2014,Prescription stimulants,32.18,Kilogram,,,
Romania,2015,Prescription stimulants,2.65,Kilogram,,,
Norway,2011,Prescription stimulants,0.01,Kilogram,,,
Portugal,2012,Prescription stimulants,5.13,Kilogram,,,
Australia,2015,Prescription stimulants,0.82,Kilogram,,,
Australia,2015,Prescription stimulants,5.69,Kilogram,,,
Australia,2014,Prescription stimulants,0.29,Kilogram,,,
Australia,2014,Prescription stimulants,0.69,Kilogram,,,
Australia,2014,Prescription stimulants,7.35,Kilogram,,,
Australia,2013,Prescription stimulants,0.63,Kilogram,,,
Australia,2012,Prescription stimulants,0.7,Kilogram,,,
Australia,2012,Prescription stimulants,3.16,Kilogram,,,
Australia,2011,Prescription stimulants,15.17,Kilogram,,,
