Country,Year,Number,Definition,Interpretation,Link
Canada,2015,,n/a,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence. Opioids include prescription opioids and opiates (opiates include opium and heroin). ",https://data.unodc.org/#state:8
United States of America,2015,4.8,,,
United States of America,2014,,,,
Chile,2014,0.62,,,
Serbia,2014,6.1,,,
Finland,2014,0.3,,,
Tunisia,2013,,,,
Canada,2013,,,,
Australia,2013,3.23,,,
Chile,2012,0.32,,,
Pakistan,2012,1.4,,,
Bulgaria,2012,0.1,,,
Czechia,2012,2.9,,,
Germany,2012,0.3,,,
Poland,2012,0,,,
Argentina,2011,0.04,,,
Uruguay,2011,,,,
Italy,2013/14,0.4,,,
United Kingdom (England and Wales),2014/15,0,,,
United Kingdom (Scotland),2014/15,0.1,,,
