Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Sudan,2013,Prescription stimulants,"45,879.00",Tablet,,,
Canada,2015,Prescription stimulants,96.00,Tablet,,,
Canada,2015,Prescription stimulants,942,Tablet,,,
Canada,2014,Prescription stimulants,"2,124",Tablet,,,
Canada,2014,Prescription stimulants,286,Tablet,,,
Canada,2013,Prescription stimulants,"2,797",Tablet,,,
Canada,2013,Prescription stimulants,385,Tablet,,,
Canada,2012,Prescription stimulants,"4,799",Tablet,,,
Canada,2012,Prescription stimulants,610,Tablet,,,
Canada,2011,Prescription stimulants,"1,653",Tablet,,,
China,2011,Prescription stimulants,60,Tablet,,,
Pakistan,2015,Prescription stimulants,615,Tablet,,,
Saudi Arabia,2014,Prescription stimulants,"228,478",Tablet,,,
Bosnia and Herzegovina,2011,Prescription stimulants,"4,298",Tablet,,,
Bulgaria,2015,Prescription stimulants,"17,284",Tablet,,,
Romania,2015,Prescription stimulants,4,Tablet,,,
Belgium,2015,Prescription stimulants,20,Tablet,,,
Czechia,2014,Prescription stimulants,"92,600",Tablet,,,
Norway,2015,Prescription stimulants,"4,912",Tablet,,,
Norway,2014,Prescription stimulants,"7,305",Tablet,,,
Norway,2013,Prescription stimulants,"3,232",Tablet,,,
Norway,2012,Prescription stimulants,"4,180",Tablet,,,
Norway,2011,Prescription stimulants,"6,764",Tablet,,,
Australia,2011,Prescription stimulants,26,Tablet,,,
