Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,"5,336","3,976","4,002","4,004","4,925","“Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay. ","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording. ",https://data.unodc.org/#state:1
Comoros,,,189,,42,,,
Djibouti,384,,275,,,,,
Ethiopia,,"16,585",,,,,,
Kenya,"19,031","19,094","21,313","22,054","20,865",,,
Madagascar,"9,486","10,444","10,776","10,756","11,029",,,
Malawi,,,"1,957",,"1,958",,,
Mauritius,990,985,"1,052",,,,,
Mayotte,,,,,,,,
Mozambique,,,"5,108","5,074",,,,
Rwanda,,"3,952",,,,,,
Seychelles,,144,,119,,,,
South Sudan,"3,600",,,,"1,880",,,
Uganda,"16,488","18,948","21,792","22,937",,,,
United Republic of Tanzania,,,"17,224",,"17,200",,,
Zambia,,,"3,950",,,,,
Zimbabwe,,,,,"3,224",,,
Angola,"9,487",,,,,,,
Cameroon,"16,800","14,237","15,732","15,519",,,,
Chad,"3,064",,,,,,,
Congo,,975,,744,,,,
Democratic Republic of the Congo,,,,,"15,002",,,
Gabon,,,"1,166",,"2,250",,,
Sao Tome and Principe,,,25,,4,,,
Algeria,"3,413","5,010","3,763","4,100","5,352",,,
Egypt,,,,,,,,
Libya,,,"4,440","5,569",,,,
Morocco,,"32,626",,"31,850",,,,
Sudan,"2,427",,"3,893",,,,,
Tunisia,,,"13,000",,,,,
Botswana,"1,050",,890,,970,,,
Lesotho,,,474,404,,,,
Namibia,,,,,234,,,
South Africa,,,,"43,735",,,,
Swaziland,,619,,,,,,
Benin,,,,,,,,
Burkina Faso,"1,880",,"2,418",,"3,351",,,
Cabo Verde,,399,,,,,,
Cote d'Ivoire,,,"3,916",,"4,740",,,
Gambia,,,300,203,,,,
Ghana,,,"3,012",,,,,
Guinea,,,"1,690",,,,,
Liberia,,,"1,516",,"1,428",,,
Mali,"2,601",,"2,492","2,750",,,,
Mauritania,,,807,725,,,,
Niger,,,"3,845",,"5,116",,,
Nigeria,"35,407",,"38,024",,,,,
Senegal,,"3,491",,,,,,
Sierra Leone,,,"1,913",,"1,894",,,
Togo,,"2,643","2,648",,,,,
Anguilla,,21,,,23,,,
Antigua and Barbuda,144,,171,,,,,
Aruba,,,,,,,,
Bahamas,,819,600,,,,,
Barbados,432,445,367,363,524,,,
British Virgin Islands,,,,,,,,
Cayman Islands,,,,,56,,,
Curacao,,,,,,,,
Dominica,,,60,,50,,,
Dominican Republic,"14,066",,"13,285",,,,,
Grenada,95,125,121,,86,,,
Haiti,,,"7,019",,"7,827",,,
Jamaica,778,889,694,804,807,,,
Martinique,436,,,,,,,
Puerto Rico,"1,778","1,965","1,772","1,972","1,402",,,
Saint Kitts and Nevis,108,,98,,,,,
Saint Lucia,,232,,,,,,
Saint Vincent and the Grenadines,752,,,96,,,,
Sint Maarten (Dutch part),,,,,,,,
Trinidad and Tobago,"1,945","1,958","2,001","2,025","5,123",,,
United States Virgin Islands,,,208,,,,,
Belize,"1,272","1,471","1,435","1,392",,,,
Costa Rica,"3,014","3,264","3,064","2,942","2,533",,,
El Salvador,"7,377","7,719","6,010","5,785","8,775",,,
Guatemala,,"7,321","8,209",,"9,232",,,
Honduras,"6,294","5,985","6,826","8,195","9,012",,,
Mexico*,"74,685","77,674","82,285","112,524","100,298",,,
Nicaragua,,"1,127",,,,,,
Panama,"9,077","9,629",,,"10,047",,,
Bermuda,,,,,,,,
Canada,"14,156","14,471","12,033","14,242",,,,
Greenland,,,37,,29,,,
United States of America,"470,000","476,900","477,100","490,100","456,800",,,
Argentina,"30,795","31,301","31,961","35,137","37,008",,,
Bolivia (Plurinational State of),"9,357","11,988","12,309",,,,,
Brazil,"217,146","230,035","245,716","250,192","249,668",,,
Chile,"10,600","11,148","11,572","11,978","13,164",,,
Colombia,"27,320","34,571","37,052","38,097",,,,
Ecuador,,"11,818","10,106","9,518",,,,
Guyana,788,690,711,,753,,,
Paraguay,"5,115","5,684","6,675","8,467","9,926",,,
Peru,"29,127","35,892","36,670","37,109","39,439",,,
Suriname,505,,,,,,,
Uruguay,"5,738","6,326","5,983","6,254","6,934",,,
Venezuela (Bolivarian Republic of),,,"35,342",,"31,503",,,
Kazakhstan,"7,637","7,003","6,632","6,601","5,825",,,
Kyrgyzstan,"1,872","2,056",,,"1,830",,,
Tajikistan,,,,,,,,
Turkmenistan,,,,,,,,
Uzbekistan,,,,,,,,
"China, Hong Kong Special Administrative Region","1,321","1,569","1,551",,,,,
"China, Macao Special Administrative Region",186,238,256,223,281,,,
Japan,"7,792","7,332","6,861","6,954",,,,
Mongolia,"1,458","1,234","1,200","1,144",965,,,
Republic of Korea,"13,840","15,274","16,687","18,317","19,273",,,
Taiwan Province of China,,,,"3,275",,,,
Brunei Darussalam,,,51,,40,,,
Cambodia,,,,"8,839","6,127",,,
Indonesia,,"49,690",,,"57,547",,,
Lao People's Democratic Republic,,,,,,,,
Malaysia,,,"8,887",,,,,
Myanmar,,,,,,,,
Philippines,"61,311","66,281","69,852","76,630",,,,
Singapore,"1,261","1,108","1,266","1,361","1,333",,,
Thailand,,,,"67,113","60,010",,,
Timor-Leste,,,136,,144,,,
Viet Nam,,"15,150",,,"23,979",,,
Afghanistan,,,"7,365","8,297",,,,
Bangladesh,,"46,919",,,"52,876",,,
India,"241,200","254,857","278,503",,"282,076",,,
Iran (Islamic Republic of),,"55,000",,"56,650",,,,
Nepal,,,,,,,,
Pakistan,,"49,582",,,"55,429",,,
Sri Lanka,,,"9,835",,"10,069",,,
Armenia,"1,437","1,228","1,035","1,113","1,114",,,
Azerbaijan,"2,930","2,934","3,531","3,790",,,,
Bahrain,,882,"1,108",,,,,
Cyprus,135,156,117,101,110,,,
Georgia,"1,513",862,"1,455","1,507",,,,
Iraq (Central Iraq),"9,245","10,553","8,072",,,,,
Israel,"4,377","5,118","5,337","5,244",,,,
Jordan,"2,957","3,677",,"4,480",,,,
Kuwait,410,,300,,,,,
Lebanon,"1,450","1,853","2,368","3,981","2,872",,,
Qatar,,,500,,,,,
State of Palestine,"7,283","5,981",,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,"35,617","31,242","28,108","22,207","25,928",,,
United Arab Emirates,,"3,365","3,322","3,755",,,,
Yemen,,,"9,920",,,,,
Belarus,"4,027","3,368","3,867","4,259",,,,
Bulgaria,"1,099",927,774,669,689,,,
Czechia,"2,613","2,183","2,308","2,185","1,960",,,
Hungary,"4,875","4,888","5,053","4,400",,,,
Poland,"8,507","7,354","6,858","6,418","4,345",,,
Republic of Moldova,"1,387","1,571","1,490","1,553",,,,
Romania,"3,313","3,179","3,447","2,514","2,453",,,
Russian Federation,"112,133","113,628","114,031","117,402",,,,
Slovakia,"1,407","1,308","1,216","1,319","1,346",,,
Ukraine,"37,632",,,,,,,
Denmark,"1,381","1,092","1,226","1,066",930,,,
Estonia,772,754,684,713,699,,,
Faroe Islands,5,4,3,,,,,
Finland,585,631,554,629,580,,,
Guernsey,,,,20,,,,
Iceland,12,26,13,,,,,
Ireland,606,498,614,439,594,,,
Isle of Man,,,14,,,,,
Jersey,,,36,,,,,
Latvia,"2,035","1,921","1,523","1,469","1,389",,,
Lithuania,"1,347","1,179","1,118",868,712,,,
Norway,884,910,961,"1,015",,,,
Sweden**,"1,521","1,444","1,346","1,383","1,251",,,
United Kingdom (England and Wales),"8,299","7,671","7,743","8,618","8,271",,,
United Kingdom (Northern Ireland),584,478,437,417,361,,,
United Kingdom (Scotland),"1,237","1,238","1,155","1,525","1,353",,,
Albania,"1,850","1,756","1,975","2,924","2,945",,,
Andorra,26,17,30,41,17,,,
Bosnia and Herzegovina,402,354,338,343,411,,,
Croatia,896,767,934,812,719,,,
Gibraltar,31,,,,,,,
Greece,"4,254","4,325","2,861","2,470","2,557",,,
Holy See,-,1,-,-,-,,,
Italy*,"14,719","13,545","12,060","10,337","9,373",,,
Kosovo under UNSCR 1244,617,769,574,583,367,,,
Malta,203,170,196,138,125,,,
Montenegro,338,360,304,239,298,,,
Portugal,"2,470","2,661","2,592","2,330","2,303",,,
San Marino,,,,,,,,
Serbia,"3,160","2,532","1,894","1,593","1,538",,,
Slovenia,89,78,66,55,52,,,
Spain,"12,148","10,938","9,292","8,595","7,684",,,
The former Yugoslav Republic of Macedonia,,,500,,350,,,
Austria,"1,826","1,791","1,809","1,834",,,,
Belgium,,"3,600",,,"3,019",,,
