Country,Year,Number,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,0.6,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence. Where a country has reported a combined prevalence for amphetamines and other stimulants these have been reported under ""Amphetamines"" and a flag included to state if this includes prescription stimulants. Where a combined prevalence has not been reported by the Member State and the prescription stimulant prevalence is known, this has been reported under ""Prescription stimulants"". 
",
Poland,2014/15,0.2,,,
United Kingdom (England and Wales),2014/15,0.6,,,
United Kingdom (Northern Ireland),2014/15,0.5,,,
United Kingdom (Scotland),2014/15,0.82,,,
Italy,2013-2014,0.2,,,
United Kingdom (Scotland),2012/13,0.9,,,
Canada,2015,0.25,,,
United States of America,2015,2.9,,,
Indonesia,2015,0.09,,,
Ukraine,2015,0.3,,,
Croatia,2015,1,,,
Macedonia (TFYR),2015,0.33,,,
Montenegro,2015,0.66,,,
Austria,2015,0.4,,,
Germany,2015,1.1,,,
Hungary,2015,0.45,,,
Iceland,2015,0.78,,,
Latvia,2015,0.3,,,
Norway,2015,0.2,,,
Slovakia,2015,0.4,,,
Switzerland,2015,0.06,,,
Switzerland,2015,0.09,,,
New Zealand,2015,0.9,,,
El Salvador,2014,0.38,,,
United States of America,2014,1.7,,,
Chile,2014,0.06,,,
Uruguay,2014,0.04,,,
Albania,2014,0.1,,,
Serbia,2014,0.1,,,
Czechia,2014,0.8,,,
Finland,2014,1.1,,,
France,2014,0.3,,,
Netherlands,2014,1.3,,,
Norway,2014,0.6,,,
New Zealand,2014,1.1,,,
Canada,2013,0.2,,,
Romania,2013,0.1,,,
Belgium,2013,0.5,,,
Czechia,2013,0.2,,,
Denmark,2013,0.6,,,
Malta,2013,0,,,
Spain,2013,0.6,,,
Sweden,2013,0.72,,,
Switzerland,2013,0.27,,,
Australia,2013,2.1,,,
Chile,2012,0.08,,,
Pakistan,2012,0.12,,,
Maldives,2012,0.1,,,
Bulgaria,2012,0.65,,,
Croatia,2012,0.8,,,
Cyprus,2012,0.3,,,
Germany,2012,0.7,,,
Italy,2012,0.09,,,
Lithuania,2012,0.2,,,
Poland,2012,0.6,,,
Portugal,2012,0.05,,,
Slovenia,2012,0.3,,,
Mexico,2011,0.12,,,
Uruguay,2011,0.01,,,
Venezuela (Bolivarian Republic of),2011,0.47,,,
Japan,2011,0.3,,,
Ukraine,2011,0.72,,,
Bosnia and Herzegovina,2011,0.5,,,
Montenegro,2011,0.72,,,
Iceland,2011,0.93,,,
Ireland,2011,0.4,,,
Latvia,2011,0.3,,,
Malta,2011,0.93,,,
Slovenia,2011,0.72,,,
Spain,2011,0.6,,,
United Kingdom (Northern Ireland),2011,1.1,,,
