Country,Year,Number,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,0.4,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence. Where a country has reported a combined prevalence for amphetamines and other stimulants these have been reported under ""Amphetamines"" and a flag included to state if this includes prescription stimulants. Where a combined prevalence has not been reported by the Member State and the prescription stimulant prevalence is known, this has been reported under ""Prescription stimulants"". 
",
Poland,2014/15,,,,
United Kingdom (England and Wales),2014/15,0.4,,,
United Kingdom (Northern Ireland),2014/15,,,,
United Kingdom (Scotland),2014/15,0.29,,,
Italy,2013-2014,0.1,,,
United Kingdom (Scotland),2012/13,0.3,,,
Canada,2015,,,,
United States of America,2015,,,,
Indonesia,2015,0,,,
Ukraine,2015,,,,
Croatia,2015,0.4,,,
Macedonia (TFYR),2015,,,,
Montenegro,2015,,,,
Austria,2015,0.4,,,
Germany,2015,0.8,,,
Hungary,2015,0.13,,,
Iceland,2015,,,,
Latvia,2015,0.2,,,
Norway,2015,0,,,
Slovakia,2015,0.1,,,
Switzerland,2015,,,,
Switzerland,2015,,,,
New Zealand,2015,0.7,,,
El Salvador,2014,0.23,,,
United States of America,2014,,,,
Chile,2014,0.06,,,
Uruguay,2014,,,,
Albania,2014,,,,
Serbia,2014,0.1,,,
Czechia,2014,0.2,,,
Finland,2014,0.6,,,
France,2014,0.2,,,
Netherlands,2014,,,,
Norway,2014,0.2,,,
New Zealand,2014,0.7,,,
Canada,2013,0.2,,,
Romania,2013,0.1,,,
Belgium,2013,0.3,,,
Czechia,2013,0.2,,,
Denmark,2013,0.3,,,
Malta,2013,,,,
Spain,2013,0.4,,,
Sweden,2013,0.47,,,
Switzerland,2013,0.26,,,
Australia,2013,1.5,,,
Chile,2012,0.03,,,
Pakistan,2012,0.14,,,
Maldives,2012,,,,
Bulgaria,2012,0.4,,,
Croatia,2012,,,,
Cyprus,2012,0.1,,,
Germany,2012,0.3,,,
Italy,2012,0.09,,,
Lithuania,2012,0,,,
Poland,2012,0.3,,,
Portugal,2012,0,,,
Slovenia,2012,0.1,,,
Mexico,2011,0.1,,,
Uruguay,2011,0.02,,,
Venezuela (Bolivarian Republic of),2011,,,,
Japan,2011,,,,
Ukraine,2011,,,,
Bosnia and Herzegovina,2011,,,,
Montenegro,2011,,,,
Iceland,2011,,,,
Ireland,2011,0.4,,,
Latvia,2011,0.1,,,
Malta,2011,,,,
Slovenia,2011,,,,
Spain,2011,0.3,,,
United Kingdom (Northern Ireland),2011,,,,
