Country,Year,Number,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,0.81,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence. Where a country has reported a combined prevalence for amphetamines and other stimulants these have been reported under ""Amphetamines"" and a flag included to state if this includes prescription stimulants. Where a combined prevalence has not been reported by the Member State and the prescription stimulant prevalence is known, this has been reported under ""Prescription stimulants"". 
",
Poland,2014/15,0.3,,,
United Kingdom (England and Wales),2014/15,0.8,,,
United Kingdom (Northern Ireland),2014/15,,,,
United Kingdom (Scotland),2014/15,1.37,,,
Italy,2013-2014,0.3,,,
United Kingdom (Scotland),2012/13,1.4,,,
Canada,2015,,,,
United States of America,2015,,,,
Indonesia,2015,0.2,,,
Ukraine,2015,,,,
Croatia,2015,1.6,,,
Macedonia (TFYR),2015,,,,
Montenegro,2015,,,,
Austria,2015,0.5,,,
Germany,2015,1.3,,,
Hungary,2015,0.82,,,
Iceland,2015,,,,
Latvia,2015,0.5,,,
Norway,2015,0.3,,,
Slovakia,2015,0.7,,,
Switzerland,2015,,,,
Switzerland,2015,,,,
New Zealand,2015,1.2,,,
El Salvador,2014,0.58,,,
United States of America,2014,,,,
Chile,2014,0.06,,,
Uruguay,2014,,,,
Albania,2014,,,,
Serbia,2014,0.2,,,
Czechia,2014,1.4,,,
Finland,2014,1.6,,,
France,2014,0.4,,,
Netherlands,2014,,,,
Norway,2014,0.9,,,
New Zealand,2014,1.5,,,
Canada,2013,0.2,,,
Romania,2013,0.1,,,
Belgium,2013,0.6,,,
Czechia,2013,0.2,,,
Denmark,2013,1,,,
Malta,2013,,,,
Spain,2013,0.8,,,
Sweden,2013,0.96,,,
Switzerland,2013,0.29,,,
Australia,2013,2.7,,,
Chile,2012,0.14,,,
Pakistan,2012,0.1,,,
Maldives,2012,,,,
Bulgaria,2012,0.85,,,
Croatia,2012,,,,
Cyprus,2012,0.5,,,
Germany,2012,1.2,,,
Italy,2012,0.09,,,
Lithuania,2012,0.5,,,
Poland,2012,0.8,,,
Portugal,2012,0.1,,,
Slovenia,2012,0.5,,,
Mexico,2011,0.2,,,
Uruguay,2011,0.2,,,
Venezuela (Bolivarian Republic of),2011,,,,
Japan,2011,,,,
Ukraine,2011,,,,
Bosnia and Herzegovina,2011,,,,
Montenegro,2011,,,,
Iceland,2011,,,,
Ireland,2011,0.4,,,
Latvia,2011,0.5,,,
Malta,2011,,,,
Slovenia,2011,,,,
Spain,2011,0.9,,,
United Kingdom (Northern Ireland),2011,,,,
