Country,Year,Best,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,6.5,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",
Poland,2014/15,4.6,,,
United Kingdom (England and Wales),2014/15,6.7,,,
United Kingdom (Northern Ireland),2014/15,4.6,,,
United Kingdom (Scotland),2014/15,6.29,,,
Italy,2013-2014,9.2,,,
Philippines,2012/13,0.61,,,
United Kingdom (Scotland),2012/13,6.5,,,
Panama,2015,0.77,,,
Canada,2015,14.73,,,
United States of America,2015,16.5,,,
Indonesia,2015,0.18,,,
Ukraine,2015,2.13,,,
Croatia,2015,7.9,,,
Montenegro,2015,1.82,,,
Macedonia (TFYR),2015,1.13,,,
Austria,2015,6.4,,,
Germany,2015,6.1,,,
Hungary,2015,1.53,,,
Latvia,2015,4.2,,,
Norway,2015,4.2,,,
Slovakia,2015,4.3,,,
Sweden,2015,3.2,,,
Switzerland,2015,8.09,,,
El Salvador,2014,2.03,,,
United States of America,2014,16.2,,,
Chile,2014,11.83,,,
Uruguay,2014,9.3,,,
Albania,2014,5.6,,,
Serbia,2014,1.6,,,
Czechia,2014,11.4,,,
Finland,2014,6.8,,,
France,2014,11.1,,,
Netherlands,2014,8,,,
Norway,2014,4.2,,,
Sweden,2014,2.88,,,
Switzerland,2014,6.7,,,
Tunisia,2013,2.6,,,
Canada,2013,12.7,,,
Bolivia (Plurinational State of),2013,1.27,,,
Colombia,2013,3.27,,,
Ecuador,2013,0.67,,,
Romania,2013,2,,,
Belgium,2013,4.6,,,
Czechia,2013,8.9,,,
Denmark,2013,6.9,,,
Malta,2013,0.9,,,
Spain,2013,9.2,,,
Australia,2013,10.2,,,
New Zealand,2013,11,,,
Cape Verde,2012,2.4,,,
Chile,2012,7.47,,,
Kazakhstan,2012,2.4,,,
Pakistan,2012,3.6,,,
Maldives,2012,2.55,,,
Bulgaria,2012,3.5,,,
Croatia,2012,5,,,
Cyprus,2012,2.2,,,
Germany,2012,4.5,,,
Iceland,2012,6.6,,,
Italy,2012,4,,,
Lithuania,2012,2.3,,,
Poland,2012,3.8,,,
Portugal,2012,2.7,,,
Slovenia,2012,4.4,,,
South Africa,2011,3.65,,,
Mexico,2011,1.2,,,
Argentina,2011,3.2,,,
Uruguay,2011,8.3,,,
Venezuela (Bolivarian Republic of),2011,1.56,,,
Japan,2011,0.3,,,
Ukraine,2011,2.9,,,
Bosnia and Herzegovina,2011,1.6,,,
Montenegro,2011,1.9,,,
Turkey,2011,0.3,,,
Iceland,2011,3.4,,,
Ireland,2011,6,,,
Latvia,2011,4,,,
Malta,2011,3.1,,,
Spain,2011,9.6,,,
United Kingdom (Northern Ireland),2011,5.1,,,
