Country,Year,Number,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,3.8,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",
Poland,2014/15,1.7,,,
United Kingdom (England and Wales),2014/15,4,,,
United Kingdom (Northern Ireland),2014/15,,,,
United Kingdom (Scotland),2014/15,3.68,,,
Italy,2013-2014,6.6,,,
Philippines,2012/13,,,,
United Kingdom (Scotland),2012/13,3.6,,,
Panama,2015,0.14,,,
Canada,2015,11.86,,,
United States of America,2015,13.6,,,
Indonesia,2015,0.04,,,
Ukraine,2015,,,,
Croatia,2015,4.3,,,
Montenegro,2015,,,,
Macedonia (TFYR),2015,,,,
Austria,2015,5.6,,,
Germany,2015,4.9,,,
Hungary,2015,0.81,,,
Latvia,2015,1.7,,,
Norway,2015,2.9,,,
Slovakia,2015,1.7,,,
Sweden,2015,2.3,,,
Switzerland,2015,,,,
El Salvador,2014,0.62,,,
United States of America,2014,12.7,,,
Chile,2014,8.38,,,
Uruguay,2014,6.4,,,
Albania,2014,,,,
Serbia,2014,0.6,,,
Czechia,2014,7.3,,,
Finland,2014,4.3,,,
France,2014,7.4,,,
Netherlands,2014,5.4,,,
Norway,2014,2.3,,,
Sweden,2014,1.63,,,
Switzerland,2014,4.2,,,
Tunisia,2013,,,,
Canada,2013,9,,,
Bolivia (Plurinational State of),2013,0.81,,,
Colombia,2013,1.3,,,
Ecuador,2013,0.53,,,
Romania,2013,1.8,,,
Belgium,2013,2.9,,,
Czechia,2013,4.5,,,
Denmark,2013,5.1,,,
Malta,2013,,,,
Spain,2013,5.4,,,
Australia,2013,7.6,,,
New Zealand,2013,7.9,,,
Cape Verde,2012,,,,
Chile,2012,4.52,,,
Kazakhstan,2012,,,,
Pakistan,2012,0.2,,,
Maldives,2012,,,,
Bulgaria,2012,1.9,,,
Croatia,2012,,,,
Cyprus,2012,1,,,
Germany,2012,3,,,
Iceland,2012,,,,
Italy,2012,3,,,
Lithuania,2012,1,,,
Poland,2012,1.7,,,
Portugal,2012,1.3,,,
Slovenia,2012,2.8,,,
South Africa,2011,,,,
Mexico,2011,0.3,,,
Argentina,2011,1.7,,,
Uruguay,2011,5.4,,,
Venezuela (Bolivarian Republic of),2011,,,,
Japan,2011,,,,
Ukraine,2011,,,,
Bosnia and Herzegovina,2011,,,,
Montenegro,2011,,,,
Turkey,2011,,,,
Iceland,2011,,,,
Ireland,2011,2.9,,,
Latvia,2011,2.4,,,
Malta,2011,,,,
Spain,2011,5.5,,,
United Kingdom (Northern Ireland),2011,,,,
