Country,Year,Number,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,9.1,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",
Poland,2014/15,7.8,,,
United Kingdom (England and Wales),2014/15,9.5,,,
United Kingdom (Northern Ireland),2014/15,,,,
United Kingdom (Scotland),2014/15,9,,,
Italy,2013-2014,11.9,,,
Philippines,2012/13,,,,
United Kingdom (Scotland),2012/13,9.5,,,
Panama,2015,1.52,,,
Canada,2015,17.6,,,
United States of America,2015,19.4,,,
Indonesia,2015,0.33,,,
Ukraine,2015,,,,
Croatia,2015,11.5,,,
Montenegro,2015,,,,
Macedonia (TFYR),2015,,,,
Austria,2015,7.2,,,
Germany,2015,7.4,,,
Hungary,2015,2.46,,,
Latvia,2015,6.9,,,
Norway,2015,5.5,,,
Slovakia,2015,7,,,
Sweden,2015,4.1,,,
Switzerland,2015,,,,
El Salvador,2014,3.93,,,
United States of America,2014,19.9,,,
Chile,2014,15.37,,,
Uruguay,2014,12.5,,,
Albania,2014,,,,
Serbia,2014,2.5,,,
Czechia,2014,15.4,,,
Finland,2014,9.2,,,
France,2014,15,,,
Netherlands,2014,10.5,,,
Norway,2014,6,,,
Sweden,2014,4.1,,,
Switzerland,2014,9.3,,,
Tunisia,2013,,,,
Canada,2013,16.4,,,
Bolivia (Plurinational State of),2013,1.86,,,
Colombia,2013,5.36,,,
Ecuador,2013,0.82,,,
Romania,2013,2.3,,,
Belgium,2013,6.3,,,
Czechia,2013,13.2,,,
Denmark,2013,9.2,,,
Malta,2013,,,,
Spain,2013,12.9,,,
Australia,2013,12.8,,,
New Zealand,2013,14.3,,,
Cape Verde,2012,,,,
Chile,2012,10.52,,,
Kazakhstan,2012,,,,
Pakistan,2012,6.7,,,
Maldives,2012,,,,
Bulgaria,2012,5.1,,,
Croatia,2012,,,,
Cyprus,2012,3.5,,,
Germany,2012,6,,,
Iceland,2012,,,,
Italy,2012,5.19,,,
Lithuania,2012,3.6,,,
Poland,2012,6,,,
Portugal,2012,4.1,,,
Slovenia,2012,5.9,,,
South Africa,2011,,,,
Mexico,2011,2.2,,,
Argentina,2011,4.7,,,
Uruguay,2011,11.5,,,
Venezuela (Bolivarian Republic of),2011,,,,
Japan,2011,,,,
Ukraine,2011,,,,
Bosnia and Herzegovina,2011,,,,
Montenegro,2011,,,,
Turkey,2011,,,,
Iceland,2011,,,,
Ireland,2011,9.1,,,
Latvia,2011,5.7,,,
Malta,2011,,,,
Spain,2011,13.6,,,
United Kingdom (Northern Ireland),2011,,,,
