Country,Year,Number,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,2.25,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",
Poland,2014/15,0.2,,,
United Kingdom (England and Wales),2014/15,2.4,,,
United Kingdom (Northern Ireland),2014/15,1.8,,,
United Kingdom (Scotland),2014/15,2.34,,,
Italy,2013-2014,1.1,,,
Philippines,2012/13,0.04,,,
United Kingdom (Scotland),2012/13,2.2,,,
Panama,2015,0.1,,,
Canada,2015,1.46,,,
United States of America,2015,2.3,,,
Indonesia,2015,0,,,
Ukraine,2015,0.32,,,
Croatia,2015,0.8,,,
Macedonia (TFYR),2015,0.34,,,
Montenegro,2015,0.62,,,
Austria,2015,0.4,,,
Germany,2015,0.6,,,
Hungary,2015,0.31,,,
Iceland,2015,1.06,,,
Latvia,2015,0.5,,,
Norway,2015,1,,,
Slovakia,2015,0.1,,,
Switzerland,2015,0.66,,,
El Salvador,2014,0.47,,,
United States of America,2014,2.1,,,
Chile,2014,1.73,,,
Uruguay,2014,1.8,,,
Albania,2014,2.5,,,
Serbia,2014,0.1,,,
Czechia,2014,0.2,,,
Finland,2014,0.5,,,
France,2014,1.1,,,
Netherlands,2014,1.6,,,
Norway,2014,1,,,
Switzerland,2014,0.5,,,
Canada,2013,1.1,,,
Bolivia (Plurinational State of),2013,0.36,,,
Colombia,2013,0.7,,,
Ecuador,2013,0.08,,,
Romania,2013,0.2,,,
Belgium,2013,0.5,,,
Czechia,2013,0.1,,,
Denmark,2013,0.9,,,
Malta,2013,0.5,,,
Spain,2013,2.2,,,
Sweden,2013,0.38,,,
Australia,2013,2.1,,,
Cape Verde,2012,0.2,,,
Chile,2012,1.21,,,
Pakistan,2012,0.01,,,
Maldives,2012,0.04,,,
Bulgaria,2012,0.2,,,
Croatia,2012,0.5,,,
Cyprus,2012,0.3,,,
Germany,2012,0.8,,,
Italy,2012,0.6,,,
Lithuania,2012,0.2,,,
Poland,2012,0.2,,,
Portugal,2012,0.2,,,
Slovenia,2012,0.5,,,
South Africa,2011,1.02,,,
Mexico,2011,0.5,,,
Argentina,2011,0.73,,,
Uruguay,2011,2.1,,,
Venezuela (Bolivarian Republic of),2011,0.64,,,
Ukraine,2011,0.52,,,
Montenegro,2011,0.52,,,
Iceland,2011,0.92,,,
Ireland,2011,1.5,,,
Latvia,2011,0.2,,,
Malta,2011,1.78,,,
Spain,2011,2.3,,,
United Kingdom (Northern Ireland),2011,1.5,,,
