Country,Year,Number,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",
Poland,2014/15,,,,
United Kingdom (England and Wales),2014/15,1.3,,,
United Kingdom (Northern Ireland),2014/15,,,,
United Kingdom (Scotland),2014/15,0.9,,,
Italy,2013-2014,0.7,,,
Philippines,2012/13,,,,
United Kingdom (Scotland),2012/13,1.1,,,
Panama,2015,,,,
Canada,2015,1.13,,,
United States of America,2015,1.6,,,
Indonesia,2015,0,,,
Ukraine,2015,,,,
Croatia,2015,0.4,,,
Macedonia (TFYR),2015,,,,
Montenegro,2015,,,,
Austria,2015,0.3,,,
Germany,2015,0.5,,,
Hungary,2015,0.14,,,
Iceland,2015,,,,
Latvia,2015,0.3,,,
Norway,2015,0.3,,,
Slovakia,2015,0,,,
Switzerland,2015,,,,
El Salvador,2014,0.14,,,
United States of America,2014,1.5,,,
Chile,2014,0.65,,,
Uruguay,2014,1,,,
Albania,2014,,,,
Serbia,2014,0,,,
Czechia,2014,0,,,
Finland,2014,0.1,,,
France,2014,0.7,,,
Netherlands,2014,1,,,
Norway,2014,0.3,,,
Switzerland,2014,0.3,,,
Canada,2013,0.6,,,
Bolivia (Plurinational State of),2013,0.27,,,
Colombia,2013,0.2,,,
Ecuador,2013,0.07,,,
Romania,2013,0.2,,,
Belgium,2013,0.3,,,
Czechia,2013,0,,,
Denmark,2013,0.5,,,
Malta,2013,,,,
Spain,2013,1,,,
Sweden,2013,,,,
Australia,2013,1.4,,,
Cape Verde,2012,,,,
Chile,2012,0.51,,,
Pakistan,2012,0,,,
Maldives,2012,,,,
Bulgaria,2012,0.1,,,
Croatia,2012,,,,
Cyprus,2012,0.2,,,
Germany,2012,0.3,,,
Italy,2012,0.25,,,
Lithuania,2012,0,,,
Poland,2012,,,,
Portugal,2012,0.1,,,
Slovenia,2012,0.3,,,
South Africa,2011,,,,
Mexico,2011,0.1,,,
Argentina,2011,0.11,,,
Uruguay,2011,0.9,,,
Venezuela (Bolivarian Republic of),2011,,,,
Ukraine,2011,,,,
Montenegro,2011,,,,
Iceland,2011,,,,
Ireland,2011,0.7,,,
Latvia,2011,0.1,,,
Malta,2011,,,,
Spain,2011,0.9,,,
United Kingdom (Northern Ireland),2011,,,,
