Country,Year,Number,Definition,Interpretation,Link
United Kingdom (England and Wales),2015/16,,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",
Poland,2014/15,0.4,,,
United Kingdom (England and Wales),2014/15,3.5,,,
United Kingdom (Northern Ireland),2014/15,,,,
United Kingdom (Scotland),2014/15,3.82,,,
Italy,2013-2014,1.4,,,
Philippines,2012/13,,,,
United Kingdom (Scotland),2012/13,3.3,,,
Panama,2015,,,,
Canada,2015,1.79,,,
United States of America,2015,3,,,
Indonesia,2015,0,,,
Ukraine,2015,,,,
Croatia,2015,1.2,,,
Macedonia (TFYR),2015,,,,
Montenegro,2015,,,,
Austria,2015,0.4,,,
Germany,2015,0.8,,,
Hungary,2015,0.5,,,
Iceland,2015,,,,
Latvia,2015,0.8,,,
Norway,2015,1.7,,,
Slovakia,2015,0.3,,,
Switzerland,2015,,,,
El Salvador,2014,0.92,,,
United States of America,2014,2.9,,,
Chile,2014,2.85,,,
Uruguay,2014,2.6,,,
Albania,2014,,,,
Serbia,2014,0.2,,,
Czechia,2014,0.5,,,
Finland,2014,0.9,,,
France,2014,1.4,,,
Netherlands,2014,2.2,,,
Norway,2014,1.6,,,
Switzerland,2014,0.7,,,
Canada,2013,1.6,,,
Bolivia (Plurinational State of),2013,0.46,,,
Colombia,2013,1.23,,,
Ecuador,2013,0.1,,,
Romania,2013,0.2,,,
Belgium,2013,0.7,,,
Czechia,2013,0.2,,,
Denmark,2013,1.5,,,
Malta,2013,,,,
Spain,2013,3.3,,,
Sweden,2013,,,,
Australia,2013,2.9,,,
Cape Verde,2012,,,,
Chile,2012,1.92,,,
Pakistan,2012,0.01,,,
Maldives,2012,,,,
Bulgaria,2012,0.2,,,
Croatia,2012,,,,
Cyprus,2012,0.4,,,
Germany,2012,1.3,,,
Italy,2012,1.01,,,
Lithuania,2012,0.3,,,
Poland,2012,0.3,,,
Portugal,2012,0.3,,,
Slovenia,2012,0.7,,,
South Africa,2011,,,,
Mexico,2011,0.9,,,
Argentina,2011,1.26,,,
Uruguay,2011,3.4,,,
Venezuela (Bolivarian Republic of),2011,,,,
Ukraine,2011,,,,
Montenegro,2011,,,,
Iceland,2011,,,,
Ireland,2011,2.3,,,
Latvia,2011,0.4,,,
Malta,2011,,,,
Spain,2011,3.6,,,
United Kingdom (Northern Ireland),2011,,,,
