Country,Year,Number,,Definition,Interpretation,Link
Kenya,,,,,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",
Algeria,,,,,,
South Africa,,,,,,
South Africa,,,,,,
Zambia,,,,,,
Cape Verde,,,,,,
Bahamas,,,,,,
Bahamas,,,,,,
Barbados,,,,,,
Dominican Republic,,,,,,
Dominican Republic,,,,,,
Haiti,,,,,,
Haiti,,,,,,
Jamaica,,,,,,
Puerto Rico,,,,,,
Saint Lucia,,,,,,
Trinidad and Tobago,,,,,,
Trinidad and Tobago,,,,,,
Belize,,,,,,
Costa Rica,,,,,,
Costa Rica,,,,,,
El Salvador,2014,0,,,,
El Salvador,,,,,,
Guatemala,,,,,,
Honduras,,,,,,
Nicaragua,,,,,,
Panama,,,,,,
Panama,,,,,,
Canada,2015,0.64,,,,
Canada,2013,0.2,,,,
Mexico,,,,,,
United States of America,2015,0.9,,,,
United States of America,2014,0.9,,,,
Argentina,,,,,,
Argentina,2011,0.1,,,,
Bolivia (Plurinational State of),2013,0,,,,
Bolivia (Plurinational State of),,,,,,
Brazil,,,,,,
Brazil,,,,,,
Chile,2014,0.05,,,,
Chile,2012,0,,,,
Colombia,2013,0.1,,,,
Colombia,,,,,,
Ecuador,,,,,,
Ecuador,,,,,,
Guyana,,,,,,
Guyana,,,,,,
Paraguay,,,,,,
Peru,,,,,,
Peru,,,,,,
Suriname,,,,,,
Suriname,,,,,,
Uruguay,2014,0.1,,,,
Uruguay,2011,0.1,,,,
Venezuela (Bolivarian Republic of),,,,,,
Venezuela (Bolivarian Republic of),,,,,,
Armenia,,,,,,
Georgia,,,,,,
Georgia,,,,,,
Cambodia,,,,,,
"China, Hong Kong SAR",,,,,,
Indonesia,,,,,,
Indonesia,2015,0,,,,
Japan,,,,,,
Korea (Republic of),,,,,,
Malaysia,,,,,,
Philippines,,,,,,
Philippines,,,,,,
"Taiwan, Province of China",,,,,,
Thailand,,,,,,
Viet Nam,,,,,,
Israel,,,,,,
Israel,,,,,,
Lebanon,,,,,,
Lebanon,,,,,,
Belarus,,,,,,
Moldova (Republic of),,,,,,
Moldova (Republic of),,,,,,
Russian Federation,,,,,,
Ukraine,,,,,,
Ukraine,,,,,,
Albania,,,,,,
Albania,,,,,,
Bosnia and Herzegovina,,,,,,
Bosnia and Herzegovina,,,,,,
Bulgaria,,,,,,
Bulgaria,2012,0.8,,,,
Croatia,2015,0.2,,,,
Croatia,,,,,,
Macedonia (TFYR),,,,,,
Macedonia (TFYR),,,,,,
Montenegro,,,,,,
Montenegro,,,,,,
Romania,2013,0.2,,,,
Romania,,,,,,
Serbia,,,,,,
Serbia,2014,0.1,,,,
Turkey,,,,,,
Austria,2015,0.4,,,,
Austria,,,,,,
Belgium,,,,,,
Belgium,,,,,,
Cyprus,2012,0.1,,,,
Cyprus,,,,,,
Czechia,2014,0.9,,,,
Czechia,2013,0.9,,,,
Denmark,2013,0.1,,,,
Denmark,,,,,,
Estonia,,,,,,
Estonia,,,,,,
Finland,,,,,,
Finland,2014,0.5,,,,
France,2014,0.6,,,,
France,,,,,,
Germany,2015,0.6,,,,
Germany,2012,0.1,,,,
Greece,,,,,,
Hungary,,,,,,
Hungary,2015,0.81,,,,
Iceland,,,,,,
Iceland,,,,,,
Ireland,,,,,,
Ireland,2011,0.3,,,,
Italy,2013-2014,0.3,,,,
Italy,2012,0.02,,,,
Latvia,2015,0.2,,,,
Latvia,2011,0.1,,,,
Lithuania,,,,,,
Lithuania,2012,0.1,,,,
Luxembourg,,,,,,
Luxembourg,,,,,,
Malta,,,,,,
Malta,,,,,,
Netherlands,,,,,,
Netherlands,,,,,,
Norway,2014,0.1,,,,
Norway,2015,0.2,,,,
Poland,,,,,,
Poland,,,,,,
Portugal,2012,0.1,,,,
Portugal,,,,,,
Slovakia,2015,0.1,,,,
Slovakia,,,,,,
Slovenia,2012,0.2,,,,
Slovenia,,,,,,
Spain,2011,0.4,,,,
Spain,2013,0.3,,,,
Sweden,,,,,,
Sweden,,,,,,
Switzerland,2013,0.13,,,,
Switzerland,,,,,,
United Kingdom (England and Wales),2015/16,0.83,,,,
United Kingdom (England and Wales),2014/15,0.9,,,,
United Kingdom (Northern Ireland),,,,,,
United Kingdom (Northern Ireland),,,,,,
United Kingdom (Scotland),2014/15,0.78,,,,
United Kingdom (Scotland),2012/13,0.7,,,,
Australia,2013,1.8,,,,
Australia,2013,1.8,,,,
Australia,,,,,,
New Zealand,,,,,,
New Zealand,2013,1.5,,,,
