Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,241,242,236,184,,"“Prison Staff” means all individuals employed in penal or correctional institutions as at 31 December, including management, treatment, custodial and other (maintenance, food service etc.) personnel. “Prisons, Penal Institutions or Correctional Institutions” means all institutions, under the authority of the prison administration, where persons are deprived of their liberty. The institutions may include, but are not limited to, penal, correctional and psychiatric facilities and may be either publicly or privately financed. Community-based correctional facilities that are not detention facilities and centres for the detention of foreign citizens held pending investigation into their immigration status, or for the detention of foreign citizens without a legal right to stay should be excluded. ","When using the figures, any cross-national comparison should be conducted with caution because of different definitions and organisational arrangements that exist across national criminal justice systems.",https://data.unodc.org/#state:13
Kenya*,"19,514","19,851","19,627","19,355","19,068",,,
Madagascar,"1,549","1,602","1,678","1,692","1,723",,,
Mauritius,971,,,,,,"Note: No rates are provided - this is a ""Count""",
Uganda,,"7,095","6,860","8,002",,,,
Zimbabwe,,,,,,,,
Cameroon,"2,791","2,956","3,205","3,284",,,,
Algeria,"21,769","23,989","22,772","24,412","26,128",,,
Egypt,"12,519",,,,,,,
Morocco*,,,,,,,,
Botswana*,"1,846",,"1,368","1,625",,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Burkina Faso,990,,,,,,,
Guinea,,,,,,,,
Senegal,,,,,,,,
Sierra Leone,,,,,,,,
Togo,,442,,,,,,
Bahamas,441,516,,,,,,
Barbados,416,418,440,412,391,,,
Dominican Republic,288,,,,,,,
Grenada,116,134,129,150,150,,,
Jamaica,"2,151","2,201","1,972","1,715","1,692",,,
Saint Kitts and Nevis,53,,,,,,,
Saint Vincent and the Grenadines,128,,,,,,,
Trinidad and Tobago,"2,595","2,283","2,361","3,011","2,600",,,
Belize,281,265,257,289,,,,
Costa Rica,"3,626",,"4,314","3,234","4,035",,,
El Salvador,"2,183","2,152","2,050","2,103","2,585",,,
Guatemala,"2,223","2,500",,,,,,
Honduras,"1,684","1,593","1,616","1,606","1,716",,,
Mexico*,"45,104","46,930","42,841","37,267","36,400",,,
Nicaragua,,,,,,,,
Panama,"1,211","1,120","1,051","1,112","1,236",,,
Bermuda,,,194,183,,,,
Canada*,"14,640","14,299","26,122","25,969",,,,
United States of America,,,,,,,,
Argentina,"36,111","32,545","37,707","41,940","43,888",,,
Bolivia (Plurinational State of),,,,,,,,
Brazil*,"97,212","107,764","113,183",,"84,884",,,
Chile*,"14,140","15,014","16,566","17,783","19,473",,,
Colombia,"15,868","14,684","15,016","14,578","14,791",,,
Ecuador,,"1,397","1,521",,,,,
Guyana,394,354,351,396,488,,,
Paraguay,,"1,276","1,301","1,243","1,521",,,
Peru*,"5,704","6,487","7,081","6,675","9,197",,,
Uruguay,,,,,,,,
Kazakhstan,"9,709","9,842","9,841",,"9,996",,,
Kyrgyzstan,,,,,,,,
China,"303,000","309,000","314,000",,,,,
"China, Hong Kong Special Administrative Region","4,497","4,612","4,652",,,,,
"China, Macao Special Administrative Region*",626,648,713,769,825,,,
Japan,"17,904","18,013","18,038","18,166",,,,
Mongolia,"2,808","2,651","2,650","2,978","2,630",,,
Republic of Korea,"15,221","15,553","15,749","15,984",,,,
Brunei Darussalam,,,,,,,,
Indonesia,,,,,"16,815",,,
Philippines*,"8,901","9,992","8,301","2,571",,,,
Singapore,"1,651","2,112","2,171","2,182","2,168",,,
Thailand,,,,"10,300","10,684",,,
Bangladesh,,,,,,,,
Bhutan,,,271,,,,,
India,"49,390","50,358","51,818",,,,,
Maldives,,,,,,,,
Nepal,,,,,,,,
Sri Lanka,"5,064",,,,,,,
Armenia,"1,917","2,044","2,044","2,040","1,857",,,
Azerbaijan,,,,,,,,
Bahrain,,,,,,,,
Cyprus,427,438,417,408,389,,,
Georgia,,,,"1,974",,,,
Iraq (Central Iraq),"20,100","20,595","21,178",,,,,
Israel,,,,"6,628",,,,
Jordan,"2,986","3,067",,,,,,
Lebanon,,,"1,166",,,,,
Qatar,,,,,,,,
State of Palestine,,356,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,"34,646","40,561","43,295","45,459","46,424",,,
United Arab Emirates,,"4,312","4,312","3,393",,,,
Belarus,,,,,,,,
Bulgaria,"2,665","2,656","2,671","2,726","2,475",,,
Czechia,"10,573","10,964","10,608","10,673","10,908",,,
Hungary,"7,348","7,482","7,219","7,264",,,,
Poland*,"30,441","30,475","30,511","30,349","29,935",,,
Republic of Moldova,"1,916","1,939","1,921","1,995",,,,
Romania,"10,906","10,727","10,793","11,082","11,478",,,
Russian Federation,"320,355","313,088","289,370","285,555","268,107",,,
Slovakia,"5,019","4,972","4,990","5,003","4,985",,,
Ukraine,"47,223",,,,,,,
Denmark,"3,775","3,762","3,723","3,628","3,326",,,
Estonia,"1,697",,"1,656","1,579","1,573",,,
Finland,"2,626","2,596","2,436","2,402","2,336",,,
Iceland,,101,104,,,,,
Ireland,"3,310","3,433","3,432","3,380","3,308",,,
Latvia,,"2,348","2,562","2,545","2,566",,,
Lithuania,"2,919","2,886","2,952","2,955","2,947",,,
Norway,"3,424","3,413","3,406","3,509",,,,
Sweden,"7,043",,,,,,,
United Kingdom (England and Wales),"42,160","40,000","34,200","32,320","31,739",,,
United Kingdom (Northern Ireland)*,"2,143","1,791","1,920","1,827","1,694",,,
United Kingdom (Scotland),"3,549","4,350","4,510","4,628","4,651",,,
Albania,"3,615","3,615","3,512","3,603","4,052",,,
Andorra*,60,59,59,57,,,,
Bosnia and Herzegovina,"1,805",,"1,814","1,844","1,833",,,
Croatia,"2,558","2,559","2,756","2,694","2,639",,,
Greece,,,,"4,505","4,505",,,
Italy,"44,579","45,041","44,580","43,921","43,332",,,
Kosovo under UNSCR 1244,429,788,679,679,720,,,
Malta*,191,180,172,223,259,,,
Montenegro,504,502,481,484,454,,,
Portugal*,"5,255","5,329","5,221","5,005","4,954",,,
