Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,191.87,199.13,,222.01,,"“Persons Prosecuted” means alleged offenders against whom prosecution commenced in the reporting year. Persons may be prosecuted by the public prosecutor or the law enforcement agency responsible for prosecution, at the national level, irrespective of the case-ending decision.","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems. ",https://data.unodc.org/#state:2
Kenya,,,,189.12,197.01,,,
Mauritius,"1,206.22","1,055.04","1,151.90",,,,,
Uganda,,,,165.92,,,,
Zimbabwe,,,,,,,,
Cameroon,,179.23,213.35,,,,,
Algeria,"3,062.05","3,146.57","3,121.58","3,814.68","3,705.25",,,
Botswana,,,132.87,493.17,,,,
Swaziland,,,,,,,,
Burkina Faso,,,,,,,,
Cabo Verde,"2,085.39","2,515.02",,"5,288.32","4,547.73",,,
Bahamas,,,,,,,,
Barbados,30.29,21.66,41.06,44.46,15.13,,,
Dominican Republic,,,,,,,,
Grenada,"4,984.30",,,,,,,
Jamaica,18.71,25.01,27.66,49.98,,,,
Saint Kitts and Nevis,786.82,,,,,,,
Trinidad and Tobago,323.72,315.52,265.09,274.94,249.84,,,
Belize,,,,27.01,,,,
Costa Rica,"4,805.34","3,149.53","4,232.50",,,,,
El Salvador,702.92,631.07,850.35,901.22,873.96,,,
Guatemala,"1,863.89","2,082.70","2,330.02","2,787.21","2,832.68",,,
Mexico*,153.46,248.27,232.32,"1,486.64","1,526.14",,,
Nicaragua,,,,,,,,
Panama*,49.67,55.69,30.01,28.03,14.69,,,
Bermuda,,,"17,813.39",,,,,
Canada,"1,197.74","1,154.48","1,099.42",933.11,,,,
United States of America,32.85,29.8,28.69,25.36,24.81,,,
Chile*,"1,936.50","1,921.43","1,822.53","1,823.61","1,790.97",,,
Colombia*,226.96,236.65,259.34,260.84,288.56,,,
Ecuador*,,,,185.21,,,,
Guyana,"4,009.88","4,438.50","3,207.88",,"5,272.82",,,
Paraguay,277.07,,313.98,304.88,296.89,,,
Peru,978.21,"1,096.68","1,037.20","1,217.72",,,,
Venezuela (Bolivarian Republic of),,,,,,,,
Kazakhstan,505.62,583.64,599.81,615.37,615.34,,,
Kyrgyzstan,295.98,287.15,261.24,279.48,313.15,,,
Turkmenistan,,,,,,,,
China,89.09,102.61,97.2,105,,,,
"China, Hong Kong Special Administrative Region",581.58,573.71,573.34,,,,,
"China, Macao Special Administrative Region",605.1,670.89,623,797.52,"1,040.49",,,
Japan,108.8,105.51,99.29,97.82,,,,
Mongolia*,,,,739.52,741.64,,,
Republic of Korea,"1,858.58","1,819.35","1,826.78","1,739.66",,,,
Malaysia,,,,,,,,
Philippines,210.87,212.74,233.13,237.6,238.07,,,
Singapore,,,,,,,,
Thailand,913.27,"1,009.03","1,042.45","1,083.73","1,100.94",,,
India,233.36,242.61,253.62,,,,,
Maldives,757.49,718.06,"1,047.53",,,,,
Nepal,,,,,,,,
Sri Lanka,,,,,,,,
Armenia*,397.64,393.47,382.53,364.09,363.59,,,
Azerbaijan,,181.92,156.26,161.58,,,,
Bahrain,,,,,,,,
Cyprus,"12,425.09","11,434.13","9,139.74","10,908.17","8,241.57",,,
Georgia,,,,,,,,
Israel,,,,,,,,
Jordan,19.73,47.77,,,,,,
Lebanon,"1,447.20","1,337.81","1,049.71",,,,,
State of Palestine,,,,,723.49,,,
Syrian Arab Republic,,,,,,,,
Turkey*,"4,511.91","4,642.44","4,639.96","4,735.65",,,,
United Arab Emirates,,,,,,,,
Belarus,698.8,558.43,524.37,525.69,,,,
Bulgaria,775.82,677.52,651.4,598.18,543.53,,,
Czechia,975.58,978.45,"1,002.37",980.94,867.11,,,
Hungary,881.3,770.86,796.33,807.27,764.07,,,
Poland,"1,453.45","1,381.55","1,310.06","1,127.47","1,019.94",,,
Republic of Moldova,467.24,509.01,,591.06,,,,
Romania,303.21,299.52,331.97,256.17,301.92,,,
Slovakia,961.12,998.99,994.58,915.46,806.67,,,
Ukraine,,,,,,,,
Denmark,"7,725.35","7,446.60","8,305.93","7,274.95","8,306.04",,,
Estonia,844.31,790.54,722.85,655.6,613.08,,,
Finland,"3,837.49","3,599.72","3,423.67","3,225.53",,,,
Iceland,609.6,807.34,871.87,760.42,727.63,,,
Ireland,"1,652.39","1,395.95",,,,,,
Latvia*,624.62,665.8,616.2,460.65,510.53,,,
Lithuania,600.41,672.4,692.49,688.53,628.44,,,
Norway,578.45,549.7,555.96,536.02,,,,
Sweden*,"1,475.52","1,408.72","1,262.14","1,170.72","1,128.81",,,
United Kingdom (England and Wales),"2,795.60","2,608.32","2,515.11","2,541.28",,,,
United Kingdom (Northern Ireland)*,"2,112.64","2,106.89","1,931.33","1,710.41",,,,
United Kingdom (Scotland),"1,171.80","1,072.91","1,047.90","1,060.55",,,,
Albania,377.06,398.66,417.68,668.66,680.81,,,
