Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
South Africa,,,,55.1,,"""Police Reporting Rate"" means the percentage of offences that were reported to the police by the victim of the offence or someone else, calculated on the basis of the last incident experienced by the victim. ""Victims of Physical Assault” means individuals who were subject to the application of physical force against their body with the intention to cause injury or harm in the last calendar year or the last 12 months. ""Physical Assault"" includes ""Serious Assault"" involving the application of serious physical force resulting in serious bodily injury (gunshot or bullet wounds, knife or stab wounds, severed limbs, broken bones etc) as well as the application of minor physical force resulting in no injury or minor bodily injury (such as bruises, cuts, scratches, swelling etc.).","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:17
Trinidad and Tobago,,,,,77,,,
Canada,,,,38,,"Note: this is a ""count"" not a rate",,
Colombia,,18,22.1,20.1,19.7,,,
Peru,13.6,13,13.4,13.8,14,,,
Kyrgyzstan,,,,,19.4,,,
Czechia,,,22,,,,,
Poland,,,55.7,,,,,
Sweden,37,35,38,36,30,,,
United Kingdom (England and Wales),42.2,44.1,49.6,49.4,52,,,
United Kingdom (Northern Ireland),46,48,50,58,,,,
France,24.1,31.7,27.9,25,27.4,,,
Switzerland,24,,,,20,,,
Australia,50.7,49,49.7,51.5,54.7,,,
