Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
South Africa,94.2,,72.4,63,,"""Police Reporting Rate"" means the percentage of offences that were reported to the police by the victim of the offence or someone else, calculated on the basis of the last incident experienced by the victim. ""Victims of Sexual Assault” means the individuals who were grabed, touched or assaulted for sexual reasons in a really offensive way in the last calendar year or the last 12 months.","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:15
Barbados,,,,,,,,
Jamaica,,,,,,,,
Trinidad and Tobago,,,,,18,,"Note: this is a ""count"" not a rate",
Canada,,,,5,,,,
United States of America,27,28,34.8,33.6,32.5,,,
Paraguay,,,,,,,,
Kyrgyzstan,,,,,31.8,,,
"China, Hong Kong Special Administrative Region",,,,,,,,
Thailand,,67.3,,,,,,
Sri Lanka,0.1,1,1,,,,,
Georgia,,,,,,,,
Iceland,,,4,,,,,
Sweden,23,19,10,12,8,,,
United Kingdom (England and Wales),13,,17,,,,,
Croatia,,,,,,,,
Belgium,,,,,,,,
France,12.8,10.8,7.6,10,8.8,,,
Luxembourg,,,29,,,,,
Netherlands,9.1,,,,,,,
Switzerland,,,,,3,,,
Australia,31,30.5,34.2,38.2,24.7,,,
New Zealand,6.8,,,,,,,
