Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,43.57,41.94,39.25,41.56,,"“Robbery” means unlawfully taking or obtaining property with the use of force or threat of force against a person with intent to permanently or temporarily withhold it from a person or organization. ""Robbery"" should include theft with violence from the person (mugging, bag-snatching with force), robbery of valuables or goods in transit, of an establishment or institution, of livestock and other acts of robbery involving the use of force against a person. ""Robbery"" should exclude theft without violence (pick pocketing), ""Burglary"" and extortion.","When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure).",https://data.unodc.org/#state:5
Kenya,7.88,7.67,8.13,6.71,6.22,,,
Madagascar,10.48,9.83,12.3,9.18,7.18,,,
Mauritius,64.96,,,,,,,
Mozambique,,,,,,,,
Rwanda,16.73,24.19,25.02,,,,,
Uganda,12.18,11.85,9.9,9.64,,,,
United Republic of Tanzania,25.11,24.58,21.95,20.09,17.56,,,
Zimbabwe,,,,,,,,
Cameroon*,84.09,72.73,112.68,110.96,69.78,,,
Sao Tome and Principe,0.57,,,,,,,
Algeria*,52.03,28.6,46.48,53.97,65.6,,,
Egypt,3.19,,,,,,,
Morocco,,,44.41,,,,,
Sudan,,,,,,,,
Botswana,117.77,,,76.49,,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Cabo Verde,639.19,882.07,763.71,760.45,"1,051.29",,,
Cote d'Ivoire,,,,,,,,
Guinea,,,,,,,,
Nigeria,,1.78,1.11,,,,,
Senegal,,,,,16.54,,,
Sierra Leone,,,,,,,,
Bahamas,100.62,98.55,,,,,,
Barbados,167.85,197.1,124.25,100.57,105.55,,,
Dominican Republic,,20.59,,144.2,,,,
Grenada,36.17,22.75,18.89,22.57,71.14,,,
Jamaica,112.38,100.29,96.35,81.31,68.34,,,
Puerto Rico,174.64,170.42,163.01,140.27,110.5,,,
Saint Kitts and Nevis,124.53,,,,,,,
Saint Vincent and the Grenadines,155.48,146.34,136.29,,,,,
Trinidad and Tobago,278.55,330.66,219.4,197.27,181.53,,,
Belize,135.79,144.64,86,86.44,,,,
Costa Rica*,878.75,,"1,018.90","1,095.64",,,,
El Salvador*,95.27,90.92,87.79,77.48,84.24,,,
Guatemala*,22.66,24.88,24.19,19.44,,,,
Honduras,325.5,254.31,237.86,,127.24,,,
Mexico*,624.56,611.85,588.95,141.95,129.17,,,
Nicaragua*,,,,,,,,
Panama*,262.58,268.13,229.87,253.08,207.88,,,
Bermuda,151,132.96,50.98,52.9,74.19,,,
Canada,86.35,79.58,65.99,58.79,61.44,,,
United States of America,113.56,112.79,108.82,101.08,101.74,,,
Argentina,,,,"1,125.94","1,020.42",,,
Bolivia (Plurinational State of),117.8,140.75,,,,,,
Brazil,542.13,483.97,495.7,,,,,
Chile,534.74,469.65,529.49,598.68,593.24,,,
Colombia,146.23,176.29,197.38,197.55,210.14,,,
Ecuador,476.21,557.04,601.54,570.56,,,,
Guyana,157.56,184.73,201.17,,190.72,,,
Paraguay,214.72,235.23,274.02,309.88,317.21,,,
Peru,218.09,253.41,261.32,250.54,264.37,,,
