Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,,,,,,"“Annual Prevalence Rate of Robbery” means the percentage of individuals who experienced someone stealing or trying to steal something from them, by using force or threatening to use force in the last calendar year or the last 12 months.","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:1
South Africa,0.7,,0.7,1.2,,,,
Barbados,,,,,,,,
Jamaica,,1.6,,,,,,
Saint Vincent and the Grenadines,,,,,,,,
Trinidad and Tobago,,,,,0.9,,,
Costa Rica,,,,12.9,,,,
Mexico,6.3,6.9,9.1,9.9,9.5,,,
Canada,,,,0.6,,,,
United States of America,0.1,0.2,0.1,0.2,0.1,,,
Bolivia (Plurinational State of),25.6,,17.1,,,,,
Chile,2.1,1.7,1.6,2,,,,
Colombia,,13.2,11.4,11.2,10.5,,,
Ecuador,13.8,,,,,,,
Paraguay,,,,,,,,
Peru,23.4,21.3,22,20.4,19.7,,,
Uruguay,5,,,,,,,
Kyrgyzstan,,,,,1.1,,,
"China, Hong Kong Special Administrative Region",,,,,,,,
Republic of Korea,0,0,0,0,,,,
Indonesia,0.4,,,,,,,
Philippines,,0.3,,,,,,
Georgia,,,,,,,,
Israel,,,0.3,,,,,
Czechia,,,3.1,,,,,
Poland,2,4,1.5,3,2,,,
Denmark,0.8,0.9,0.8,0.8,,,,
Estonia,,,,,,,,
Sweden,1,1.1,0.8,0.7,0.7,,,
United Kingdom (England and Wales),0.5,0.4,0.3,0.2,0.3,,,
United Kingdom (Northern Ireland),0.1,-,0.1,0.2,,,,
United Kingdom (Scotland),0.2,,0.2,,0.1,,,
Croatia,,,,,,,,
Italy,,,,,,,,
Belgium,,,,,,,,
France,0.6,0.5,0.6,0.7,0.4,,,
Germany,,0.7,,,,,,
Luxembourg,,,1.1,,,,,
Netherlands,0.2,0.1,0.1,0.1,0.1,,,
Switzerland,,,0.8,1,0.4,,,
Australia,0.4,0.4,0.4,0.4,0.3,,,
New Zealand,,,,0.5,,,,
