Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2015,Other sedatives and tranquillizers,0,Gram,,,
Armenia,2011,Other sedatives and tranquillizers,72.5,Gram,,,
"China, Taiwan Province of China",2015,Other sedatives and tranquillizers,1.1,Gram,,,
Russian Federation,2015,Other sedatives and tranquillizers,188,Gram,,,
Estonia,2014,Other sedatives and tranquillizers,3.36,Gram,,,
Latvia,2015,Other sedatives and tranquillizers,2.45,Gram,,,
Latvia,2015,Other sedatives and tranquillizers,0.41,Gram,,,
Latvia,2012,Other sedatives and tranquillizers,4.75,Gram,,,
,,,,,,,
United States of America,2015,Other sedatives and tranquillizers,9.82,Kilogram,,,
United States of America,2014,Other sedatives and tranquillizers,5,Kilogram,,,
Republic of Korea,2014,Other sedatives and tranquillizers,0.04,Kilogram,,,
Bangladesh,2013,Other sedatives and tranquillizers,28.22,Kilogram,,,
Bangladesh,2012,Other sedatives and tranquillizers,1.07,Kilogram,,,
Russian Federation,2015,Other sedatives and tranquillizers,4.42,Kilogram,,,
Montenegro,2015,Other sedatives and tranquillizers,0.02,Kilogram,,,
Italy,2014,Other sedatives and tranquillizers,0.08,Kilogram,,,
Australia,2014,Other sedatives and tranquillizers,32.72,Kilogram,,,
Australia,2012,Other sedatives and tranquillizers,0.002,Kilogram,,,
Australia,2011,Other sedatives and tranquillizers,2.73,Kilogram,,,
