Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Mauritius,2015,Non-specified sedatives and tranquillizers,"1,084.00",Tablet,,,
Algeria,2011,Non-specified sedatives and tranquillizers,"262,074",Tablet,,,
Colombia,2015,Non-specified sedatives and tranquillizers,"33,866",Tablet,,,
Colombia,2014,Non-specified sedatives and tranquillizers,"41,075",Tablet,,,
Colombia,2013,Non-specified sedatives and tranquillizers,"63,641",Tablet,,,
Colombia,2012,Non-specified sedatives and tranquillizers,"33,961",Tablet,,,
Colombia,2011,Non-specified sedatives and tranquillizers,"20,488",Tablet,,,
China,2014,Non-specified sedatives and tranquillizers,"66,404",Tablet,,,
Japan,2011,Non-specified sedatives and tranquillizers,"17,916.00",Tablet,,,
Syrian Arab Republic,2015,Non-specified sedatives and tranquillizers,"99,196.00",Tablet,,,
Syrian Arab Republic,2011,Non-specified sedatives and tranquillizers,543,Tablet,,,
Bosnia and Herzegovina,2012,Non-specified sedatives and tranquillizers,"1,891",Tablet,,,
Bulgaria,2011,Non-specified sedatives and tranquillizers,"1,620",Tablet,,,
Turkey,2015,Non-specified sedatives and tranquillizers,"368,627",Tablet,,,
Turkey,2013,Non-specified sedatives and tranquillizers,"356,676",Tablet,,,
Turkey,2011,Non-specified sedatives and tranquillizers,"54,555",Tablet,,,
Greece,2011,Non-specified sedatives and tranquillizers,"64,768",Tablet,,,
Latvia,2013,Non-specified sedatives and tranquillizers,45,Tablet,,,
Lithuania,2011,Non-specified sedatives and tranquillizers,"69,213",Tablet,,,
Luxembourg,2015,Non-specified sedatives and tranquillizers,"1,216",Tablet,,,
Luxembourg,2012,Non-specified sedatives and tranquillizers,923,Tablet,,,
Switzerland,2011,Non-specified sedatives and tranquillizers,"21,622",Tablet,,,
