Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,52.05,23.64,36.14,32.57,," “Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay.","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:1
Kenya*,77.35,59.77,73.51,70.17,72.44,,,
Madagascar,41.94,39.05,39.38,40.71,39.47,,,
Mauritius,136.94,141.06,,,,,,
Mozambique,,,,,,,,
Seychelles,,,,,,,,
Uganda,45.34,45.94,48.6,51.34,,,,
Zimbabwe,,,,,,,,
Cameroon,,39.95,43.14,45.62,,,,
Algeria,126.88,120.43,147.85,146.14,143.19,,,
Morocco,,,,,,,,
Botswana*,175.24,,134.89,133.16,,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Burkina Faso,19.61,,,,,,,
Guinea,,,,,,,,
Nigeria,7.53,,9.39,,,,,
Senegal*,,,,,,,,
Sierra Leone,,,,,,,,
Togo,,22.87,,,,,,
Bahamas,,164.88,,,,,,
Barbados,223.8,213.08,191.5,176.79,151.29,,,
Dominican Republic,77.88,,,,,,,
Grenada,321.69,328.04,321.05,392.11,373.51,,,
Jamaica,133.67,125.77,123.25,116.05,109.01,,,
Puerto Rico,261.8,278.14,283.8,278.69,270.47,,,
Saint Kitts and Nevis,449.07,,,,,,,
Saint Vincent and the Grenadines,471.92,,,,,,,
Trinidad and Tobago*,175.46,130.59,119.71,99.96,170.87,,,
Belize,308.63,319.27,347.77,345.17,,,,
Costa Rica,195.09,217.93,224.86,,220.26,,,
El Salvador,297.03,340.3,342.19,369.19,389.61,,,
Guatemala,,50.05,,,,,,
Honduras,74.96,78.98,81,83.99,88.49,,,
Mexico*,109.01,96.72,115.36,143.47,156.09,,,
Nicaragua,,,,,,,,
Panama*,111.16,132.59,,,197.07,,,
Bermuda,,,,,,,,
Canada*,75.57,75.27,72.41,73,,,,
United States of America,570.6,557.34,550.36,543.12,533.6,,,
Argentina,69.85,71.46,73.56,76.78,80.6,,,
Bolivia (Plurinational State of),18.24,22.31,,,,,,
Brazil,148.33,157.98,164.87,173.5,179.23,,,
Chile*,282.89,260.08,235.99,209.88,192.82,,,
Colombia,157.59,169.18,175.28,158.03,,,,
Ecuador,,54.26,88.64,80.16,,,,
Guyana,164.97,176.95,169.11,,162.3,,,
Paraguay,32.51,34.99,39.56,41.19,44.73,,,
Peru,67.47,84.55,101.18,112.52,120.48,,,
Uruguay,98.42,91.03,101.67,96.15,,,,
Kazakhstan,,,,,,,,
Kyrgyzstan,,,,,141.2,,,
Turkmenistan,,,,,,,,
China,,,,120.47,,,,
"China, Hong Kong Special Administrative Region",112.01,110.55,105.93,,,,,
"China, Macao Special Administrative Region*",154.39,156.7,158.08,169.92,170.01,,,
Japan,48.79,46.94,44.19,42.22,,,,
Mongolia,237.51,246.09,240.21,224.96,152.27,,,
Republic of Korea,63.21,63.36,64.47,66.79,,,,
Brunei Darussalam,,,,,,,,
Philippines*,3.16,3.22,2.38,2.24,2.23,,,
Singapore,193.19,186.83,185.79,177.13,171.35,,,
Thailand,,,,358.04,375,,,
Bangladesh,,,,,,,,
India,10.31,10.11,10.13,,,,,
Maldives,,,,,,,,
Sri Lanka,,,,,,,,
Armenia,124.83,118.46,96.52,92.04,91.43,,,
Azerbaijan,190.91,190.65,180.45,194.56,,,,
Bahrain,,,,,,,,
Cyprus,43.61,46.22,38.19,37.36,37.5,,,
Georgia,538.58,446.66,187.08,219.71,,,,
Iraq (Central Iraq),63.08,73.5,77.19,,,,,
Israel,162.26,157.15,152.34,149.63,,,,
Jordan,,57.72,,,,,,
Lebanon,80.99,65.13,57.22,,62.35,,,
Qatar,,,,,,,,
Saudi Arabia,,,,,2.69,,,
State of Palestine,128.6,162.59,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,125.98,139.36,154.53,176.05,176.92,,,
United Arab Emirates,,72.15,73.42,66.82,,,,
Yemen,,,,,,,,
Belarus,343.87,268.39,259.06,268.59,,,,
Bulgaria,119.45,117.28,111.13,100,93.97,,,
Czechia*,195,193.73,135.96,156.25,179.32,,,
Hungary,120.41,120.31,128.85,132.19,,,,
Poland,192.58,202.29,189.82,186.28,174.63,,,
Republic of Moldova,124.9,123,131.65,141.44,,,,
Romania,136.14,143.59,151.49,140.66,132.65,,,
Russian Federation,449.35,410.56,392.88,386.42,368.28,,,
Slovakia,168.5,176.2,157.53,160.45,157.88,,,
Ukraine,255.94,,,,,,,
Denmark,46.01,48.87,50.94,44.57,40.09,,,
Estonia*,197.88,191.23,183.93,176.34,159.54,,,
Faeroe Islands,6.19,8.27,14.5,,,,,
Finland,49.72,49.31,50.27,45.97,46.43,,,
Iceland,42.99,39.27,42.72,,,,,
Ireland,77.59,81.17,74.37,75.85,67.19,,,
Latvia,219.32,205.98,179.59,164.68,153.26,,,
Lithuania,279.2,283.44,274.75,266.32,230.79,,,
Norway*,60.19,62.61,57.21,0.16,0.06,,,
Sweden,54.41,50.84,45.48,44.51,43.89,,,
United Kingdom (England and Wales)*,135.53,136.5,130.19,130.75,,,,
United Kingdom (Northern Ireland)*,60.02,66.02,74.27,70.2,,,,
United Kingdom (Scotland),130.96,128.33,126.49,116.05,,,,
Albania*,97.33,99.35,104.85,95.69,104.81,,,
Andorra*,29.15,23.95,17.13,16.49,34.06,,,
Bosnia and Herzegovina,61.45,,66.95,65.02,60.78,,,
Croatia,97.35,92.7,80.02,69.34,61.83,,,
Greece,73.75,73.36,88.94,84.79,65.35,,,
Holy See,-,125.16,-,-,-,,,
Italy,89.82,89.65,86.64,74.27,73.64,,,
Kosovo under UNSCR 1244,44.86,52.38,64.66,67.93,,,,
Malta*,92.01,99.86,100.54,106.05,105.09,,,
Montenegro,158.92,155.64,121.67,141.37,133.11,,,
Portugal,96.71,104.17,111.78,112.22,115.16,,,
Serbia,87.66,85.65,91.04,97.78,96.33,,,
Slovenia,57.5,62.97,62.67,71,65.15,,,
Spain,122.98,122.23,122.38,120.68,115.68,,,
The former Yugoslav Republic of Macedonia,107.07,,,,,,,
Austria,73.57,82.95,83.1,80.52,,,,
Belgium,,,,,61.77,,,
France,76.67,78.85,79.02,77.54,75.35,,,
Germany,70.43,69.12,66.13,62.31,61.11,,,
Liechtenstein,13.68,19.03,56.7,34.87,42.63,,,
Luxembourg,68.08,71.18,70.66,57.14,66.12,,,
Monaco,37.65,29.41,18.65,,60.96,,,
Netherlands*,58.87,57.51,55.25,53.63,47.94,,,
Switzerland,40.63,41.74,46.03,45.66,45.09,,,
Australia*,99.29,98.25,100.28,108,109.15,,,
New Zealand*,163.45,165.72,160.28,164.05,167.18,,,
