Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Kenya,15.7,16.3,15.5,16.9,,"""Sexual offences against children"" means crimes of a sexual nature committed against children (according to the age defined in the ""Metadata"" section below). These crimes should include child pornography offences, procuring a child for prostitution, statutory rape of a person below the age of consent and other offences related to the sexual exploitation of children.","When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure). ",https://data.unodc.org/#state:11
Mauritius,87.7,,,,,,,
Rwanda,34.8,31.4,27.5,,,,,
Uganda,40.3,41,47.4,57.9,,,,
Cameroon,,,,,,,,
Sao Tome and Principe,5.8,,,,,,,
Algeria,14.3,13.4,18.9,14,,,,
Egypt,0.2,,,,,,,
Morocco,,22.1,9.1,,,,,
Botswana,64.7,,,63.2,,,,
Cabo Verde,46.7,62.5,53.3,,,,,
Guinea,,,,,,,,
Nigeria,,,0.3,,,,,
Sierra Leone,,,,,,,,
Bahamas,174.5,110.7,,,,,,
Barbados,28.5,42.2,107.2,57.4,,,,
Dominican Republic,,1.1,,3.8,,,,
Grenada,117.3,372.2,101.8,14.6,,,,
Jamaica,177.3,273.7,243.4,217.7,,,,
St. Kitts and Nevis,295.3,,,,,,,
St. Vincent and the Grenadines,476.8,204.5,,,,,,
Trinidad and Tobago,75.9,97.9,61.1,112,,,,
Belize,51.9,,,,,,,
Costa Rica,194.8,193.8,222,,,,,
El Salvador,65.2,106.2,108.7,85.5,,,,
Guatemala,5.4,5.7,6.1,5.2,,,,
Honduras,13.4,71.1,66.9,,,,,
Mexico*,5.2,,,,,,,
Nicaragua,,,,,,,,
Panama*,8.7,7.2,6.6,,,,,
Bermuda,107.7,67.5,135.3,,,,,
Canada,54.7,56.8,60,64.1,,,,
Bolivia (Plurinational State of),69.9,99.1,,,,,,
Chile*,239.1,266.9,236.3,173.7,,,,
Colombia,40.8,56.1,58.9,61.1,,,,
Ecuador,54.8,36.5,18.5,63.8,,,,
Guyana,40.3,18.9,30.9,,,,,
Paraguay,82.2,68.4,105,112,,,,
Peru,39.1,44.1,41.4,38.9,,,,
Uruguay,,133.9,,,,,,
Kazakhstan,3,4.6,9.4,,,,,
Kyrgyzstan*,2.2,1.9,0.1,0.1,,,,
Tajikistan,0.1,,,,,,,
Hong Kong Special Administrative Region of China,66.7,61.5,54.5,,,,,
Japan,20.2,21.5,22.4,21.1,,,,
Macao Special Administrative Region of China*,15.7,22.3,18.8,14.2,,,,
Mongolia,18.1,17,21.5,18.3,,,,
Republic of Korea,10.7,11.7,11.7,10.1,,,,
Myanmar,0.9,1.1,1.3,,,,,
Philippines,14.1,12.2,,,,,,
Singapore,41.6,34.7,37.3,37.8,,,,
Thailand,11.3,10.7,10.3,10.1,,,,
Bhutan,9.6,13.1,13.6,,,,,
India,1.6,1.9,2.7,,,,,
Maldives,238,237.8,218,,,,,
Sri Lanka,23.9,30,27.7,,,,,
Armenia,7.7,12.3,13.4,,,,,
Azerbaijan,5.6,6.2,6.9,6.5,,,,
Bahrain,,,,,,,,
Georgia,,,,,,,,
Israel,90.5,,,,,,,
State of Palestine,0.6,0.5,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,30.4,34,,,,,,
United Arab Emirates,,3.8,8.1,8.8,,,,
Yemen,,,,,,,,
Belarus,5.1,5,10.4,7.5,,,,
Bulgaria,22.2,21.3,21.2,19.4,,,,
Czech Republic,41,37.9,44.7,98.3,,,,
Hungary*,22.9,51.7,315.8,27.7,,,,
Poland,21.5,19,20.8,29.4,,,,
Republic of Moldova,18,32.4,20.9,35.3,,,,
Romania*,,19.3,23.4,15.4,,,,
Russian Federation,40.7,33.5,31.8,36.8,,,,
Slovakia,59.9,54.1,51.1,59.4,,,,
Ukraine,,,,,,,,
Estonia,,,,,,,,
Finland*,167,162.6,177.1,149,,,,
Iceland,,,262.7,,,,,
Latvia*,37.1,66.8,36,63.7,,,,
Lithuania,69.7,65.1,51.3,57.4,,,,
Norway,117.4,111.9,101.5,115.3,,,,
Sweden*,399,406.5,420.5,580.9,,,,
United Kingdom (England and Wales),145.9,158.8,199.2,271.5,,,,
United Kingdom (Northern Ireland),236,235.4,290.7,335.7,,,,
Albania,2.4,2.4,3.9,4.1,,,,
Andorra,81.7,115.3,148.6,103.1,,,,
Bosnia and Herzegovina,6.9,6,4.6,5.5,,,,
Croatia,33.8,25,46.8,66.4,,,,
Greece,2.6,2.8,2.4,4,,,,
Italy,13.1,11.7,10.8,10.4,,,,
Kosovo under UNSCR 1244,8.7,7.4,10.5,9.5,,,,
Malta*,34,29.7,37.9,42.7,,,,
Montenegro,6.1,4.8,4.1,1.4,,,,
Portugal,41.3,41.7,46.7,55.9,,,,
Serbia,12.4,12.1,9,7.1,,,,
Slovenia,62.5,45.8,47.4,30.8,,,,
Spain,12.2,10.4,10.2,13.9,,,,
The former Yugoslav Rep. of Macedonia,11.4,11.8,11.3,12.8,,,,
Austria,105.7,119,115.1,131.1,,,,
Belgium,184.1,172.3,176.5,158.3,,,,
France*,96.7,113.5,117.7,127.9,,,,
Germany*,141.8,140,146.7,144.9,,,,
Liechtenstein,125.8,167.6,474.3,223.2,,,,
Luxembourg,21,,93.7,,,,,
Netherlands,24.4,30.3,28.4,27.9,,,,
Switzerland*,96.4,82.4,90.8,88.4,,,,
New Zealand,174.3,171.9,190.2,,,,,
