Country,Year,Number,Definition,Interpretation,Link
Brazil,2015,8.00%,,"* Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs.",https://data.unodc.org/#state:44
Canada,2012-13,0.30%,,,
Chile,2015,0.10%,,,
Colombia,2015,9.50%,,,
Costa Rica,2015,0.30%,,,
Dominican Republic,2014,-,,,
Ecuador,2015,1.00%,,,
El Salvador,2015,1.10%,,,
Honduras,2014,,,,
Jamaica,2012,-,,,
Mexico,2015,10.50%,,,
Nicaragua,2014,16.10%,,,
Peru,2012/2014***,4.00%,,,
Puerto Rico,2014,-,,,
Trinidad and Tobago,2014,-,,,
Uruguay,2015,0.10%,,,
United States of America,2014,0.10%,,,
Venezuela,2015,0.10%,,,
