Country,Year,Number,Definition,Interpretation,Link
Albania,,,," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,,,,
Austria,2014,0.2,,,
Belarus,2011/2014***,,,,
Belgium,2015,0.1,,,
Bosnia and Herzegovina,2010-2015,,,,
Bulgaria,2015,0.2,,,
Croatia,2015,0.1,,,
Cyprus,2013,,,,
Czechia,2015,0.2,,,
Denmark,2013,0.2,,,
Estonia,2015,0.4,,,
Finland,2014,0.2,,,
France,2014,0.1,,,
Germany,2014,0.1,,,
Gibraltar,,,,,
Greece,2014,0,,,
Macedonia (TFYR),,,,,
Hungary,2015,0.3,,,
Iceland,,,,,
Ireland,2014,0.2,,,
Italy,2015,0,,,
Latvia,2015,2,,,
Liechtenstein,2015,,,,
Lithuania,2015,,,,
Luxembourg,2015,,,,
Malta,2014,0.2,,,
Moldova (Republic of),2011/ 2013***,0.3,,,
Monaco,2013,1.8,,,
Montenegro,2015,,,,
Netherlands,2014,0,,,
Norway,2014,0.1,,,
Poland,2014,0.3,,,
Portugal,2015,0,,,
Romania,2015,1,,,
Russian Federation,2014,,,,
Serbia,2015,,,,
Slovakia,2015,2.1,,,
Slovenia,2014,0.1,,,
Spain,2014,0,,,
Sweden,2014,,,,
Switzerland,,,,,
Turkey,2015,1.6,,,
Ukraine,2015,,,,
United Kingdom,2014,0.2,,,
