Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2014,Synthetic cannabinoids under international control,1.25,Gram,,,
,,,,,,,
Egypt,2015,Synthetic cannabinoids under international control,15,Kilogram,,,
Armenia,2015,Synthetic cannabinoids under international control,0.001448,Kilogram,,,
Armenia,2015,Synthetic cannabinoids under international control,0.000072,Kilogram,,,
Republic of Korea,2015,Synthetic cannabinoids under international control,0.43,Kilogram,,,
Republic of Korea,2014,Synthetic cannabinoids under international control,0.01,Kilogram,,,
Republic of Korea,2014,Synthetic cannabinoids under international control,0,Kilogram,,,
Republic of Korea,2012,Synthetic cannabinoids under international control,4.46,Kilogram,,,
Russian Federation,2014,Synthetic cannabinoids under international control,84.9,Kilogram,,,
Russian Federation,2013,Synthetic cannabinoids under international control,217,Kilogram,,,
Russian Federation,2012,Synthetic cannabinoids under international control,142.1,Kilogram,,,
Russian Federation,2011,Synthetic cannabinoids under international control,93.85,Kilogram,,,
Bulgaria,2015,Synthetic cannabinoids under international control,0.5,Kilogram,,,
Bulgaria,2013,Synthetic cannabinoids under international control,77,Kilogram,,,
Bulgaria,2012,Synthetic cannabinoids under international control,0.21,Kilogram,,,
Bulgaria,2011,Synthetic cannabinoids under international control,1.72,Kilogram,,,
Belgium,2013,Synthetic cannabinoids under international control,11.74,Kilogram,,,
Cyprus,2014,Synthetic cannabinoids under international control,"3,085",Kilogram,,,
Cyprus,2013,Synthetic cannabinoids under international control,3.25,Kilogram,,,
Cyprus,2012,Synthetic cannabinoids under international control,"6,171",Kilogram,,,
Greece,2015,Synthetic cannabinoids under international control,0.1,Kilogram,,,
Greece,2015,Synthetic cannabinoids under international control,1.13,Kilogram,,,
Italy,2015,Synthetic cannabinoids under international control,3.88,Kilogram,,,
Italy,2014,Synthetic cannabinoids under international control,1.18,Kilogram,,,
Italy,2013,Synthetic cannabinoids under international control,0.003,Kilogram,,,
Italy,2012,Synthetic cannabinoids under international control,0.06,Kilogram,,,
Italy,2011,Synthetic cannabinoids under international control,0.29,Kilogram,,,
Slovakia,2012,Synthetic cannabinoids under international control,9.27,Kilogram,,,
